-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2010 through 03/16/2026 in UTC
Location: Latitude  -33.9061   Longitude 151.0569 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 31.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2010,1,1,0,485.77,25.06
2010,1,1,1,547.4,25.67
2010,1,1,2,628.25,26.25
2010,1,1,3,458.5,26.65
2010,1,1,4,417.4,26.94
2010,1,1,5,227.77,27.1
2010,1,1,6,165.1,26.97
2010,1,1,7,86.03,26.55
2010,1,1,8,23.45,25.88
2010,1,1,9,0.0,25.18
2010,1,1,10,0.0,24.59
2010,1,1,11,0.0,24.01
2010,1,1,12,0.0,23.48
2010,1,1,13,0.0,23.05
2010,1,1,14,0.0,22.71
2010,1,1,15,0.0,22.55
2010,1,1,16,0.0,22.52
2010,1,1,17,0.0,22.5
2010,1,1,18,0.0,22.47
2010,1,1,19,25.6,22.66
2010,1,1,20,73.3,23.24
2010,1,1,21,178.05,24.36
2010,1,1,22,294.83,25.52
2010,1,1,23,391.67,26.71
2010,1,2,0,642.62,27.93
2010,1,2,1,530.62,28.56
2010,1,2,2,353.4,28.13
2010,1,2,3,359.85,27.82
2010,1,2,4,535.28,27.61
2010,1,2,5,504.75,27.04
2010,1,2,6,319.67,26.2
2010,1,2,7,166.57,25.3
2010,1,2,8,45.47,24.21
2010,1,2,9,0.0,23.23
2010,1,2,10,0.0,22.66
2010,1,2,11,0.0,22.2
2010,1,2,12,0.0,21.52
2010,1,2,13,0.0,20.56
2010,1,2,14,0.0,19.78
2010,1,2,15,0.0,19.53
2010,1,2,16,0.0,19.59
2010,1,2,17,0.0,19.68
2010,1,2,18,0.0,19.68
2010,1,2,19,23.8,19.89
2010,1,2,20,81.0,20.33
2010,1,2,21,108.32,20.73
2010,1,2,22,152.3,20.99
2010,1,2,23,158.68,21.14
2010,1,3,0,310.17,21.24
2010,1,3,1,311.08,21.2
2010,1,3,2,311.08,21.06
2010,1,3,3,335.0,20.96
2010,1,3,4,252.85,20.96
2010,1,3,5,151.27,20.81
2010,1,3,6,97.85,20.53
2010,1,3,7,57.78,20.18
2010,1,3,8,11.68,19.75
2010,1,3,9,0.0,19.42
2010,1,3,10,0.0,19.3
2010,1,3,11,0.0,19.24
2010,1,3,12,0.0,19.12
2010,1,3,13,0.0,19.06
2010,1,3,14,0.0,18.99
2010,1,3,15,0.0,18.97
2010,1,3,16,0.0,19.06
2010,1,3,17,0.0,19.18
2010,1,3,18,0.0,19.31
2010,1,3,19,37.55,19.72
2010,1,3,20,136.15,20.43
2010,1,3,21,247.25,21.05
2010,1,3,22,368.17,21.69
2010,1,3,23,431.7,22.23
2010,1,4,0,553.15,22.61
2010,1,4,1,539.45,22.83
2010,1,4,2,603.25,22.9
2010,1,4,3,639.62,22.94
2010,1,4,4,580.05,22.94
2010,1,4,5,596.58,22.8
2010,1,4,6,427.65,22.55
2010,1,4,7,235.23,22.14
2010,1,4,8,63.62,21.59
2010,1,4,9,0.0,21.06
2010,1,4,10,0.0,20.82
2010,1,4,11,0.0,20.67
2010,1,4,12,0.0,20.51
2010,1,4,13,0.0,20.29
2010,1,4,14,0.0,20.06
2010,1,4,15,0.0,19.79
2010,1,4,16,0.0,19.56
2010,1,4,17,0.0,19.38
2010,1,4,18,0.0,19.26
2010,1,4,19,75.38,19.71
2010,1,4,20,280.8,20.79
2010,1,4,21,508.12,22.02
2010,1,4,22,713.78,23.13
2010,1,4,23,874.85,24.16
2010,1,5,0,995.4,25.04
2010,1,5,1,1065.4,25.71
2010,1,5,2,1055.9,26.09
2010,1,5,3,960.65,26.2
2010,1,5,4,795.33,26.11
2010,1,5,5,445.8,25.74
2010,1,5,6,287.45,25.11
2010,1,5,7,133.77,24.3
2010,1,5,8,36.97,23.43
2010,1,5,9,0.0,22.85
2010,1,5,10,0.0,22.64
2010,1,5,11,0.0,22.5
2010,1,5,12,0.0,22.22
2010,1,5,13,0.0,21.86
2010,1,5,14,0.0,21.54
2010,1,5,15,0.0,21.25
2010,1,5,16,0.0,21.04
2010,1,5,17,0.0,20.94
2010,1,5,18,0.0,20.92
2010,1,5,19,53.35,21.28
2010,1,5,20,222.65,21.85
2010,1,5,21,433.65,22.57
2010,1,5,22,652.38,23.25
2010,1,5,23,813.45,23.73
2010,1,6,0,967.33,24.0
2010,1,6,1,975.17,24.09
2010,1,6,2,867.15,24.09
2010,1,6,3,766.35,24.0
2010,1,6,4,632.72,23.73
2010,1,6,5,595.53,23.35
2010,1,6,6,381.45,22.9
2010,1,6,7,200.55,22.4
2010,1,6,8,42.22,21.86
2010,1,6,9,0.0,21.37
2010,1,6,10,0.0,21.16
2010,1,6,11,0.0,20.99
2010,1,6,12,0.0,20.81
2010,1,6,13,0.0,20.64
2010,1,6,14,0.0,20.49
