Postcode,Month,Capacity (kW)
2600,2007-01,0
2600,2007-02,0
2600,2007-03,0
2600,2007-04,0
2600,2007-05,0
2600,2007-06,0
2600,2007-07,0
2600,2007-08,0
2600,2007-09,0
2600,2007-10,2
2600,2007-11,0
2600,2007-12,2
2600,2008-01,0
2600,2008-02,0
2600,2008-03,0
2600,2008-04,0
2600,2008-05,0
2600,2008-06,0
2600,2008-07,2
2600,2008-08,4
2600,2008-09,8
2600,2008-10,2
2600,2008-11,1
2600,2008-12,7
2600,2009-01,1
2600,2009-02,4
2600,2009-03,3
2600,2009-04,1
2600,2009-05,0
2600,2009-06,1
2600,2009-07,12
2600,2009-08,1
2600,2009-09,1
2600,2009-10,0
2600,2009-11,5
2600,2009-12,0
2600,2010-01,3
2600,2010-02,9
2600,2010-03,6
2600,2010-04,7
2600,2010-05,10
2600,2010-06,9
2600,2010-07,15
2600,2010-08,11
2600,2010-09,8
2600,2010-10,8
2600,2010-11,0
2600,2010-12,8
2600,2011-01,13
2600,2011-02,24
2600,2011-03,24
2600,2011-04,31
2600,2011-05,53
2600,2011-06,165
2600,2011-07,16
2600,2011-08,16
2600,2011-09,5
2600,2011-10,9
2600,2011-11,16
2600,2011-12,7
2600,2012-01,0
2600,2012-02,2
2600,2012-03,2
2600,2012-04,0
2600,2012-05,12
2600,2012-06,50
2600,2012-07,3
2600,2012-08,6
2600,2012-09,0
2600,2012-10,2
2600,2012-11,18
2600,2012-12,31
2600,2013-01,0
2600,2013-02,0
2600,2013-03,8
2600,2013-04,0
2600,2013-05,11
2600,2013-06,4
2600,2013-07,29
2600,2013-08,34
2600,2013-09,47
2600,2013-10,35
2600,2013-11,21
2600,2013-12,0
2600,2014-01,0
2600,2014-02,3
2600,2014-03,0
2600,2014-04,5
2600,2014-05,8
2600,2014-06,3
2600,2014-07,8
2600,2014-08,11
2600,2014-09,17
2600,2014-10,4
2600,2014-11,8
2600,2014-12,3
2600,2015-01,6
2600,2015-02,5
2600,2015-03,106
2600,2015-04,5
2600,2015-05,0
2600,2015-06,5
2600,2015-07,5
2600,2015-08,4
2600,2015-09,5
2600,2015-10,11
2600,2015-11,9
2600,2015-12,9
2600,2016-01,19
2600,2016-02,6
2600,2016-03,373
2600,2016-04,14
2600,2016-05,3
2600,2016-06,16
2600,2016-07,9
2600,2016-08,65
2600,2016-09,0
2600,2016-10,23
2600,2016-11,9
2600,2016-12,20
2600,2017-01,3
2600,2017-02,39
2600,2017-03,0
2600,2017-04,9
2600,2017-05,12
2600,2017-06,40
2600,2017-07,9
2600,2017-08,19
2600,2017-09,35
2600,2017-10,209
2600,2017-11,81
2600,2017-12,414
2600,2018-01,154
2600,2018-02,184
2600,2018-03,24
2600,2018-04,7
2600,2018-05,141
2600,2018-06,126
2600,2018-07,36
2600,2018-08,14
2600,2018-09,88
2600,2018-10,35
2600,2018-11,18
2600,2018-12,38
2600,2019-01,101
2600,2019-02,20
2600,2019-03,64
2600,2019-04,0
2600,2019-05,138
2600,2019-06,60
2600,2019-07,17
2600,2019-08,59
2600,2019-09,375
2600,2019-10,19
2600,2019-11,77
2600,2019-12,345
2600,2020-01,67
2600,2020-02,97
2600,2020-03,68
2600,2020-04,57
2600,2020-05,76
2600,2020-06,62
2600,2020-07,50
2600,2020-08,36
2600,2020-09,122
2600,2020-10,301
2600,2020-11,128
2600,2020-12,92
2600,2021-01,45
2600,2021-02,155
2600,2021-03,241
2600,2021-04,181
2600,2021-05,97
2600,2021-06,100
2600,2021-07,55
2600,2021-08,23
2600,2021-09,132
2600,2021-10,126
2600,2021-11,253
2600,2021-12,191
2600,2022-01,52
2600,2022-02,78
2600,2022-03,141
2600,2022-04,39
2600,2022-05,59
2600,2022-06,83
2600,2022-07,182
2600,2022-08,248
2600,2022-09,58
2600,2022-10,222
2600,2022-11,211
2600,2022-12,304
2600,2023-01,59
2600,2023-02,67
2600,2023-03,334
2600,2023-04,153
2600,2023-05,105
2600,2023-06,59
2600,2023-07,86
2600,2023-08,162
2600,2023-09,441
2600,2023-10,222
2600,2023-11,80
2600,2023-12,206
2600,2024-01,22
2600,2024-02,123
2600,2024-03,72
2600,2024-04,92
2600,2024-05,93
2600,2024-06,20
2600,2024-07,84
2600,2024-08,51
2600,2024-09,68
2600,2024-10,314
2600,2024-11,173
2600,2024-12,93
2600,2025-01,21
2600,2025-02,11
2600,2025-03,23
2600,2025-04,38
2600,2025-05,117
2600,2025-06,10
2600,2025-07,96
2600,2025-08,116
2600,2025-09,101
2600,2025-10,56
2600,2025-11,154
2600,2025-12,117
2601,2007-01,0
2601,2007-02,0
2601,2007-03,0
2601,2007-04,0
2601,2007-05,0
2601,2007-06,0
2601,2007-07,0
2601,2007-08,0
2601,2007-09,0
2601,2007-10,0
2601,2007-11,0
2601,2007-12,0
2601,2008-01,0
2601,2008-02,0
2601,2008-03,0
2601,2008-04,0
2601,2008-05,0
2601,2008-06,0
2601,2008-07,0
2601,2008-08,0
2601,2008-09,0
2601,2008-10,0
2601,2008-11,0
2601,2008-12,0
2601,2009-01,0
2601,2009-02,0
2601,2009-03,0
2601,2009-04,0
2601,2009-05,0
2601,2009-06,0
2601,2009-07,0
2601,2009-08,0
2601,2009-09,0
2601,2009-10,0
2601,2009-11,0
2601,2009-12,0
2601,2010-01,0
2601,2010-02,0
2601,2010-03,0
2601,2010-04,0
2601,2010-05,0
2601,2010-06,0
2601,2010-07,0
2601,2010-08,2
2601,2010-09,0
2601,2010-10,0
2601,2010-11,29
2601,2010-12,0
2601,2011-01,0
2601,2011-02,0
2601,2011-03,0
2601,2011-04,0
2601,2011-05,0
2601,2011-06,0
2601,2011-07,0
2601,2011-08,0
2601,2011-09,0
2601,2011-10,0
2601,2011-11,0
2601,2011-12,0
2601,2012-01,29
2601,2012-02,0
2601,2012-03,0
2601,2012-04,0
2601,2012-05,0
2601,2012-06,0
2601,2012-07,0
2601,2012-08,0
2601,2012-09,0
2601,2012-10,0
2601,2012-11,0
2601,2012-12,0
2601,2013-01,0
2601,2013-02,0
2601,2013-03,0
2601,2013-04,0
2601,2013-05,0
2601,2013-06,0
2601,2013-07,0
2601,2013-08,0
2601,2013-09,10
2601,2013-10,0
2601,2013-11,0
2601,2013-12,0
2601,2014-01,0
2601,2014-02,0
2601,2014-03,0
2601,2014-04,0
2601,2014-05,402
2601,2014-06,0
2601,2014-07,0
2601,2014-08,0
2601,2014-09,0
2601,2014-10,0
2601,2014-11,0
2601,2014-12,0
2601,2015-01,0
2601,2015-02,0
2601,2015-03,0
2601,2015-04,0
2601,2015-05,0
2601,2015-06,100
2601,2015-07,0
2601,2015-08,0
2601,2015-09,0
2601,2015-10,0
2601,2015-11,0
2601,2015-12,0
2601,2016-01,0
2601,2016-02,0
2601,2016-03,0
2601,2016-04,126
2601,2016-05,2
2601,2016-06,0
2601,2016-07,0
2601,2016-08,0
2601,2016-09,0
2601,2016-10,0
2601,2016-11,0
2601,2016-12,54
2601,2017-01,0
2601,2017-02,0
2601,2017-03,0
2601,2017-04,30
2601,2017-05,34
2601,2017-06,0
2601,2017-07,62
2601,2017-08,0
2601,2017-09,0
2601,2017-10,0
2601,2017-11,0
2601,2017-12,100
2601,2018-01,61
2601,2018-02,0
2601,2018-03,0
2601,2018-04,0
2601,2018-05,0
2601,2018-06,0
2601,2018-07,0
2601,2018-08,0
2601,2018-09,71
2601,2018-10,0
2601,2018-11,0
2601,2018-12,23
2601,2019-01,0
2601,2019-02,0
2601,2019-03,0
2601,2019-04,0
2601,2019-05,0
2601,2019-06,0
2601,2019-07,72
2601,2019-08,0
2601,2019-09,0
2601,2019-10,0
2601,2019-11,0
2601,2019-12,0
2601,2020-01,0
2601,2020-02,0
2601,2020-03,0
2601,2020-04,162
2601,2020-05,0
2601,2020-06,200
2601,2020-07,0
2601,2020-08,33
2601,2020-09,0
2601,2020-10,8
2601,2020-11,0
2601,2020-12,0
2601,2021-01,0
2601,2021-02,0
2601,2021-03,189
2601,2021-04,0
2601,2021-05,0
2601,2021-06,0
2601,2021-07,33
2601,2021-08,60
2601,2021-09,0
2601,2021-10,0
2601,2021-11,0
2601,2021-12,7
2601,2022-01,0
2601,2022-02,20
2601,2022-03,0
2601,2022-04,40
2601,2022-05,0
2601,2022-06,0
2601,2022-07,57
2601,2022-08,0
2601,2022-09,199
2601,2022-10,0
2601,2022-11,0
2601,2022-12,12
2601,2023-01,0
2601,2023-02,0
2601,2023-03,0
2601,2023-04,0
2601,2023-05,40
2601,2023-06,48
2601,2023-07,232
2601,2023-08,0
2601,2023-09,0
2601,2023-10,151
2601,2023-11,142
2601,2023-12,0
2601,2024-01,0
2601,2024-02,0
2601,2024-03,0
2601,2024-04,0
2601,2024-05,0
2601,2024-06,0
2601,2024-07,0
2601,2024-08,0
2601,2024-09,0
2601,2024-10,8
2601,2024-11,0
2601,2024-12,39
2601,2025-01,78
2601,2025-02,0
2601,2025-03,65
2601,2025-04,0
2601,2025-05,0
2601,2025-06,100
2601,2025-07,94
2601,2025-08,100
2601,2025-09,0
2601,2025-10,0
2601,2025-11,0
2601,2025-12,0
2602,2007-01,0
2602,2007-02,0
2602,2007-03,1
2602,2007-04,0
2602,2007-05,0
2602,2007-06,4
2602,2007-07,0
2602,2007-08,2
2602,2007-09,0
2602,2007-10,2
2602,2007-11,0
2602,2007-12,5
2602,2008-01,0
2602,2008-02,3
2602,2008-03,3
2602,2008-04,5
2602,2008-05,6
2602,2008-06,4
2602,2008-07,10
2602,2008-08,12
2602,2008-09,1
2602,2008-10,7
2602,2008-11,8
2602,2008-12,10
2602,2009-01,9
2602,2009-02,9
2602,2009-03,8
2602,2009-04,17
2602,2009-05,5
2602,2009-06,14
2602,2009-07,1
2602,2009-08,21
2602,2009-09,18
2602,2009-10,17
2602,2009-11,16
2602,2009-12,7
2602,2010-01,10
2602,2010-02,17
2602,2010-03,59
2602,2010-04,41
2602,2010-05,49
2602,2010-06,95
2602,2010-07,22
2602,2010-08,12
2602,2010-09,18
2602,2010-10,44
2602,2010-11,40
2602,2010-12,34
2602,2011-01,38
2602,2011-02,62
2602,2011-03,167
2602,2011-04,117
2602,2011-05,226
2602,2011-06,389
2602,2011-07,41
2602,2011-08,64
2602,2011-09,30
2602,2011-10,39
2602,2011-11,27
2602,2011-12,15
2602,2012-01,6
2602,2012-02,23
2602,2012-03,10
2602,2012-04,14
2602,2012-05,17
2602,2012-06,24
2602,2012-07,11
2602,2012-08,17
2602,2012-09,8
2602,2012-10,11
2602,2012-11,20
2602,2012-12,47
2602,2013-01,20
2602,2013-02,24
2602,2013-03,55
2602,2013-04,29
2602,2013-05,32
2602,2013-06,63
2602,2013-07,85
2602,2013-08,157
2602,2013-09,230
2602,2013-10,55
2602,2013-11,84
2602,2013-12,14
2602,2014-01,17
2602,2014-02,16
2602,2014-03,21
2602,2014-04,5
2602,2014-05,26
2602,2014-06,25
2602,2014-07,14
2602,2014-08,21
2602,2014-09,24
2602,2014-10,91
2602,2014-11,29
2602,2014-12,39
2602,2015-01,65
2602,2015-02,32
2602,2015-03,38
2602,2015-04,28
2602,2015-05,48
2602,2015-06,28
2602,2015-07,80
2602,2015-08,46
2602,2015-09,40
2602,2015-10,24
2602,2015-11,32
2602,2015-12,16
2602,2016-01,51
2602,2016-02,57
2602,2016-03,25
2602,2016-04,10
2602,2016-05,39
2602,2016-06,12
2602,2016-07,26
2602,2016-08,39
2602,2016-09,9
2602,2016-10,49
2602,2016-11,23
