Postcode,Month,Installations
2XXX,2007-01,19
2XXX,2007-02,20
2XXX,2007-03,30
2XXX,2007-04,29
2XXX,2007-05,36
2XXX,2007-06,46
2XXX,2007-07,82
2XXX,2007-08,88
2XXX,2007-09,116
2XXX,2007-10,114
2XXX,2007-11,130
2XXX,2007-12,120
2XXX,2008-01,127
2XXX,2008-02,172
2XXX,2008-03,192
2XXX,2008-04,183
2XXX,2008-05,233
2XXX,2008-06,215
2XXX,2008-07,265
2XXX,2008-08,279
2XXX,2008-09,283
2XXX,2008-10,352
2XXX,2008-11,360
2XXX,2008-12,506
2XXX,2009-01,471
2XXX,2009-02,661
2XXX,2009-03,791
2XXX,2009-04,828
2XXX,2009-05,931
2XXX,2009-06,981
2XXX,2009-07,1084
2XXX,2009-08,1491
2XXX,2009-09,1784
2XXX,2009-10,1798
2XXX,2009-11,2151
2XXX,2009-12,1836
2XXX,2010-01,1790
2XXX,2010-02,2431
2XXX,2010-03,3346
2XXX,2010-04,3823
2XXX,2010-05,4879
2XXX,2010-06,6362
2XXX,2010-07,6826
2XXX,2010-08,7285
2XXX,2010-09,8263
2XXX,2010-10,9376
2XXX,2010-11,10708
2XXX,2010-12,7200
2XXX,2011-01,11654
2XXX,2011-02,11252
2XXX,2011-03,12074
2XXX,2011-04,10069
2XXX,2011-05,13367
2XXX,2011-06,16423
2XXX,2011-07,2290
2XXX,2011-08,2023
2XXX,2011-09,1790
2XXX,2011-10,1898
2XXX,2011-11,2187
2XXX,2011-12,2051
2XXX,2012-01,1643
2XXX,2012-02,2396
2XXX,2012-03,3319
2XXX,2012-04,3667
2XXX,2012-05,7469
2XXX,2012-06,12220
2XXX,2012-07,3170
2XXX,2012-08,3487
2XXX,2012-09,3255
2XXX,2012-10,3609
2XXX,2012-11,4359
2XXX,2012-12,6834
2XXX,2013-01,2979
2XXX,2013-02,3436
2XXX,2013-03,3071
2XXX,2013-04,2678
2XXX,2013-05,3256
2XXX,2013-06,2579
2XXX,2013-07,3236
2XXX,2013-08,3340
2XXX,2013-09,3211
2XXX,2013-10,3177
2XXX,2013-11,2851
2XXX,2013-12,2527
2XXX,2014-01,2215
2XXX,2014-02,2570
2XXX,2014-03,2706
2XXX,2014-04,2776
2XXX,2014-05,3314
2XXX,2014-06,3050
2XXX,2014-07,3328
2XXX,2014-08,3198
2XXX,2014-09,3887
2XXX,2014-10,4125
2XXX,2014-11,3542
2XXX,2014-12,3296
2XXX,2015-01,2771
2XXX,2015-02,3323
2XXX,2015-03,3251
2XXX,2015-04,2524
2XXX,2015-05,2995
2XXX,2015-06,2908
2XXX,2015-07,3092
2XXX,2015-08,3001
2XXX,2015-09,2827
2XXX,2015-10,2666
2XXX,2015-11,2731
2XXX,2015-12,2435
2XXX,2016-01,1746
2XXX,2016-02,2428
2XXX,2016-03,2426
2XXX,2016-04,2385
2XXX,2016-05,2432
2XXX,2016-06,2263
2XXX,2016-07,2291
2XXX,2016-08,2701
2XXX,2016-09,2598
2XXX,2016-10,2553
2XXX,2016-11,3244
2XXX,2016-12,3429
2XXX,2017-01,2357
2XXX,2017-02,3357
2XXX,2017-03,3617
2XXX,2017-04,2956
2XXX,2017-05,3653
2XXX,2017-06,3415
2XXX,2017-07,3816
2XXX,2017-08,4114
2XXX,2017-09,3910
2XXX,2017-10,4278
2XXX,2017-11,5040
2XXX,2017-12,4679
2XXX,2018-01,3772
2XXX,2018-02,4579
2XXX,2018-03,5112
2XXX,2018-04,4740
2XXX,2018-05,5661
2XXX,2018-06,4644
2XXX,2018-07,5390
2XXX,2018-08,5791
2XXX,2018-09,5153
2XXX,2018-10,5424
2XXX,2018-11,6258
2XXX,2018-12,6045
2XXX,2019-01,4426
2XXX,2019-02,5845
2XXX,2019-03,5938
2XXX,2019-04,5515
2XXX,2019-05,6849
2XXX,2019-06,5977
2XXX,2019-07,7128
2XXX,2019-08,6884
2XXX,2019-09,7248
2XXX,2019-10,8044
2XXX,2019-11,9141
2XXX,2019-12,8963
2XXX,2020-01,6579
2XXX,2020-02,8123
2XXX,2020-03,9294
2XXX,2020-04,8111
2XXX,2020-05,8975
2XXX,2020-06,9549
2XXX,2020-07,10123
2XXX,2020-08,10073
2XXX,2020-09,11065
2XXX,2020-10,10586
2XXX,2020-11,12194
2XXX,2020-12,11735
2XXX,2021-01,8375
2XXX,2021-02,11392
2XXX,2021-03,11692
2XXX,2021-04,10852
2XXX,2021-05,9640
2XXX,2021-06,9668
2XXX,2021-07,7809
2XXX,2021-08,6785
2XXX,2021-09,9439
2XXX,2021-10,8965
2XXX,2021-11,9346
2XXX,2021-12,10407
2XXX,2022-01,5332
2XXX,2022-02,7459
2XXX,2022-03,7243
2XXX,2022-04,6407
2XXX,2022-05,7455
2XXX,2022-06,9008
2XXX,2022-07,8101
2XXX,2022-08,10287
2XXX,2022-09,8805
2XXX,2022-10,8159
2XXX,2022-11,11189
2XXX,2022-12,10805
2XXX,2023-01,6191
2XXX,2023-02,8638
2XXX,2023-03,9201
2XXX,2023-04,7422
2XXX,2023-05,9672
2XXX,2023-06,9039
2XXX,2023-07,9678
2XXX,2023-08,10622
2XXX,2023-09,9938
2XXX,2023-10,10233
2XXX,2023-11,10829
2XXX,2023-12,10705
2XXX,2024-01,7126
2XXX,2024-02,9350
2XXX,2024-03,9224
2XXX,2024-04,8516
2XXX,2024-05,9302
2XXX,2024-06,8018
2XXX,2024-07,8617
2XXX,2024-08,8375
2XXX,2024-09,10346
2XXX,2024-10,10214
2XXX,2024-11,11369
2XXX,2024-12,9054
2XXX,2025-01,4886
2XXX,2025-02,6914
2XXX,2025-03,7032
2XXX,2025-04,5784
2XXX,2025-05,5697
2XXX,2025-06,4760
2XXX,2025-07,6003
2XXX,2025-08,5560
2XXX,2025-09,6524
2XXX,2025-10,6901
2XXX,2025-11,7091
2XXX,2025-12,5052
