,,,,,,,,,,,,,,,,
Table O2,,,,,,,,,,,,,,,,
"Electricity generation in New South Wales, by fuel type, physical units, financial year",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Non-renewable fuels,,,,,,,,,,,,,,,,
Black coal,"67,650.3","64,398.6","60,732.2","60,453.7","56,798.6","55,819.5","52,562.2","55,334.5","55,967.1","57,022.2","57,734.9","53,566.7","50,790.8","46,958.8","45,602.8","44,885.9"
Brown coal,,,,,,,,,,,,,,,,
Natural gas,"2,445.1","4,681.3","4,742.7","4,212.1","5,168.7","5,528.3","4,528.4","4,628.6","3,330.8","3,045.8","2,360.3","2,870.9","1,903.2","3,210.7","2,497.6","2,159.2"
Oil products,24.7,5.6,61.4,42.1,190.9,170.7,284.3,289.5,321.6,324.4,322.6,337.3,340.6,458.1,389.6,591.0
Other a,,,,,,,,,,,,,,,,
Total non-renewable,"70,120.1","69,085.5","65,536.3","64,707.9","62,158.2","61,518.5","57,374.9","60,252.6","59,619.5","60,392.4","60,417.8","56,774.9","53,034.6","50,627.6","48,489.9","47,636.1"
,,,,,,,,,,,,,,,,
Renewable fuels,,,,,,,,,,,,,,,,
"Bagasse, wood",291.3,295.3,253.3,413.6,425.4,461.7,551.1,601.7,696.5,765.0,758.8,716.2,686.1,568.3,581.0,616.9
Biogas,383.4,385.8,360.0,408.7,413.4,420.6,472.1,444.6,406.2,424.4,418.8,387.4,411.0,398.5,411.4,423.6
Wind,41.3,432.5,530.1,697.6,832.6,899.2,"1,376.0","1,898.8","1,872.0","2,431.6","3,739.7","4,574.3","4,805.9","5,973.4","6,210.9","5,893.0"
Hydro,"1,497.0","2,689.5","2,474.9","2,446.9","3,298.1","2,721.1","1,771.0","3,170.2","3,290.6","2,915.5","2,160.3","2,110.1","2,964.2","3,315.5","3,752.1","3,148.2"
Large-scale solar PV,,,,,,10.6,60.2,399.5,567.6,700.0,"1,348.2","2,084.6","3,368.0","5,014.4","5,770.4","7,404.7"
Small-scale solar PV,36.3,119.2,526.3,657.7,857.6,964.9,"1,211.2","1,461.9","1,706.8","2,095.8","2,717.1","3,417.3","4,892.9","6,201.3","7,555.2","9,110.5"
Geothermal,,,,,,,,,,,,,,,,0.0
Total renewable,"2,249.3","3,922.3","4,144.6","4,624.5","5,827.1","5,478.1","5,441.6","7,976.8","8,539.8","9,332.3","11,143.0","13,289.8","17,128.2","21,471.6","24,280.9","26,596.8"
 Of which ACT,,,,,,,,,141.9,229.1,258.6,281.7,349.5,429.7,563.1,685.1
Total,"72,369.4","73,007.8","69,680.9","69,332.4","67,985.3","66,996.6","62,816.4","68,229.4","68,159.2","69,724.6","71,560.8","70,064.7","70,162.8","72,099.2","72,770.8","74,232.9"
,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,
Totals may not add due to rounding.,,,,,,,,,,,,,,,,
a Includes multi-fuel fired power plants. This series was discontinued in 2013-14 and multi-fuel allocated to specific fuel types.,,,,,,,,,,,,,,,,
