,DAILY_RAINFALL,DATE
0,0.2,2010-01-01
1,0.0,2010-01-02
2,15.2,2010-01-03
3,0.2,2010-01-04
4,0.0,2010-01-05
5,0.0,2010-01-06
6,0.0,2010-01-07
7,0.4,2010-01-08
8,0.0,2010-01-09
9,0.0,2010-01-10
10,0.0,2010-01-11
11,0.0,2010-01-12
12,0.0,2010-01-13
13,8.2,2010-01-14
14,0.0,2010-01-15
15,0.0,2010-01-16
16,0.0,2010-01-17
17,0.2,2010-01-18
18,0.0,2010-01-19
19,0.0,2010-01-20
20,0.0,2010-01-21
21,0.0,2010-01-22
22,0.0,2010-01-23
23,3.2,2010-01-24
24,0.0,2010-01-25
25,0.0,2010-01-26
26,0.0,2010-01-27
27,0.8,2010-01-28
28,13.4,2010-01-29
29,0.4,2010-01-30
30,0.0,2010-01-31
31,0.6,2010-02-01
32,0.0,2010-02-02
33,23.0,2010-02-03
34,10.6,2010-02-04
35,7.8,2010-02-05
36,37.0,2010-02-06
37,21.7,2010-02-07
38,6.4,2010-02-08
39,1.0,2010-02-09
40,0.5,2010-02-10
41,0.0,2010-02-11
42,0.0,2010-02-12
43,3.533333333333333,2010-02-13
44,7.066666666666666,2010-02-14
45,10.6,2010-02-15
46,0.0,2010-02-16
47,0.0,2010-02-17
48,0.0,2010-02-18
49,0.0,2010-02-19
50,0.0,2010-02-20
51,0.0,2010-02-21
52,0.0,2010-02-22
53,0.0,2010-02-23
54,0.0,2010-02-24
55,0.0,2010-02-25
56,0.0,2010-02-26
57,0.0,2010-02-27
58,0.0,2010-02-28
59,4.4,2010-03-01
60,1.4,2010-03-02
61,0.0,2010-03-03
62,7.3999999999999995,2010-03-04
63,14.799999999999999,2010-03-05
64,22.2,2010-03-06
65,0.2,2010-03-07
66,0.8,2010-03-08
67,0.2,2010-03-09
68,0.0,2010-03-10
69,0.0,2010-03-11
70,0.0,2010-03-12
71,0.0,2010-03-13
72,1.4,2010-03-14
73,0.0,2010-03-15
74,0.0,2010-03-16
75,0.0,2010-03-17
76,0.0,2010-03-18
77,0.0,2010-03-19
78,0.0,2010-03-20
79,0.0,2010-03-21
80,0.0,2010-03-22
81,0.0,2010-03-23
82,0.0,2010-03-24
83,0.0,2010-03-25
84,0.0,2010-03-26
85,0.0,2010-03-27
86,0.0,2010-03-28
87,0.0,2010-03-29
88,6.0,2010-03-30
89,63.0,2010-03-31
90,0.0,2010-04-01
91,0.0,2010-04-02
92,0.0,2010-04-03
93,2.6,2010-04-04
94,0.4,2010-04-05
95,0.0,2010-04-06
96,0.6666666666666666,2010-04-07
97,1.3333333333333333,2010-04-08
98,2.0,2010-04-09
99,0.0,2010-04-10
100,0.0,2010-04-11
101,0.0,2010-04-12
102,0.0,2010-04-13
103,0.0,2010-04-14
104,0.0,2010-04-15
105,0.0,2010-04-16
106,0.0,2010-04-17
107,0.0,2010-04-18
108,0.0,2010-04-19
109,0.0,2010-04-20
110,0.0,2010-04-21
111,0.0,2010-04-22
112,0.0,2010-04-23
113,0.0,2010-04-24
114,0.0,2010-04-25
115,0.0,2010-04-26
116,0.0,2010-04-27
117,0.0,2010-04-28
118,0.0,2010-04-29
119,0.0,2010-04-30
120,0.0,2010-05-01
121,0.0,2010-05-02
122,0.0,2010-05-03
123,0.0,2010-05-04
124,0.0,2010-05-05
125,1.0,2010-05-06
126,0.0,2010-05-07
127,0.0,2010-05-08
128,0.0,2010-05-09
129,0.0,2010-05-10
130,0.0,2010-05-11
131,0.0,2010-05-12
132,0.0,2010-05-13
133,0.0,2010-05-14
134,0.0,2010-05-15
135,0.0,2010-05-16
136,0.2,2010-05-17
137,20.6,2010-05-18
138,7.4,2010-05-19
139,3.7,2010-05-20
140,0.0,2010-05-21
141,0.4,2010-05-22
142,0.0,2010-05-23
143,0.0,2010-05-24
144,2.4,2010-05-25
145,9.0,2010-05-26
146,35.2,2010-05-27
147,2.4,2010-05-28
148,3.2,2010-05-29
149,8.5,2010-05-30
150,13.8,2010-05-31
151,6.9,2010-06-01
152,0.0,2010-06-02
153,17.6,2010-06-03
154,35.2,2010-06-04
155,19.8,2010-06-05
156,0.0,2010-06-06
157,0.2,2010-06-07
158,0.0,2010-06-08
159,0.0,2010-06-09
160,0.0,2010-06-10
161,0.0,2010-06-11
