,DAILY_SOLAR_EXPOSURE,DATE
0,14.6,2010-01-01
1,18.4,2010-01-02
2,7.3,2010-01-03
3,14.4,2010-01-04
4,28.1,2010-01-05
5,29.5,2010-01-06
6,13.9,2010-01-07
7,23.2,2010-01-08
8,32.6,2010-01-09
9,32.8,2010-01-10
10,24.0,2010-01-11
11,29.2,2010-01-12
12,27.8,2010-01-13
13,9.7,2010-01-14
14,14.5,2010-01-15
15,18.4,2010-01-16
16,26.5,2010-01-17
17,30.6,2010-01-18
18,32.9,2010-01-19
19,33.0,2010-01-20
20,32.5,2010-01-21
21,29.6,2010-01-22
22,21.2,2010-01-23
23,10.6,2010-01-24
24,17.2,2010-01-25
25,26.3,2010-01-26
26,14.9,2010-01-27
27,8.7,2010-01-28
28,28.3,2010-01-29
29,17.8,2010-01-30
30,20.0,2010-01-31
31,23.9,2010-02-01
32,16.1,2010-02-02
33,21.7,2010-02-03
34,10.4,2010-02-04
35,10.8,2010-02-05
36,7.9,2010-02-06
37,11.5,2010-02-07
38,14.9,2010-02-08
39,21.1,2010-02-09
40,28.3,2010-02-10
41,24.4,2010-02-11
42,22.6,2010-02-12
43,4.1,2010-02-13
44,4.3,2010-02-14
45,23.5,2010-02-15
46,16.1,2010-02-16
47,22.8,2010-02-17
48,20.8,2010-02-18
49,15.6,2010-02-19
50,26.4,2010-02-20
51,27.5,2010-02-21
52,25.0,2010-02-22
53,21.1,2010-02-23
54,12.2,2010-02-24
55,17.6,2010-02-25
56,15.2,2010-02-26
57,25.7,2010-02-27
58,14.0,2010-02-28
59,3.4,2010-03-01
60,11.2,2010-03-02
61,20.3,2010-03-03
62,14.1,2010-03-04
63,9.3,2010-03-05
64,20.1,2010-03-06
65,17.6,2010-03-07
66,17.3,2010-03-08
67,25.2,2010-03-09
68,5.3,2010-03-10
69,19.7,2010-03-11
70,19.4,2010-03-12
71,12.7,2010-03-13
72,19.2,2010-03-14
73,19.7,2010-03-15
74,23.5,2010-03-16
75,24.3,2010-03-17
76,22.5,2010-03-18
77,22.5,2010-03-19
78,22.5,2010-03-20
79,19.5,2010-03-21
80,16.1,2010-03-22
81,21.5,2010-03-23
82,16.4,2010-03-24
83,19.4,2010-03-25
84,20.2,2010-03-26
85,16.7,2010-03-27
86,17.7,2010-03-28
87,5.4,2010-03-29
88,3.1,2010-03-30
89,8.7,2010-03-31
90,19.7,2010-04-01
91,17.0,2010-04-02
92,12.8,2010-04-03
93,14.0,2010-04-04
94,9.9,2010-04-05
95,10.0,2010-04-06
96,8.2,2010-04-07
97,17.4,2010-04-08
98,17.9,2010-04-09
99,15.1,2010-04-10
100,16.9,2010-04-11
101,18.3,2010-04-12
102,16.8,2010-04-13
103,18.0,2010-04-14
104,16.6,2010-04-15
105,10.5,2010-04-16
106,14.0,2010-04-17
107,14.2,2010-04-18
108,13.3,2010-04-19
109,13.6,2010-04-20
110,16.0,2010-04-21
111,16.0,2010-04-22
112,15.6,2010-04-23
113,8.5,2010-04-24
114,4.3,2010-04-25
115,15.6,2010-04-26
116,8.6,2010-04-27
117,15.1,2010-04-28
118,15.0,2010-04-29
119,7.6,2010-04-30
120,9.6,2010-05-01
121,14.6,2010-05-02
122,11.4,2010-05-03
123,8.8,2010-05-04
124,7.1,2010-05-05
125,14.4,2010-05-06
126,14.3,2010-05-07
127,13.9,2010-05-08
128,13.7,2010-05-09
129,13.5,2010-05-10
130,13.3,2010-05-11
131,13.7,2010-05-12
132,12.8,2010-05-13
133,13.0,2010-05-14
134,11.8,2010-05-15
135,11.6,2010-05-16
136,5.5,2010-05-17
137,6.5,2010-05-18
138,10.7,2010-05-19
139,9.9,2010-05-20
140,9.3,2010-05-21
141,8.9,2010-05-22
142,7.2,2010-05-23
143,7.4,2010-05-24
144,3.4,2010-05-25
145,2.1,2010-05-26
146,7.5,2010-05-27
147,9.1,2010-05-28
148,2.9,2010-05-29
149,8.3,2010-05-30
150,6.8,2010-05-31
151,9.8,2010-06-01
152,9.4,2010-06-02
153,6.0,2010-06-03
154,4.1,2010-06-04
155,8.2,2010-06-05
156,9.7,2010-06-06
157,8.5,2010-06-07
158,10.6,2010-06-08
159,9.3,2010-06-09
160,10.8,2010-06-10
161,10.7,2010-06-11
162,10.0,2010-06-12
163,10.5,2010-06-13
164,10.5,2010-06-14
165,10.3,2010-06-15
166,10.2,2010-06-16
167,3.1,2010-06-17
168,10.4,2010-06-18
169,10.1,2010-06-19
170,10.1,2010-06-20
171,7.8,2010-06-21
172,7.7,2010-06-22
173,5.1,2010-06-23
174,9.2,2010-06-24
175,6.6,2010-06-25
176,5.8,2010-06-26
177,8.9,2010-06-27
178,10.6,2010-06-28
179,10.9,2010-06-29
180,10.6,2010-06-30
