,Postcode,PV_CAPACITY,DATE
0,2XXX,2778,2010-01-01
1,2XXX,4153,2010-02-01
2,2XXX,6436,2010-03-01
3,2XXX,7445,2010-04-01
4,2XXX,9784,2010-05-01
5,2XXX,14056,2010-06-01
6,2XXX,15174,2010-07-01
7,2XXX,17046,2010-08-01
8,2XXX,19006,2010-09-01
9,2XXX,21418,2010-10-01
10,2XXX,24508,2010-11-01
11,2XXX,16829,2010-12-01
12,2XXX,28158,2011-01-01
13,2XXX,27225,2011-02-01
14,2XXX,30260,2011-03-01
15,2XXX,25362,2011-04-01
16,2XXX,31523,2011-05-01
17,2XXX,37409,2011-06-01
18,2XXX,6032,2011-07-01
19,2XXX,5163,2011-08-01
20,2XXX,4612,2011-09-01
21,2XXX,5135,2011-10-01
22,2XXX,6314,2011-11-01
23,2XXX,5355,2011-12-01
24,2XXX,4362,2012-01-01
25,2XXX,6123,2012-02-01
26,2XXX,8105,2012-03-01
27,2XXX,8696,2012-04-01
28,2XXX,17894,2012-05-01
29,2XXX,31529,2012-06-01
30,2XXX,8462,2012-07-01
31,2XXX,9432,2012-08-01
32,2XXX,9446,2012-09-01
33,2XXX,11178,2012-10-01
34,2XXX,13233,2012-11-01
35,2XXX,21357,2012-12-01
36,2XXX,9993,2013-01-01
37,2XXX,11851,2013-02-01
38,2XXX,11528,2013-03-01
39,2XXX,10474,2013-04-01
40,2XXX,12375,2013-05-01
41,2XXX,10292,2013-06-01
42,2XXX,12888,2013-07-01
43,2XXX,13649,2013-08-01
44,2XXX,13509,2013-09-01
45,2XXX,13393,2013-10-01
46,2XXX,12315,2013-11-01
47,2XXX,12225,2013-12-01
48,2XXX,9462,2014-01-01
49,2XXX,11046,2014-02-01
50,2XXX,11903,2014-03-01
51,2XXX,12237,2014-04-01
52,2XXX,36478,2014-05-01
53,2XXX,14109,2014-06-01
54,2XXX,15831,2014-07-01
55,2XXX,15414,2014-08-01
56,2XXX,18072,2014-09-01
57,2XXX,18927,2014-10-01
58,2XXX,17859,2014-11-01
59,2XXX,16703,2014-12-01
60,2XXX,13776,2015-01-01
61,2XXX,17832,2015-02-01
62,2XXX,119895,2015-03-01
63,2XXX,12971,2015-04-01
64,2XXX,15711,2015-05-01
65,2XXX,15869,2015-06-01
66,2XXX,69825,2015-07-01
67,2XXX,15249,2015-08-01
68,2XXX,15821,2015-09-01
69,2XXX,15153,2015-10-01
70,2XXX,15196,2015-11-01
71,2XXX,15871,2015-12-01
72,2XXX,9668,2016-01-01
73,2XXX,69729,2016-02-01
74,2XXX,13750,2016-03-01
75,2XXX,13553,2016-04-01
76,2XXX,14595,2016-05-01
77,2XXX,15132,2016-06-01
78,2XXX,13419,2016-07-01
79,2XXX,15147,2016-08-01
80,2XXX,17619,2016-09-01
81,2XXX,14717,2016-10-01
82,2XXX,19474,2016-11-01
83,2XXX,45997,2016-12-01
84,2XXX,12571,2017-01-01
85,2XXX,17138,2017-02-01
86,2XXX,20323,2017-03-01
87,2XXX,16177,2017-04-01
88,2XXX,27051,2017-05-01
89,2XXX,23767,2017-06-01
90,2XXX,24940,2017-07-01
91,2XXX,24288,2017-08-01
92,2XXX,23825,2017-09-01
93,2XXX,27961,2017-10-01
94,2XXX,35055,2017-11-01
95,2XXX,101605,2017-12-01
96,2XXX,59455,2018-01-01
97,2XXX,31069,2018-02-01
98,2XXX,33675,2018-03-01
99,2XXX,47542,2018-04-01
100,2XXX,116696,2018-05-01
101,2XXX,36893,2018-06-01
102,2XXX,44733,2018-07-01
103,2XXX,43597,2018-08-01
104,2XXX,252521,2018-09-01
105,2XXX,42203,2018-10-01
106,2XXX,48137,2018-11-01
107,2XXX,52809,2018-12-01
108,2XXX,32232,2019-01-01
109,2XXX,44523,2019-02-01
110,2XXX,47028,2019-03-01
111,2XXX,152157,2019-04-01
112,2XXX,51525,2019-05-01
113,2XXX,49509,2019-06-01
114,2XXX,59978,2019-07-01
115,2XXX,284900,2019-08-01
116,2XXX,57034,2019-09-01
117,2XXX,318819,2019-10-01
118,2XXX,210337,2019-11-01
119,2XXX,720452,2019-12-01
120,2XXX,48782,2020-01-01
121,2XXX,71389,2020-02-01
122,2XXX,195621,2020-03-01
123,2XXX,73070,2020-04-01
124,2XXX,71517,2020-05-01
125,2XXX,169016,2020-06-01
126,2XXX,95438,2020-07-01
127,2XXX,84872,2020-08-01
128,2XXX,101379,2020-09-01
129,2XXX,128759,2020-10-01
130,2XXX,304313,2020-11-01
131,2XXX,179607,2020-12-01
132,2XXX,73071,2021-01-01
133,2XXX,135541,2021-02-01
134,2XXX,100371,2021-03-01
