,Postcode,PV_INSTALLATIONS,DATE,CUMULATIVE_PV_INSTALLATIONS
0,2XXX,1790,2010-01-01,1790
1,2XXX,2431,2010-02-01,4221
2,2XXX,3346,2010-03-01,7567
3,2XXX,3823,2010-04-01,11390
4,2XXX,4879,2010-05-01,16269
5,2XXX,6362,2010-06-01,22631
6,2XXX,6826,2010-07-01,29457
7,2XXX,7285,2010-08-01,36742
8,2XXX,8263,2010-09-01,45005
9,2XXX,9376,2010-10-01,54381
10,2XXX,10708,2010-11-01,65089
11,2XXX,7200,2010-12-01,72289
12,2XXX,11654,2011-01-01,83943
13,2XXX,11252,2011-02-01,95195
14,2XXX,12074,2011-03-01,107269
15,2XXX,10069,2011-04-01,117338
16,2XXX,13367,2011-05-01,130705
17,2XXX,16423,2011-06-01,147128
18,2XXX,2290,2011-07-01,149418
19,2XXX,2023,2011-08-01,151441
20,2XXX,1790,2011-09-01,153231
21,2XXX,1898,2011-10-01,155129
22,2XXX,2187,2011-11-01,157316
23,2XXX,2051,2011-12-01,159367
24,2XXX,1643,2012-01-01,161010
25,2XXX,2396,2012-02-01,163406
26,2XXX,3319,2012-03-01,166725
27,2XXX,3667,2012-04-01,170392
28,2XXX,7469,2012-05-01,177861
29,2XXX,12220,2012-06-01,190081
30,2XXX,3170,2012-07-01,193251
31,2XXX,3487,2012-08-01,196738
32,2XXX,3255,2012-09-01,199993
33,2XXX,3609,2012-10-01,203602
34,2XXX,4359,2012-11-01,207961
35,2XXX,6834,2012-12-01,214795
36,2XXX,2979,2013-01-01,217774
37,2XXX,3436,2013-02-01,221210
38,2XXX,3071,2013-03-01,224281
39,2XXX,2678,2013-04-01,226959
40,2XXX,3256,2013-05-01,230215
41,2XXX,2579,2013-06-01,232794
42,2XXX,3236,2013-07-01,236030
43,2XXX,3340,2013-08-01,239370
44,2XXX,3211,2013-09-01,242581
45,2XXX,3177,2013-10-01,245758
46,2XXX,2851,2013-11-01,248609
47,2XXX,2527,2013-12-01,251136
48,2XXX,2215,2014-01-01,253351
49,2XXX,2570,2014-02-01,255921
50,2XXX,2706,2014-03-01,258627
51,2XXX,2776,2014-04-01,261403
52,2XXX,3314,2014-05-01,264717
53,2XXX,3050,2014-06-01,267767
54,2XXX,3328,2014-07-01,271095
55,2XXX,3198,2014-08-01,274293
56,2XXX,3887,2014-09-01,278180
57,2XXX,4125,2014-10-01,282305
58,2XXX,3542,2014-11-01,285847
59,2XXX,3296,2014-12-01,289143
60,2XXX,2771,2015-01-01,291914
61,2XXX,3323,2015-02-01,295237
62,2XXX,3251,2015-03-01,298488
63,2XXX,2524,2015-04-01,301012
64,2XXX,2995,2015-05-01,304007
65,2XXX,2908,2015-06-01,306915
66,2XXX,3092,2015-07-01,310007
67,2XXX,3001,2015-08-01,313008
68,2XXX,2827,2015-09-01,315835
69,2XXX,2666,2015-10-01,318501
70,2XXX,2731,2015-11-01,321232
71,2XXX,2435,2015-12-01,323667
72,2XXX,1746,2016-01-01,325413
73,2XXX,2428,2016-02-01,327841
74,2XXX,2426,2016-03-01,330267
75,2XXX,2385,2016-04-01,332652
76,2XXX,2432,2016-05-01,335084
77,2XXX,2263,2016-06-01,337347
78,2XXX,2291,2016-07-01,339638
79,2XXX,2701,2016-08-01,342339
80,2XXX,2598,2016-09-01,344937
81,2XXX,2553,2016-10-01,347490
82,2XXX,3244,2016-11-01,350734
83,2XXX,3429,2016-12-01,354163
84,2XXX,2357,2017-01-01,356520
85,2XXX,3357,2017-02-01,359877
86,2XXX,3617,2017-03-01,363494
87,2XXX,2956,2017-04-01,366450
88,2XXX,3653,2017-05-01,370103
89,2XXX,3415,2017-06-01,373518
90,2XXX,3816,2017-07-01,377334
91,2XXX,4114,2017-08-01,381448
92,2XXX,3910,2017-09-01,385358
93,2XXX,4278,2017-10-01,389636
94,2XXX,5040,2017-11-01,394676
95,2XXX,4679,2017-12-01,399355
96,2XXX,3772,2018-01-01,403127
97,2XXX,4579,2018-02-01,407706
98,2XXX,5112,2018-03-01,412818
99,2XXX,4740,2018-04-01,417558
100,2XXX,5661,2018-05-01,423219
101,2XXX,4644,2018-06-01,427863
102,2XXX,5390,2018-07-01,433253
103,2XXX,5791,2018-08-01,439044
104,2XXX,5153,2018-09-01,444197
105,2XXX,5424,2018-10-01,449621
106,2XXX,6258,2018-11-01,455879
107,2XXX,6045,2018-12-01,461924
108,2XXX,4426,2019-01-01,466350
109,2XXX,5845,2019-02-01,472195
110,2XXX,5938,2019-03-01,478133
111,2XXX,5515,2019-04-01,483648
112,2XXX,6849,2019-05-01,490497
113,2XXX,5977,2019-06-01,496474
114,2XXX,7128,2019-07-01,503602
115,2XXX,6884,2019-08-01,510486
116,2XXX,7248,2019-09-01,517734
117,2XXX,8044,2019-10-01,525778
118,2XXX,9141,2019-11-01,534919
119,2XXX,8963,2019-12-01,543882
120,2XXX,6579,2020-01-01,550461
121,2XXX,8123,2020-02-01,558584
122,2XXX,9294,2020-03-01,567878
123,2XXX,8111,2020-04-01,575989
124,2XXX,8975,2020-05-01,584964
125,2XXX,9549,2020-06-01,594513
126,2XXX,10123,2020-07-01,604636
127,2XXX,10073,2020-08-01,614709
128,2XXX,11065,2020-09-01,625774
129,2XXX,10586,2020-10-01,636360
130,2XXX,12194,2020-11-01,648554
131,2XXX,11735,2020-12-01,660289
132,2XXX,8375,2021-01-01,668664
133,2XXX,11392,2021-02-01,680056
134,2XXX,11692,2021-03-01,691748
