date,true_peak,pred_peak,true_peak_time,pred_peak_time
2010-01-02,9294.07,9010.12,16:30:00,14:30:00
2010-01-03,8247.61,8414.36,11:00:00,11:30:00
2010-01-04,9468.92,10200.1,11:00:00,15:30:00
2010-01-05,10687.29,10736.14,15:00:00,16:00:00
2010-01-06,10879.15,10706.29,16:00:00,15:30:00
2010-01-07,9864.35,10132.34,12:30:00,15:00:00
2010-01-08,10659.19,10774.1,16:00:00,15:30:00
2010-01-09,11524.52,10525.52,16:00:00,16:00:00
2010-01-10,10976.44,10794.2,15:00:00,17:00:00
2010-01-11,11671.17,12244.08,16:00:00,16:00:00
2010-01-12,13700.02,13227.59,16:00:00,15:30:00
2010-01-13,12199.36,12684.03,12:30:00,15:30:00
2010-01-14,10118.95,9863.77,15:00:00,12:30:00
2010-01-15,10593.74,10806.29,15:00:00,15:30:00
2010-01-16,9625.75,9180.25,13:00:00,15:00:00
2010-01-17,9170.4,9534.73,13:00:00,16:00:00
2010-01-18,9840.73,10721.2,10:00:00,14:30:00
2010-01-19,9695.51,10227.38,11:00:00,15:30:00
2010-01-20,10819.11,11156.15,16:00:00,16:00:00
2010-01-21,12758.95,11688.67,16:00:00,16:00:00
2010-01-22,13765.04,13307.23,15:00:00,15:30:00
2010-01-23,12278.96,12603.46,14:00:00,15:00:00
2010-01-24,9004.24,8810.15,16:00:00,19:30:00
2010-01-25,11418.89,11649.1,16:00:00,16:00:00
2010-01-26,11504.61,10102.15,16:00:00,16:30:00
2010-01-27,11681.57,11601.38,13:30:00,16:00:00
2010-01-28,11452.11,10982.61,13:30:00,15:00:00
2010-01-29,11453.22,12140.76,15:30:00,13:30:00
2010-01-30,9461.36,9115.9,16:00:00,11:00:00
2010-01-31,9749.46,9000.01,15:30:00,16:00:00
2010-02-01,11580.28,11398.55,14:00:00,15:00:00
2010-02-02,10625.12,11162.07,12:30:00,16:00:00
2010-02-03,11024.02,10945.15,16:00:00,15:30:00
2010-02-04,11138.52,11077.23,13:30:00,14:00:00
2010-02-05,11530.39,11170.32,13:30:00,13:30:00
2010-02-06,9326.52,9150.14,11:00:00,10:30:00
2010-02-07,9282.9,9011.0,17:30:00,18:00:00
2010-02-08,11299.68,11389.34,16:00:00,15:30:00
2010-02-09,11879.3,11549.14,16:00:00,15:30:00
2010-02-10,12394.02,12222.74,16:00:00,15:30:00
2010-02-11,12606.64,12608.26,15:00:00,16:00:00
2010-02-12,13134.81,13712.59,16:00:00,15:30:00
2010-02-13,9696.85,9760.78,11:00:00,10:30:00
2010-02-14,9719.52,9078.72,17:00:00,17:30:00
2010-02-15,12043.83,11547.85,16:00:00,13:30:00
2010-02-16,10450.24,11216.72,13:30:00,13:30:00
2010-02-17,10621.94,10835.54,16:00:00,16:00:00
2010-02-18,10150.35,10574.18,14:00:00,15:30:00
2010-02-19,10138.04,10392.46,12:30:00,16:00:00
2010-02-20,9724.24,9574.67,15:30:00,16:00:00
2010-02-21,10992.0,9689.2,17:00:00,17:00:00
2010-02-22,13377.27,13189.0,15:30:00,16:00:00
2010-02-23,11563.93,12454.2,11:30:00,15:30:00
2010-02-24,10103.82,10677.35,11:00:00,14:00:00
2010-02-25,10251.46,10272.42,11:00:00,15:30:00
2010-02-26,10217.14,10229.22,11:00:00,11:30:00
2010-02-27,10028.25,9914.74,16:00:00,16:00:00
2010-02-28,9513.77,9834.13,14:00:00,15:00:00
2010-03-01,9813.83,9837.85,11:00:00,12:30:00
2010-03-02,9559.15,9950.22,10:30:00,13:30:00
2010-03-03,9806.22,10063.75,11:00:00,16:00:00
2010-03-04,10110.66,10418.92,16:00:00,16:00:00
2010-03-05,10338.46,10387.0,09:30:00,13:30:00
2010-03-06,9859.15,9557.3,16:00:00,16:00:00
2010-03-07,9182.18,9136.69,12:00:00,15:30:00
2010-03-08,11054.9,10743.83,16:00:00,15:30:00
2010-03-09,10747.42,11071.76,16:00:00,15:30:00
2010-03-10,9913.53,9938.82,09:30:00,12:30:00
2010-03-11,9612.66,9839.56,11:00:00,11:00:00
2010-03-12,9735.27,9667.49,10:00:00,10:30:00
2010-03-13,8823.41,9049.21,10:00:00,10:30:00
2010-03-14,8559.36,8618.23,19:00:00,19:00:00
2010-03-15,10098.36,10002.43,13:30:00,13:00:00
2010-03-16,10262.78,10358.22,15:30:00,15:30:00
2010-03-17,10325.68,10250.63,15:30:00,15:30:00
2010-03-18,10438.12,10476.4,16:00:00,15:30:00
2010-03-19,10831.75,10451.42,16:00:00,15:30:00
2010-03-20,10045.89,9984.04,16:00:00,16:00:00
2010-03-21,10102.26,10159.88,19:00:00,16:00:00
2010-03-22,10358.94,10255.96,13:30:00,13:00:00
2010-03-23,10861.24,10687.81,16:00:00,15:30:00
2010-03-24,10373.77,10419.93,14:00:00,15:30:00
2010-03-25,10597.84,10673.34,15:30:00,15:30:00
2010-03-26,11592.51,11154.27,15:30:00,15:30:00
2010-03-27,9799.45,10043.54,15:30:00,16:00:00
2010-03-28,9819.44,10139.71,15:30:00,17:00:00
2010-03-29,10652.74,10934.09,11:00:00,16:00:00
2010-03-30,10221.29,10219.99,11:00:00,12:00:00
2010-03-31,9851.39,10052.08,10:00:00,11:00:00
2010-04-01,9634.49,9828.94,13:00:00,10:30:00
2010-04-02,8236.87,8278.49,18:30:00,19:00:00
2010-04-03,8317.03,8392.97,09:30:00,10:00:00
2010-04-04,8240.28,8280.73,18:30:00,19:00:00
2010-04-05,8838.39,8897.03,18:30:00,18:30:00
2010-04-06,9755.45,9853.5,18:30:00,18:30:00
2010-04-07,9789.56,9752.51,18:30:00,18:30:00
2010-04-08,9909.16,9818.8,18:30:00,18:30:00
2010-04-09,9621.02,9806.54,10:30:00,11:00:00
2010-04-10,8946.08,9090.01,18:30:00,18:30:00
2010-04-11,8841.74,8995.66,18:30:00,18:30:00
2010-04-12,9755.15,9996.58,18:30:00,18:30:00
2010-04-13,9805.49,9891.41,18:30:00,18:30:00
2010-04-14,9789.42,9841.66,18:30:00,18:30:00
2010-04-15,9827.25,9920.85,18:30:00,18:30:00
2010-04-16,9673.39,9579.77,12:00:00,11:30:00
2010-04-17,9042.68,8980.01,18:30:00,18:30:00
2010-04-18,9074.94,9031.07,18:30:00,18:30:00
2010-04-19,10219.65,10213.91,18:30:00,18:30:00
2010-04-20,10099.34,10427.12,18:00:00,18:30:00
2010-04-21,10021.37,10125.6,18:30:00,18:30:00
2010-04-22,10192.43,10067.63,18:30:00,18:30:00
2010-04-23,9873.68,9852.02,14:30:00,18:00:00
2010-04-24,8914.15,8897.47,18:30:00,18:30:00
2010-04-25,8702.75,9107.22,18:30:00,18:30:00
2010-04-26,9173.9,8804.72,18:30:00,18:30:00
2010-04-27,10227.81,10297.52,18:30:00,18:30:00
2010-04-28,9914.36,10284.91,18:30:00,18:30:00
2010-04-29,10047.07,10095.03,18:30:00,18:30:00
2010-04-30,9993.32,10162.37,18:00:00,18:30:00
