,rainfall,solar_exposure,min_temperature,max_temperature,peak_power
2010-01-01,0.2,14.6,22.1,28.8,8883.98
2010-01-02,0.0,18.4,21.6,29.4,9294.07
2010-01-03,15.2,7.3,17.9,21.5,8247.61
2010-01-04,0.2,14.4,17.9,23.9,9468.92
2010-01-05,0.0,28.1,15.4,27.7,10687.29
2010-01-06,0.0,29.5,20.3,25.6,10879.15
2010-01-07,0.0,13.9,20.5,23.6,9864.35
2010-01-08,0.4,23.2,19.7,26.3,10659.19
2010-01-09,0.0,32.6,18.3,36.3,11524.52
2010-01-10,0.0,32.8,22.1,29.5,10976.44
2010-01-11,0.0,24.0,21.7,26.4,11671.17
2010-01-12,0.0,29.2,23.1,32.0,13700.02
2010-01-13,0.0,27.8,19.0,27.1,12199.36
2010-01-14,8.2,9.7,19.3,22.3,10118.95
2010-01-15,0.0,14.5,19.7,25.0,10593.74
2010-01-16,0.0,18.4,20.9,27.2,9625.75
2010-01-17,0.0,26.5,17.3,26.6,9170.4
2010-01-18,0.2,30.6,14.7,24.8,9840.73
2010-01-19,0.0,32.9,14.5,25.3,9695.51
2010-01-20,0.0,33.0,12.0,31.2,10819.11
2010-01-21,0.0,32.5,17.4,31.0,12758.95
2010-01-22,0.0,29.6,21.2,36.2,13765.04
2010-01-23,0.0,21.2,21.2,41.1,12278.96
2010-01-24,3.2,10.6,17.7,23.0,9004.24
2010-01-25,0.0,17.2,19.2,27.7,11418.89
2010-01-26,0.0,26.3,23.1,32.1,11504.61
2010-01-27,0.0,14.9,21.9,26.6,11681.57
2010-01-28,0.8,8.7,20.5,27.1,11452.11
2010-01-29,13.4,28.3,18.0,27.4,11453.22
2010-01-30,0.4,17.8,20.5,26.8,9461.36
2010-01-31,0.0,20.0,20.6,28.5,9749.46
2010-02-01,0.6,23.9,19.6,29.2,11580.28
2010-02-02,0.0,16.1,21.1,26.9,10625.12
2010-02-03,23.0,21.7,21.3,28.0,11024.02
2010-02-04,10.6,10.4,22.3,27.8,11138.52
2010-02-05,7.8,10.8,21.2,28.4,11530.39
2010-02-06,37.0,7.9,20.3,23.2,9326.52
2010-02-07,21.7,11.5,20.1,25.4,9282.9
2010-02-08,6.4,14.9,21.5,27.6,11299.68
2010-02-09,1.0,21.1,21.5,28.5,11879.3
2010-02-10,0.5,28.3,19.0,29.8,12394.02
2010-02-11,0.0,24.4,19.4,30.3,12606.64
2010-02-12,0.0,22.6,21.5,36.8,13134.81
2010-02-13,3.533333333333333,4.1,21.4,26.2,9696.85
2010-02-14,7.066666666666666,4.3,20.4,27.3,9719.52
2010-02-15,10.6,23.5,20.1,32.8,12043.83
2010-02-16,0.0,16.1,20.0,25.1,10450.24
2010-02-17,0.0,22.8,17.4,24.5,10621.94
2010-02-18,0.0,20.8,16.6,24.2,10150.35
2010-02-19,0.0,15.6,16.8,25.2,10138.04
2010-02-20,0.0,26.4,16.2,27.5,9724.24
2010-02-21,0.0,27.5,18.3,32.9,10992.0
2010-02-22,0.0,25.0,19.7,35.4,13377.27
2010-02-23,0.0,21.1,21.1,28.3,11563.93
2010-02-24,0.0,12.2,20.0,23.9,10103.82
2010-02-25,0.0,17.6,14.6,25.1,10251.46
2010-02-26,0.0,15.2,15.5,25.9,10217.14
2010-02-27,0.0,25.7,15.2,29.1,10028.25
2010-02-28,0.0,14.0,19.0,27.2,9513.77
2010-03-01,4.4,3.4,16.7,20.5,9813.83
2010-03-02,1.4,11.2,18.0,21.1,9559.15
2010-03-03,0.0,20.3,14.9,23.0,9806.22
2010-03-04,7.399999999999999,14.1,14.0,25.7,10110.66
2010-03-05,14.8,9.3,20.9,25.0,10338.46
2010-03-06,22.2,20.1,20.6,28.4,9859.15
2010-03-07,0.2,17.6,21.2,26.9,9182.18
2010-03-08,0.8,17.3,20.9,30.1,11054.9
2010-03-09,0.2,25.2,17.8,29.2,10747.42
2010-03-10,0.0,5.3,18.5,20.8,9913.53
2010-03-11,0.0,19.7,17.5,22.4,9612.66
2010-03-12,0.0,19.4,18.1,22.7,9735.27
2010-03-13,0.0,12.7,14.4,23.2,8823.41
2010-03-14,1.4,19.2,14.9,23.2,8559.36
2010-03-15,0.0,19.7,15.5,25.8,10098.36
2010-03-16,0.0,23.5,13.9,27.4,10262.78
2010-03-17,0.0,24.3,12.2,26.9,10325.68
2010-03-18,0.0,22.5,13.8,27.9,10438.12
2010-03-19,0.0,22.5,14.3,30.7,10831.75
2010-03-20,0.0,22.5,16.8,30.4,10045.89
2010-03-21,0.0,19.5,16.7,34.7,10102.26
2010-03-22,0.0,16.1,19.7,23.7,10358.94
2010-03-23,0.0,21.5,15.8,29.2,10861.24
2010-03-24,0.0,16.4,17.3,25.2,10373.77
2010-03-25,0.0,19.4,16.3,26.5,10597.84
2010-03-26,0.0,20.2,17.5,34.3,11592.51
