datetime,rainfall,pv_capacity,temperature,solar_power,total_demand
2010-01-01 00:00:00,0.2,1790,23.1,485.77,8038.0
2010-01-01 00:30:00,0.2,1790,22.9,516.585,7809.31
2010-01-01 01:00:00,0.2,1790,22.6,547.4,7483.69
2010-01-01 01:30:00,0.2,1790,22.5,587.825,7117.23
2010-01-01 02:00:00,0.2,1790,22.5,628.25,6812.03
2010-01-01 02:30:00,0.2,1790,22.4,543.375,6544.33
2010-01-01 03:00:00,0.2,1790,22.3,458.5,6377.32
2010-01-01 03:30:00,0.2,1790,22.3,437.95,6282.85
2010-01-01 04:00:00,0.2,1790,22.1,417.4,6211.49
2010-01-01 04:30:00,0.2,1790,22.2,322.585,6248.31
2010-01-01 05:00:00,0.2,1790,22.2,227.77,6198.61
2010-01-01 05:30:00,0.2,1790,22.3,196.435,6237.35
2010-01-01 06:00:00,0.2,1790,22.5,165.1,6370.48
2010-01-01 06:30:00,0.2,1790,23.2,125.565,6506.42
2010-01-01 07:00:00,0.2,1790,23.3,86.03,6738.75
2010-01-01 07:30:00,0.2,1790,23.8,54.739999999999995,6980.41
2010-01-01 08:00:00,0.2,1790,24.5,23.45,7213.33
2010-01-01 08:30:00,0.2,1790,24.6,11.725,7515.6
2010-01-01 09:00:00,0.2,1790,25.3,0.0,7761.46
2010-01-01 09:30:00,0.2,1790,24.6,0.0,7915.54
2010-01-01 10:00:00,0.2,1790,24.5,0.0,8067.16
2010-01-01 10:30:00,0.2,1790,25.2,0.0,8123.31
2010-01-01 11:00:00,0.2,1790,25.4,0.0,8195.51
2010-01-01 11:30:00,0.2,1790,25.6,0.0,8221.36
2010-01-01 12:00:00,0.2,1790,27.0,0.0,8278.09
2010-01-01 12:30:00,0.2,1790,27.4,0.0,8361.58
2010-01-01 13:00:00,0.2,1790,28.1,0.0,8337.92
2010-01-01 13:30:00,0.2,1790,28.6,0.0,8421.08
2010-01-01 14:00:00,0.2,1790,28.4,0.0,8477.34
2010-01-01 14:30:00,0.2,1790,28.8,0.0,8501.39
2010-01-01 15:00:00,0.2,1790,28.2,0.0,8557.94
2010-01-01 15:30:00,0.2,1790,28.6,0.0,8603.11
2010-01-01 16:00:00,0.2,1790,28.8,0.0,8715.69
2010-01-01 16:30:00,0.2,1790,28.5,0.0,8791.61
2010-01-01 17:00:00,0.2,1790,28.3,0.0,8883.98
2010-01-01 17:30:00,0.2,1790,27.9,0.0,8835.92
2010-01-01 18:00:00,0.2,1790,27.3,0.0,8765.46
2010-01-01 18:30:00,0.2,1790,26.8,12.8,8640.56
2010-01-01 19:00:00,0.2,1790,26.5,25.6,8544.55
2010-01-01 19:30:00,0.2,1790,26.2,49.45,8562.12
2010-01-01 20:00:00,0.2,1790,25.9,73.3,8635.78
2010-01-01 20:30:00,0.2,1790,25.7,125.67500000000001,8573.05
2010-01-01 21:00:00,0.2,1790,25.5,178.05,8333.54
2010-01-01 21:30:00,0.2,1790,25.2,236.44,8343.8
2010-01-01 22:00:00,0.2,1790,25.1,294.83,8295.59
2010-01-01 22:30:00,0.2,1790,24.9,343.25,8210.54
2010-01-01 23:00:00,0.2,1790,24.7,391.67,8041.77
2010-01-01 23:30:00,0.2,1790,24.6,517.145,7782.68
2010-01-02 00:00:00,0.0,1790,24.0,642.62,7574.85
2010-01-02 00:30:00,0.0,1790,24.3,586.62,7343.3
2010-01-02 01:00:00,0.0,1790,24.2,530.62,7099.73
2010-01-02 01:30:00,0.0,1790,24.2,442.01,6779.8
2010-01-02 02:00:00,0.0,1790,24.1,353.4,6497.47
2010-01-02 02:30:00,0.0,1790,23.9,356.625,6347.69
2010-01-02 03:00:00,0.0,1790,23.6,359.85,6223.64
2010-01-02 03:30:00,0.0,1790,23.5,447.565,6182.07
2010-01-02 04:00:00,0.0,1790,23.3,535.28,6140.82
2010-01-02 04:30:00,0.0,1790,22.9,520.015,6224.48
2010-01-02 05:00:00,0.0,1790,22.7,504.75,6260.0
2010-01-02 05:30:00,0.0,1790,22.4,412.21000000000004,6336.2
2010-01-02 06:00:00,0.0,1790,23.1,319.67,6470.82
2010-01-02 06:30:00,0.0,1790,24.3,243.12,6679.67
2010-01-02 07:00:00,0.0,1790,24.9,166.57,7032.62
2010-01-02 07:30:00,0.0,1790,25.5,106.02000000000001,7394.7
2010-01-02 08:00:00,0.0,1790,26.6,45.47,7788.18
2010-01-02 08:30:00,0.0,1790,26.9,22.735,8219.48
2010-01-02 09:00:00,0.0,1790,27.5,0.0,8344.2
2010-01-02 09:30:00,0.0,1790,28.0,0.0,8572.63
2010-01-02 10:00:00,0.0,1790,28.8,0.0,8698.38
2010-01-02 10:30:00,0.0,1790,28.9,0.0,8924.21
2010-01-02 11:00:00,0.0,1790,29.4,0.0,9018.29
2010-01-02 11:30:00,0.0,1790,28.9,0.0,9090.32
2010-01-02 12:00:00,0.0,1790,23.0,0.0,9028.7
2010-01-02 12:30:00,0.0,1790,22.5,0.0,8940.66
2010-01-02 13:00:00,0.0,1790,24.7,0.0,8792.66
2010-01-02 13:30:00,0.0,1790,26.3,0.0,8823.5
2010-01-02 14:00:00,0.0,1790,27.0,0.0,8908.07
2010-01-02 14:30:00,0.0,1790,27.3,0.0,8929.36
2010-01-02 15:00:00,0.0,1790,27.4,0.0,9017.31
2010-01-02 15:30:00,0.0,1790,28.3,0.0,9147.54
2010-01-02 16:00:00,0.0,1790,28.5,0.0,9282.8
2010-01-02 16:30:00,0.0,1790,24.0,0.0,9294.07
2010-01-02 17:00:00,0.0,1790,23.4,0.0,9263.27
2010-01-02 17:30:00,0.0,1790,24.2,0.0,9136.62
2010-01-02 18:00:00,0.0,1790,24.7,0.0,9039.32
2010-01-02 18:30:00,0.0,1790,24.7,11.9,8929.77
2010-01-02 19:00:00,0.0,1790,24.1,23.8,8711.58
2010-01-02 19:30:00,0.0,1790,23.4,52.400000000000006,8632.31
2010-01-02 20:00:00,0.0,1790,22.5,81.0,8714.63
2010-01-02 20:30:00,0.0,1790,22.6,94.66,8637.4
