,rainfall,pv_capacity,solar_power,peak_demand,date,prev_demand_min,prev_demand_max,prev_demand_mean,prev_demand_std,prev_temp_min,prev_temp_max,prev_temp_mean,prev_temp_std,max_temp,min_temp,prev_solar_min,prev_solar_max,prev_solar_mean,prev_solar_std,prev_peak_time
1,0.0,1790,0.0,9294.07,2010-01-02,6198.61,8883.98,7801.352916666667,881.076515966154,22.1,28.8,25.18541666666667,2.2324482871076627,29.4,22.2,0.0,628.25,153.92776315789473,218.26433659514962,17:00:00
2,15.2,1790,97.85,8247.61,2010-01-03,6140.82,9294.07,8017.459791666667,1073.8621513787443,22.2,29.4,24.795833333333334,2.1677479571374896,21.5,17.9,0.0,642.62,184.21791666666664,211.83367656352098,16:30:00
3,0.2,1790,427.65,9468.92,2010-01-04,6059.53,8247.61,7399.899583333333,746.1596403769657,17.9,21.5,19.462500000000002,0.6954640269388183,23.9,17.9,0.0,335.0,98.59572916666667,118.34630912720291,11:00:00
4,0.0,1790,0.0,10687.29,2010-01-05,6067.46,9468.92,8241.720208333334,1193.3104305473685,17.9,23.9,20.847916666666666,1.8698036742240736,27.7,15.4,0.0,639.62,227.86989583333332,247.6530738228886,11:00:00
5,0.0,1790,0.0,10879.15,2010-01-06,6313.4,10687.29,8827.813125,1449.2014326901908,15.4,27.7,22.660416666666666,3.721801187330426,25.6,20.3,0.0,1065.4,342.67052083333334,404.5083856706984,15:00:00
6,0.0,1790,32.28,9864.35,2010-01-07,6568.49,10879.15,9021.721875000001,1488.6377726113726,20.3,25.6,22.695833333333336,1.296305442948707,23.6,20.5,0.0,975.17,316.50645833333334,360.358246396139,16:00:00
7,0.4,1790,0.0,10659.19,2010-01-08,6415.95,9864.35,8566.8475,1160.0233771186258,20.5,23.6,21.879166666666666,0.9351205027214,26.3,19.7,0.0,544.67,150.13822916666666,187.02456623677207,12:30:00
8,0.0,1790,0.0,11524.52,2010-01-09,6429.62,10659.19,8926.811041666666,1376.3976986851217,19.7,26.3,23.045833333333334,1.926297112954251,36.3,18.3,0.0,937.42,298.16125,352.7640483224301,16:00:00
9,0.0,1790,0.0,10976.44,2010-01-10,6471.51,11524.52,9242.460208333334,1763.5927130325915,18.3,36.3,27.416666666666668,6.082109563102973,29.5,22.1,0.0,1004.78,343.258125,387.4848838405445,16:00:00
10,0.0,1790,0.0,11671.17,2010-01-11,6717.56,10976.44,9101.040625,1579.8707868769716,22.1,29.5,25.256249999999998,2.4850109165392302,26.4,21.7,0.0,999.2,332.001875,380.08448127486605,15:00:00
11,0.0,1790,0.0,13700.02,2010-01-12,6620.38,11671.17,9584.22,1708.8918490286605,21.7,26.4,23.719791666666666,1.5202442267166312,32.0,23.1,0.0,741.05,227.9346875,256.5092490750976,16:00:00
12,0.0,1790,41.24,12199.36,2010-01-13,7132.5,13700.02,10736.342916666666,2207.205842641621,23.1,32.0,26.943749999999998,3.1813222361484814,27.1,19.0,0.0,1016.4,321.6276041666667,377.0166086865681,16:00:00
13,8.2,1790,0.0,10118.95,2010-01-14,7396.29,12199.36,9771.57,1692.6357391924262,19.0,27.1,23.589583333333334,2.437319733286854,22.3,19.3,0.0,829.92,250.1696875,312.13400438431154,12:30:00
14,0.0,1790,0.0,10593.74,2010-01-15,6501.79,10118.95,8810.465208333333,1270.8959103199766,19.3,22.3,20.354166666666668,0.7830541225644928,25.0,19.7,0.0,352.48,123.5878125,135.35520422013607,15:00:00
15,0.0,1790,17.4,9625.75,2010-01-16,6508.89,10593.74,8988.732083333334,1344.8655128190453,19.7,25.0,22.259068627450983,1.6769340238765693,27.2,20.9,0.0,562.67,187.045,217.50121408563078,15:00:00
16,0.0,1790,24.4,9170.4,2010-01-17,6582.81,9625.75,8370.983125,1044.8269622228834,20.9,27.2,23.555208333333336,1.7470108082620444,26.6,17.3,0.0,940.88,266.9244791666667,338.20931111948175,13:00:00
17,0.2,1790,687.7,9840.73,2010-01-18,6238.98,9170.4,7915.436666666667,1024.9805684163994,17.3,26.6,21.991666666666664,2.7102510940700313,24.8,14.7,0.0,906.47,265.35552083333334,312.7770999062859,13:00:00
