datetime,total_demand,forecast_demand,forecast_datetime
2010-01-02 00:00:00,7574.85,7427.88,2010-01-01 23:31:37
2010-01-02 00:30:00,7343.3,7226.97,2010-01-01 23:31:37
2010-01-02 01:00:00,7099.73,6996.5,2010-01-01 23:31:37
2010-01-02 01:30:00,6779.8,6658.38,2010-01-01 23:31:37
2010-01-02 02:00:00,6497.47,6353.61,2010-01-01 23:31:37
2010-01-02 02:30:00,6347.69,6165.61,2010-01-01 23:31:37
2010-01-02 03:00:00,6223.64,6013.56,2010-01-01 23:31:37
2010-01-02 03:30:00,6182.07,5916.6,2010-01-01 23:31:37
2010-01-02 04:00:00,6140.82,5879.93,2010-01-01 23:31:37
2010-01-02 04:30:00,6224.48,5888.75,2010-01-01 23:31:37
2010-01-02 05:00:00,6260.0,5933.45,2010-01-01 23:31:37
2010-01-02 05:30:00,6336.2,5971.09,2010-01-01 23:31:37
2010-01-02 06:00:00,6470.82,6068.9,2010-01-01 23:31:37
2010-01-02 06:30:00,6679.67,6289.51,2010-01-01 23:31:37
2010-01-02 07:00:00,7032.62,6630.49,2010-01-01 23:31:37
2010-01-02 07:30:00,7394.7,7037.44,2010-01-01 23:31:37
2010-01-02 08:00:00,7788.18,7434.68,2010-01-01 23:31:37
2010-01-02 08:30:00,8219.48,7832.27,2010-01-01 23:31:37
2010-01-02 09:00:00,8344.2,8031.83,2010-01-01 23:31:37
2010-01-02 09:30:00,8572.63,8277.25,2010-01-01 23:31:37
2010-01-02 10:00:00,8698.38,8448.61,2010-01-01 23:31:37
2010-01-02 10:30:00,8924.21,8599.31,2010-01-01 23:31:37
2010-01-02 11:00:00,9018.29,8681.69,2010-01-01 23:31:37
2010-01-02 11:30:00,9090.32,8754.04,2010-01-01 23:31:37
2010-01-02 12:00:00,9028.7,8828.02,2010-01-01 23:31:37
2010-01-02 12:30:00,8940.66,8876.43,2010-01-01 23:31:37
2010-01-02 13:00:00,8792.66,8911.77,2010-01-01 23:31:37
2010-01-02 13:30:00,8823.5,8948.9,2010-01-01 23:31:37
2010-01-02 14:00:00,8908.07,8990.69,2010-01-01 23:31:37
2010-01-02 14:30:00,8929.36,9010.12,2010-01-01 23:31:37
2010-01-02 15:00:00,9017.31,9000.79,2010-01-01 23:31:37
2010-01-02 15:30:00,9147.54,8979.16,2010-01-01 23:31:37
2010-01-02 16:00:00,9282.8,8901.45,2010-01-01 23:31:37
2010-01-02 16:30:00,9294.07,8763.18,2010-01-01 23:31:37
2010-01-02 17:00:00,9263.27,8719.01,2010-01-01 23:31:37
2010-01-02 17:30:00,9136.62,8597.9,2010-01-01 23:31:37
2010-01-02 18:00:00,9039.32,8475.87,2010-01-01 23:31:37
2010-01-02 18:30:00,8929.77,8218.77,2010-01-01 23:31:37
2010-01-02 19:00:00,8711.58,8085.41,2010-01-01 23:31:37
2010-01-02 19:30:00,8632.31,8027.8,2010-01-01 23:31:37
2010-01-02 20:00:00,8714.63,8064.52,2010-01-01 23:31:37
2010-01-02 20:30:00,8637.4,7950.03,2010-01-01 23:31:37
2010-01-02 21:00:00,8429.31,7783.3,2010-01-01 23:31:37
2010-01-02 21:30:00,8386.9,7711.6,2010-01-01 23:31:37
2010-01-02 22:00:00,8223.8,7597.13,2010-01-01 23:31:37
2010-01-02 22:30:00,8056.14,7619.37,2010-01-01 23:31:37
2010-01-02 23:00:00,7774.04,7411.63,2010-01-01 23:31:37
2010-01-02 23:30:00,7494.76,7292.11,2010-01-01 23:31:37
2010-01-03 00:00:00,7284.1,7324.27,2010-01-02 23:31:24
2010-01-03 00:30:00,7053.93,7118.94,2010-01-02 23:31:24
2010-01-03 01:00:00,6820.07,6899.55,2010-01-02 23:31:24
2010-01-03 01:30:00,6537.47,6627.29,2010-01-02 23:31:24
2010-01-03 02:00:00,6362.67,6390.98,2010-01-02 23:31:24
2010-01-03 02:30:00,6178.57,6194.9,2010-01-02 23:31:24
2010-01-03 03:00:00,6088.35,6079.66,2010-01-02 23:31:24
2010-01-03 03:30:00,6077.74,6041.62,2010-01-02 23:31:24
2010-01-03 04:00:00,6059.53,6042.2,2010-01-02 23:31:24
2010-01-03 04:30:00,6101.68,6069.24,2010-01-02 23:31:24
2010-01-03 05:00:00,6111.6,6090.23,2010-01-02 23:31:24
2010-01-03 05:30:00,6173.45,6106.99,2010-01-02 23:31:24
2010-01-03 06:00:00,6289.99,6175.76,2010-01-02 23:31:24
2010-01-03 06:30:00,6486.85,6290.38,2010-01-02 23:31:24
2010-01-03 07:00:00,6741.22,6495.03,2010-01-02 23:31:24
2010-01-03 07:30:00,7067.4,6863.59,2010-01-02 23:31:24
2010-01-03 08:00:00,7372.19,7238.87,2010-01-02 23:31:24
2010-01-03 08:30:00,7654.43,7653.47,2010-01-02 23:31:24
2010-01-03 09:00:00,7872.77,7955.64,2010-01-02 23:31:24
2010-01-03 09:30:00,8080.89,8182.97,2010-01-02 23:31:24
2010-01-03 10:00:00,8170.53,8305.34,2010-01-02 23:31:24
2010-01-03 10:30:00,8219.42,8388.21,2010-01-02 23:31:24
2010-01-03 11:00:00,8247.61,8411.3,2010-01-02 23:31:24
2010-01-03 11:30:00,8210.11,8414.36,2010-01-02 23:31:24
2010-01-03 12:00:00,8190.92,8401.74,2010-01-02 23:31:24
2010-01-03 12:30:00,8167.87,8380.14,2010-01-02 23:31:24
2010-01-03 13:00:00,8085.82,8342.68,2010-01-02 23:31:24
2010-01-03 13:30:00,8006.24,8291.17,2010-01-02 23:31:24
2010-01-03 14:00:00,7954.82,8273.09,2010-01-02 23:31:24
2010-01-03 14:30:00,7958.57,8267.82,2010-01-02 23:31:24
2010-01-03 15:00:00,7953.7,8267.53,2010-01-02 23:31:24
2010-01-03 15:30:00,7925.27,8280.12,2010-01-02 23:31:24
2010-01-03 16:00:00,7902.04,8305.26,2010-01-02 23:31:24
2010-01-03 16:30:00,7867.11,8288.2,2010-01-02 23:31:24
2010-01-03 17:00:00,7941.71,8327.9,2010-01-02 23:31:24
2010-01-03 17:30:00,7980.47,8280.91,2010-01-02 23:31:24
2010-01-03 18:00:00,7961.48,8258.61,2010-01-02 23:31:24
2010-01-03 18:30:00,7916.13,8234.1,2010-01-02 23:31:24
2010-01-03 19:00:00,7878.88,8231.83,2010-01-02 23:31:24
2010-01-03 19:30:00,7933.04,8262.06,2010-01-02 23:31:24
2010-01-03 20:00:00,7995.93,8295.32,2010-01-02 23:31:24
2010-01-03 20:30:00,7832.08,8198.63,2010-01-02 23:31:24
2010-01-03 21:00:00,7642.16,8017.63,2010-01-02 23:31:24
2010-01-03 21:30:00,7596.42,7941.47,2010-01-02 23:31:24
2010-01-03 22:00:00,7528.43,7771.54,2010-01-02 23:31:24
2010-01-03 22:30:00,7445.23,7674.21,2010-01-02 23:31:24
2010-01-03 23:00:00,7226.84,7481.56,2010-01-02 23:31:24
2010-01-03 23:30:00,7041.45,7340.58,2010-01-02 23:31:24
2010-01-04 00:00:00,6917.57,7069.7,2010-01-03 23:31:26
2010-01-04 00:30:00,6813.43,7027.63,2010-01-03 23:31:26
2010-01-04 01:00:00,6633.42,6864.58,2010-01-03 23:31:26
2010-01-04 01:30:00,6424.02,6649.73,2010-01-03 23:31:26
2010-01-04 02:00:00,6218.66,6465.43,2010-01-03 23:31:26
2010-01-04 02:30:00,6106.83,6294.62,2010-01-03 23:31:26
2010-01-04 03:00:00,6067.46,6200.22,2010-01-03 23:31:26
2010-01-04 03:30:00,6083.12,6173.89,2010-01-03 23:31:26
2010-01-04 04:00:00,6153.59,6189.64,2010-01-03 23:31:26
2010-01-04 04:30:00,6317.88,6337.84,2010-01-03 23:31:26
2010-01-04 05:00:00,6522.17,6502.49,2010-01-03 23:31:26
2010-01-04 05:30:00,6855.21,6846.49,2010-01-03 23:31:26
2010-01-04 06:00:00,7256.79,7295.01,2010-01-03 23:31:26
2010-01-04 06:30:00,7646.81,7756.05,2010-01-03 23:31:26
2010-01-04 07:00:00,8040.24,8281.63,2010-01-03 23:31:26
2010-01-04 07:30:00,8360.91,8670.46,2010-01-03 23:31:26
2010-01-04 08:00:00,8689.94,9020.51,2010-01-03 23:31:26
2010-01-04 08:30:00,9017.18,9305.31,2010-01-03 23:31:26
2010-01-04 09:00:00,9174.86,9523.08,2010-01-03 23:31:26
2010-01-04 09:30:00,9295.43,9710.13,2010-01-03 23:31:26
2010-01-04 10:00:00,9415.46,9824.55,2010-01-03 23:31:26
2010-01-04 10:30:00,9421.38,9909.04,2010-01-03 23:31:26
2010-01-04 11:00:00,9468.92,9987.87,2010-01-03 23:31:26
2010-01-04 11:30:00,9460.93,10033.61,2010-01-03 23:31:26
2010-01-04 12:00:00,9378.86,10070.62,2010-01-03 23:31:26
2010-01-04 12:30:00,9349.24,10114.4,2010-01-03 23:31:26
2010-01-04 13:00:00,9329.34,10145.06,2010-01-03 23:31:26
2010-01-04 13:30:00,9362.77,10175.66,2010-01-03 23:31:26
2010-01-04 14:00:00,9319.96,10190.04,2010-01-03 23:31:26
2010-01-04 14:30:00,9329.26,10188.15,2010-01-03 23:31:26
2010-01-04 15:00:00,9324.71,10193.19,2010-01-03 23:31:26
2010-01-04 15:30:00,9394.41,10200.1,2010-01-03 23:31:26
2010-01-04 16:00:00,9452.31,10191.08,2010-01-03 23:31:26
2010-01-04 16:30:00,9424.83,10124.87,2010-01-03 23:31:26
2010-01-04 17:00:00,9334.77,10051.7,2010-01-03 23:31:26
2010-01-04 17:30:00,9110.1,9858.93,2010-01-03 23:31:26
2010-01-04 18:00:00,8967.91,9711.52,2010-01-03 23:31:26
2010-01-04 18:30:00,8790.73,9481.41,2010-01-03 23:31:26
2010-01-04 19:00:00,8652.85,9329.39,2010-01-03 23:31:26
2010-01-04 19:30:00,8662.97,9260.55,2010-01-03 23:31:26
2010-01-04 20:00:00,8703.79,9243.65,2010-01-03 23:31:26
