datetime,rainfall,pv_capacity,temperature,solar_power,total_demand,time,date,forecast_demand,forecast_date
2010-01-02 16:30:00,0.0,1790,24.0,243.12,9294.07,1900-01-01 16:30:00,2010-01-02,8763.18,2010-01-01
2010-01-03 11:00:00,15.2,1790,18.3,311.08,8247.61,1900-01-01 11:00:00,2010-01-03,8411.3,2010-01-02
2010-01-04 11:00:00,0.2,1790,22.6,539.45,9468.92,1900-01-01 11:00:00,2010-01-04,9987.87,2010-01-03
2010-01-05 15:00:00,0.0,1790,26.1,445.8,10687.29,1900-01-01 15:00:00,2010-01-05,10685.05,2010-01-04
2010-01-06 16:00:00,0.0,1790,23.8,381.45,10879.15,1900-01-01 16:00:00,2010-01-06,10689.7,2010-01-05
2010-01-07 12:30:00,0.0,1790,23.1,454.125,9864.35,1900-01-01 12:30:00,2010-01-07,10015.76,2010-01-06
2010-01-08 16:00:00,0.4,1790,25.6,459.1,10659.19,1900-01-01 16:00:00,2010-01-08,10762.52,2010-01-07
2010-01-09 16:00:00,0.0,1790,34.4,354.83,11524.52,1900-01-01 16:00:00,2010-01-09,10525.52,2010-01-08
2010-01-10 15:00:00,0.0,1790,26.4,551.88,10976.44,1900-01-01 15:00:00,2010-01-10,10570.29,2010-01-09
2010-01-11 16:00:00,0.0,1790,25.8,348.55,11671.17,1900-01-01 16:00:00,2010-01-11,12244.08,2010-01-10
2010-01-12 16:00:00,0.0,1790,30.8,381.75,13700.02,1900-01-01 16:00:00,2010-01-12,13211.18,2010-01-11
2010-01-13 12:30:00,0.0,1790,26.1,724.2750000000001,12199.36,1900-01-01 12:30:00,2010-01-13,12291.92,2010-01-12
2010-01-14 15:00:00,8.2,1790,21.5,270.48,10118.95,1900-01-01 15:00:00,2010-01-14,9802.51,2010-01-13
2010-01-15 15:00:00,0.0,1790,24.2,513.42,10593.74,1900-01-01 15:00:00,2010-01-15,10804.25,2010-01-14
2010-01-16 13:00:00,0.0,1790,27.0,866.17,9625.75,1900-01-01 13:00:00,2010-01-16,9153.77,2010-01-15
2010-01-17 13:00:00,0.0,1790,24.4,658.92,9170.4,1900-01-01 13:00:00,2010-01-17,9387.16,2010-01-16
2010-01-18 10:00:00,0.2,1790,22.6,873.3,9840.73,1900-01-01 10:00:00,2010-01-18,9857.22,2010-01-17
2010-01-19 11:00:00,0.0,1790,22.6,1063.4,9695.51,1900-01-01 11:00:00,2010-01-19,10136.56,2010-01-18
2010-01-20 16:00:00,0.0,1790,28.4,501.08,10819.11,1900-01-01 16:00:00,2010-01-20,11156.15,2010-01-19
2010-01-21 16:00:00,0.0,1790,29.2,465.52,12758.95,1900-01-01 16:00:00,2010-01-21,11688.67,2010-01-20
2010-01-22 15:00:00,0.0,1790,35.0,669.88,13765.04,1900-01-01 15:00:00,2010-01-22,13280.38,2010-01-21
2010-01-23 14:00:00,0.0,1790,40.0,647.08,12278.96,1900-01-01 14:00:00,2010-01-23,12540.56,2010-01-22
2010-01-24 16:00:00,3.2,1790,22.8,319.27,9004.24,1900-01-01 16:00:00,2010-01-24,8742.51,2010-01-23
2010-01-25 16:00:00,0.0,1790,26.0,371.9,11418.89,1900-01-01 16:00:00,2010-01-25,11649.1,2010-01-24
2010-01-26 16:00:00,0.0,1790,28.8,413.4,11504.61,1900-01-01 16:00:00,2010-01-26,10078.01,2010-01-25
2010-01-27 13:30:00,0.0,1790,25.1,551.775,11681.57,1900-01-01 13:30:00,2010-01-27,11305.61,2010-01-26
2010-01-28 13:30:00,0.8,1790,25.8,238.03500000000005,11452.11,1900-01-01 13:30:00,2010-01-28,10942.3,2010-01-27
2010-01-29 15:30:00,13.4,1790,26.6,507.4,11453.22,1900-01-01 15:30:00,2010-01-29,12011.91,2010-01-28
2010-01-30 16:00:00,0.4,1790,25.3,419.25,9461.36,1900-01-01 16:00:00,2010-01-30,8975.22,2010-01-29
2010-01-31 15:30:00,0.0,1790,27.5,377.575,9749.46,1900-01-01 15:30:00,2010-01-31,8993.29,2010-01-30
2010-02-01 14:00:00,0.6,4221,28.1,702.6,11580.28,1900-01-01 14:00:00,2010-02-01,11337.64,2010-01-31
2010-02-02 12:30:00,0.0,4221,25.1,503.165,10625.12,1900-01-01 12:30:00,2010-02-02,10916.9,2010-02-01
2010-02-03 16:00:00,23.0,4221,26.5,357.42,11024.02,1900-01-01 16:00:00,2010-02-03,10897.85,2010-02-02
2010-02-04 13:30:00,10.6,4221,27.1,591.24,11138.52,1900-01-01 13:30:00,2010-02-04,11059.21,2010-02-03
2010-02-05 13:30:00,7.8,4221,27.9,423.9500000000001,11530.39,1900-01-01 13:30:00,2010-02-05,11170.32,2010-02-04
2010-02-06 11:00:00,37.0,4221,22.2,538.55,9326.52,1900-01-01 11:00:00,2010-02-06,9144.86,2010-02-05
2010-02-07 17:30:00,21.7,4221,23.3,55.79,9282.9,1900-01-01 17:30:00,2010-02-07,8999.42,2010-02-06
2010-02-08 16:00:00,6.4,4221,27.0,389.58,11299.68,1900-01-01 16:00:00,2010-02-08,11360.33,2010-02-07
2010-02-09 16:00:00,1.0,4221,27.3,408.5,11879.3,1900-01-01 16:00:00,2010-02-09,11538.09,2010-02-08
2010-02-10 16:00:00,0.5000000000000012,4221,27.5,425.23,12394.02,1900-01-01 16:00:00,2010-02-10,12143.38,2010-02-09
2010-02-11 15:00:00,0.0,4221,28.1,437.62,12606.64,1900-01-01 15:00:00,2010-02-11,12534.35,2010-02-10
2010-02-12 16:00:00,0.0,4221,29.87142857142857,223.4,13134.81,1900-01-01 16:00:00,2010-02-12,13693.67,2010-02-11
2010-02-13 11:00:00,3.533333333333338,4221,24.0,570.4,9696.85,1900-01-01 11:00:00,2010-02-13,9723.17,2010-02-12
2010-02-14 17:00:00,7.066666666666678,4221,27.0,76.22,9719.52,1900-01-01 17:00:00,2010-02-14,8996.51,2010-02-13
2010-02-15 16:00:00,10.6,4221,29.2,353.77,12043.83,1900-01-01 16:00:00,2010-02-15,11422.12,2010-02-14
2010-02-16 13:30:00,0.0,4221,25.1,561.135,10450.24,1900-01-01 13:30:00,2010-02-16,11216.72,2010-02-15
2010-02-17 16:00:00,0.0,4221,23.6,398.55,10621.94,1900-01-01 16:00:00,2010-02-17,10835.54,2010-02-16
2010-02-18 14:00:00,0.0,4221,23.0,565.4,10150.35,1900-01-01 14:00:00,2010-02-18,10513.14,2010-02-17
2010-02-19 12:30:00,0.0,4221,24.9,620.025,10138.04,1900-01-01 12:30:00,2010-02-19,10223.09,2010-02-18
2010-02-20 15:30:00,0.0,4221,26.7,509.89,9724.24,1900-01-01 15:30:00,2010-02-20,9558.33,2010-02-19
2010-02-21 17:00:00,0.0,4221,29.6,169.23,10992.0,1900-01-01 17:00:00,2010-02-21,9689.2,2010-02-20
2010-02-22 15:30:00,0.0,4221,34.7,465.875,13377.27,1900-01-01 15:30:00,2010-02-22,13086.88,2010-02-21
2010-02-23 11:30:00,0.0,4221,24.3,601.36,11563.93,1900-01-01 11:30:00,2010-02-23,11867.61,2010-02-22
2010-02-24 11:00:00,0.0,4221,22.8,469.95,10103.82,1900-01-01 11:00:00,2010-02-24,10497.79,2010-02-23
2010-02-25 11:00:00,0.0,4221,24.3,815.58,10251.46,1900-01-01 11:00:00,2010-02-25,10142.97,2010-02-24
2010-02-26 11:00:00,0.0,4221,23.7,572.75,10217.14,1900-01-01 11:00:00,2010-02-26,10201.83,2010-02-25
2010-02-27 16:00:00,0.0,4221,27.3,365.17,10028.25,1900-01-01 16:00:00,2010-02-27,9914.74,2010-02-26
2010-02-28 14:00:00,0.0,4221,25.3,301.98,9513.77,1900-01-01 14:00:00,2010-02-28,9696.42,2010-02-27
2010-03-01 11:00:00,4.4,7567,18.7,216.9,9813.83,1900-01-01 11:00:00,2010-03-01,9828.02,2010-02-28
2010-03-02 10:30:00,1.4,7567,20.8,489.05,9559.15,1900-01-01 10:30:00,2010-03-02,9899.32,2010-03-01
2010-03-03 11:00:00,0.0,7567,21.6,632.75,9806.22,1900-01-01 11:00:00,2010-03-03,9890.69,2010-03-02
2010-03-04 16:00:00,7.399999999999974,7567,24.8,296.17,10110.66,1900-01-01 16:00:00,2010-03-04,10418.92,2010-03-03
2010-03-05 09:30:00,14.800000000000024,7567,25.0,375.785,10338.46,1900-01-01 09:30:00,2010-03-05,10016.12,2010-03-04
2010-03-06 16:00:00,22.2,7567,27.0,283.98,9859.15,1900-01-01 16:00:00,2010-03-06,9557.3,2010-03-05
2010-03-07 12:00:00,0.2,7567,25.6,667.22,9182.18,1900-01-01 12:00:00,2010-03-07,8824.31,2010-03-06
2010-03-08 16:00:00,0.8,7567,29.7,181.77,11054.9,1900-01-01 16:00:00,2010-03-08,10716.54,2010-03-07
2010-03-09 16:00:00,0.2,7567,29.2,314.9,10747.42,1900-01-01 16:00:00,2010-03-09,11059.28,2010-03-08
2010-03-10 09:30:00,0.0,7567,19.9,299.505,9913.53,1900-01-01 09:30:00,2010-03-10,9856.61,2010-03-09
2010-03-11 11:00:00,0.0,7567,21.5,689.05,9612.66,1900-01-01 11:00:00,2010-03-11,9839.56,2010-03-10
2010-03-12 10:00:00,0.0,7567,21.9,693.15,9735.27,1900-01-01 10:00:00,2010-03-12,9638.95,2010-03-11
2010-03-13 10:00:00,0.0,7567,21.5,646.6,8823.41,1900-01-01 10:00:00,2010-03-13,9043.93,2010-03-12
2010-03-14 19:00:00,1.4,7567,21.0,0.0,8559.36,1900-01-01 19:00:00,2010-03-14,8618.23,2010-03-13
2010-03-15 13:30:00,0.0,7567,25.5,667.39,10098.36,1900-01-01 13:30:00,2010-03-15,10000.16,2010-03-14
2010-03-16 15:30:00,0.0,7567,25.4,401.435,10262.78,1900-01-01 15:30:00,2010-03-16,10358.22,2010-03-15
2010-03-17 15:30:00,0.0,7567,25.5,415.045,10325.68,1900-01-01 15:30:00,2010-03-17,10250.63,2010-03-16
2010-03-18 16:00:00,0.0,7567,26.2,279.98,10438.12,1900-01-01 16:00:00,2010-03-18,10471.23,2010-03-17
2010-03-19 16:00:00,0.0,7567,28.9,281.48,10831.75,1900-01-01 16:00:00,2010-03-19,10444.29,2010-03-18
2010-03-20 16:00:00,0.0,7567,29.2,269.98,10045.89,1900-01-01 16:00:00,2010-03-20,9984.04,2010-03-19
2010-03-21 19:00:00,0.0,7567,30.8,0.0,10102.26,1900-01-01 19:00:00,2010-03-21,9845.01,2010-03-20
2010-03-22 13:30:00,0.0,7567,23.26,608.35,10358.94,1900-01-01 13:30:00,2010-03-22,10253.53,2010-03-21
2010-03-23 16:00:00,0.0,7567,26.5,246.45,10861.24,1900-01-01 16:00:00,2010-03-23,10678.58,2010-03-22
2010-03-24 14:00:00,0.0,7567,24.7,502.08,10373.77,1900-01-01 14:00:00,2010-03-24,10388.15,2010-03-23
2010-03-25 15:30:00,0.0,7567,25.1,342.96,10597.84,1900-01-01 15:30:00,2010-03-25,10673.34,2010-03-24
