LOCATION,DATETIME,TEMPERATURE
Bankstown,1/1/2010 0:00,23.1
Bankstown,1/1/2010 0:01,23.1
Bankstown,1/1/2010 0:30,22.9
Bankstown,1/1/2010 0:50,22.7
Bankstown,1/1/2010 1:00,22.6
Bankstown,1/1/2010 1:30,22.5
Bankstown,1/1/2010 2:00,22.5
Bankstown,1/1/2010 2:30,22.4
Bankstown,1/1/2010 3:00,22.3
Bankstown,1/1/2010 3:30,22.3
Bankstown,1/1/2010 4:00,22.1
Bankstown,1/1/2010 4:30,22.2
Bankstown,1/1/2010 5:00,22.2
Bankstown,1/1/2010 5:30,22.3
Bankstown,1/1/2010 6:00,22.5
Bankstown,1/1/2010 6:30,23.2
Bankstown,1/1/2010 7:00,23.3
Bankstown,1/1/2010 7:30,23.8
Bankstown,1/1/2010 8:00,24.5
Bankstown,1/1/2010 8:30,24.6
Bankstown,1/1/2010 9:00,25.3
Bankstown,1/1/2010 9:30,24.6
Bankstown,1/1/2010 10:00,24.5
Bankstown,1/1/2010 10:30,25.2
Bankstown,1/1/2010 11:00,25.4
Bankstown,1/1/2010 11:30,25.6
Bankstown,1/1/2010 12:00,27
Bankstown,1/1/2010 12:30,27.4
Bankstown,1/1/2010 13:00,28.1
Bankstown,1/1/2010 13:30,28.6
Bankstown,1/1/2010 14:00,28.4
Bankstown,1/1/2010 14:30,28.8
Bankstown,1/1/2010 15:00,28.2
Bankstown,1/1/2010 15:30,28.6
Bankstown,1/1/2010 16:00,28.8
Bankstown,1/1/2010 16:30,28.5
Bankstown,1/1/2010 17:00,28.3
Bankstown,1/1/2010 17:30,27.9
Bankstown,1/1/2010 18:00,27.3
Bankstown,1/1/2010 18:30,26.8
Bankstown,1/1/2010 19:00,26.5
Bankstown,1/1/2010 19:30,26.2
Bankstown,1/1/2010 20:00,25.9
Bankstown,1/1/2010 20:30,25.7
Bankstown,1/1/2010 21:00,25.5
Bankstown,1/1/2010 21:30,25.2
Bankstown,1/1/2010 22:00,25.1
Bankstown,1/1/2010 22:30,24.9
Bankstown,1/1/2010 23:00,24.7
Bankstown,1/1/2010 23:30,24.6
Bankstown,2/1/2010 0:00,24
Bankstown,2/1/2010 0:30,24.3
Bankstown,2/1/2010 1:00,24.2
