DATETIME,TOTALDEMAND,REGIONID
1/1/2010 0:00,8038,NSW1
1/1/2010 0:30,7809.31,NSW1
1/1/2010 1:00,7483.69,NSW1
1/1/2010 1:30,7117.23,NSW1
1/1/2010 2:00,6812.03,NSW1
1/1/2010 2:30,6544.33,NSW1
1/1/2010 3:00,6377.32,NSW1
1/1/2010 3:30,6282.85,NSW1
1/1/2010 4:00,6211.49,NSW1
1/1/2010 4:30,6248.31,NSW1
1/1/2010 5:00,6198.61,NSW1
1/1/2010 5:30,6237.35,NSW1
1/1/2010 6:00,6370.48,NSW1
1/1/2010 6:30,6506.42,NSW1
1/1/2010 7:00,6738.75,NSW1
1/1/2010 7:30,6980.41,NSW1
1/1/2010 8:00,7213.33,NSW1
1/1/2010 8:30,7515.6,NSW1
1/1/2010 9:00,7761.46,NSW1
1/1/2010 9:30,7915.54,NSW1
1/1/2010 10:00,8067.16,NSW1
1/1/2010 10:30,8123.31,NSW1
1/1/2010 11:00,8195.51,NSW1
1/1/2010 11:30,8221.36,NSW1
1/1/2010 12:00,8278.09,NSW1
1/1/2010 12:30,8361.58,NSW1
1/1/2010 13:00,8337.92,NSW1
1/1/2010 13:30,8421.08,NSW1
1/1/2010 14:00,8477.34,NSW1
1/1/2010 14:30,8501.39,NSW1
1/1/2010 15:00,8557.94,NSW1
1/1/2010 15:30,8603.11,NSW1
1/1/2010 16:00,8715.69,NSW1
1/1/2010 16:30,8791.61,NSW1
1/1/2010 17:00,8883.98,NSW1
1/1/2010 17:30,8835.92,NSW1
1/1/2010 18:00,8765.46,NSW1
1/1/2010 18:30,8640.56,NSW1
1/1/2010 19:00,8544.55,NSW1
1/1/2010 19:30,8562.12,NSW1
1/1/2010 20:00,8635.78,NSW1
1/1/2010 20:30,8573.05,NSW1
1/1/2010 21:00,8333.54,NSW1
1/1/2010 21:30,8343.8,NSW1
1/1/2010 22:00,8295.59,NSW1
1/1/2010 22:30,8210.54,NSW1
1/1/2010 23:00,8041.77,NSW1
1/1/2010 23:30,7782.68,NSW1
2/1/2010 0:00,7574.85,NSW1
2/1/2010 0:30,7343.3,NSW1
2/1/2010 1:00,7099.73,NSW1
2/1/2010 1:30,6779.8,NSW1
2/1/2010 2:00,6497.47,NSW1
2/1/2010 2:30,6347.69,NSW1
2/1/2010 3:00,6223.64,NSW1
