,All,Summer,Autumn,Winter,Spring
count,196465.0,50448.0,49393.0,48576.0,48048.0
mean,317574.36581579415,324860.84681255947,303741.8439859899,313516.24407114624,328246.3746253746
std,164987.44700905116,177417.23639554763,163068.40678950024,156684.52787322583,160369.26194792805
min,1790.0,1790.0,7567.0,22631.0,45005.0
25%,203602.0,214795.0,177861.0,196738.0,207961.0
50%,313008.0,323667.0,301012.0,310007.0,318501.0
75%,423219.0,461924.0,417558.0,427863.0,444197.0
max,691748.0,680056.0,691748.0,614709.0,648554.0
skew,0.17383038273073423,0.21939384795911965,0.09444382223194313,0.09591504860442769,0.24337536331971885
kurtosis,-0.4934938985078494,-0.5410587342877231,-0.49614255431475796,-0.5493831448338957,-0.5653685839324512
