,All,Summer,Autumn,Winter,Spring
count,4094.0,1051.0,1030.0,1012.0,1001.0
mean,317663.8573522228,324860.84681255947,304110.70097087376,313516.24407114624,328246.3746253746
std,165088.894885207,177499.94142526286,163506.65726905494,156760.38501341976,160447.7568555588
min,1790.0,1790.0,7567.0,22631.0,45005.0
25%,203602.0,214795.0,177861.0,196738.0,207961.0
50%,313008.0,323667.0,301012.0,310007.0,318501.0
75%,423219.0,461924.0,417558.0,427863.0,444197.0
max,691748.0,680056.0,691748.0,614709.0,648554.0
skew,0.17475283881291792,0.21970100888777902,0.0998247307432845,0.09605451873327524,0.24373315200052495
kurtosis,-0.49227089213465014,-0.5379765691145932,-0.487863989351875,-0.5462221069363795,-0.5622511225598843
