,All,Summer,Autumn,Winter,Spring
count,196465.0,50448.0,49393.0,48576.0,48048.0
mean,2.3167373323492733,2.7876308277830635,2.468904500637742,2.1385375494071144,1.8460539460539462
std,8.273068991859082,9.209044237594803,8.443006055488805,8.82700112709496,6.185541858856647
min,-6.883382752675972e-16,0.0,-6.883382752675972e-16,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0
75%,0.4,0.8,0.4,0.2,0.2
max,159.6,159.6,89.6,141.0,78.4
skew,7.783109376473431,7.928339128964375,5.9768596986382585,9.050013071146342,6.195550372174449
kurtosis,91.07291003725568,99.83037165906207,42.54628199914678,111.18757646993959,51.248549322693655
