,All,Summer,Autumn,Winter,Spring
count,4094.0,1051.0,1030.0,1012.0,1001.0
mean,2.317953102100635,2.7876308277830635,2.473592233009709,2.1385375494071144,1.846053946053946
std,8.273442491037592,9.213337136598263,8.444374895575535,8.831274625385308,6.188569456109136
min,-6.883382752675972e-16,0.0,-6.883382752675972e-16,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0
75%,0.4,0.8,0.4,0.2,0.2
max,159.6,159.6,89.6,141.0,78.4
skew,7.785394072709387,7.939439148551223,5.983854939216113,9.063172700500367,6.204658515925291
kurtosis,91.18432551462699,100.30260383354901,42.755562252021306,111.73320997845491,51.50599269726306
