,All,Summer,Autumn,Winter,Spring
count,196465.0,50448.0,49393.0,48576.0,48048.0
mean,194.26003379736852,259.0095163336505,160.76277286255137,122.53329174901185,233.22620379620378
std,273.1538202075381,323.9652414794581,230.70855409780273,186.59054335204866,304.4765470216285
min,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0
50%,14.3,74.8425,0.0,0.0,36.167500000000004
75%,351.1,488.5125,300.19,218.85500000000002,450.60375
max,1119.35,1119.35,954.15,759.62,1091.28
skew,1.299075218934746,0.9806480610663767,1.267557359586941,1.374116133403302,1.0318752394631903
kurtosis,0.5554086446055027,-0.42526223362524584,0.3746564157745689,0.6251319480808637,-0.3360910605699208
