,All,Summer,Autumn,Winter,Spring
count,4094.0,1051.0,1030.0,1012.0,1001.0
mean,128.475718124084,296.75310180780207,81.20007766990291,4.6826877470355734,125.59152847152848
std,205.29769622569444,208.44966279265032,164.78615998495965,36.78055902437761,223.59417312065946
min,0.0,0.0,0.0,0.0,0.0
25%,0.0,136.74,0.0,0.0,0.0
50%,0.0,268.3,0.0,0.0,0.0
75%,223.9875,424.675,57.81,0.0,157.07
max,1063.4,1063.4,799.75,357.69,978.64
skew,1.6875407678804946,0.691475439579154,2.1869378291591266,8.013221908571495,1.9371963676530717
kurtosis,2.1987123998478464,0.16253228951903154,4.08919808436965,63.981116793289495,2.8762014254415282
