,All,Summer,Autumn,Winter,Spring
count,196465.0,50448.0,49393.0,48576.0,48048.0
mean,17.53065046055945,22.391520053035244,17.807739526101322,12.024747225613032,17.708542279682582
std,5.880907018319507,3.9819030403817504,4.942147360034233,4.364073695512126,4.983930365771651
min,-1.3,8.9,1.9,-1.3,2.9
25%,13.5,19.8,14.3,8.8,14.5
50%,17.9,22.0,18.1,12.1,17.6
75%,21.5,24.5,21.2,15.2,20.6
max,44.7,44.7,38.8,28.7,40.4
skew,0.004424591239560531,0.7496853472952417,-0.050695993534686186,0.03270795015380604,0.378077794763823
kurtosis,-0.03283602023862553,1.7100158934888396,-0.15311172204305823,-0.4500216961049128,0.6666463724213072
