,All,Summer,Autumn,Winter,Spring
count,4094.0,1051.0,1030.0,1012.0,1001.0
mean,19.04161442159826,24.68175827812613,19.268019417475728,12.825080525407815,19.171628371628373
std,5.757769136558335,3.8498286598452105,4.418815033128077,2.6386136237897637,4.514987734839846
min,4.9,14.2,8.2,4.9,9.6
25%,14.523618784530386,22.1,16.0,11.1,16.0
50%,18.6,24.5,18.9,12.850000000000001,18.4
75%,23.3,26.8,22.175,14.5,21.6
max,40.6,40.6,37.1,22.9,39.8
skew,0.34209066983636016,0.7332945922425839,0.39255050463895014,0.19532561822319372,0.9338090750396218
kurtosis,-0.2573523744987174,1.3829364972390201,0.043308077847996174,0.4554549929923626,1.3535653651534387
