,All,Summer,Autumn,Winter,Spring
count,196465.0,50448.0,49393.0,48576.0,48048.0
mean,8113.222036036953,8156.249334165873,7906.197640758811,8738.861347784914,7648.350649350649
std,1299.6109279626103,1450.5655113430482,1149.7478724459772,1266.7545239877045,1028.5666631213046
min,5074.63,5074.63,5384.58,5623.02,5221.13
25%,7150.12,7056.092500000001,7044.5,7793.157499999999,6898.005
50%,8053.22,8046.030000000001,7924.32,8734.105,7668.73
75%,8958.77,9054.66,8697.64,9649.91,8317.2625
max,14579.86,14579.86,12191.08,13176.33,12601.82
skew,0.4412945706837711,0.6468794222735137,0.16107327993872414,0.10940303988151341,0.24133522684020367
kurtosis,0.09980847108855562,0.449695848409406,-0.47509253578305977,-0.5639300200615014,-0.08402484633361063
