,All,Summer,Autumn,Winter,Spring
count,4094.0,1051.0,1030.0,1012.0,1001.0
mean,9621.22006595017,9627.049467174118,9311.56491262136,10675.249407114623,8868.113586413585
std,1198.6880143553697,1391.8469960320117,871.1741896257653,793.972746282647,798.632293957003
min,6746.09,6746.09,7094.51,8220.01,7324.15
25%,8690.99,8583.945,8687.67,10133.682499999999,8336.31
50%,9491.705,9417.02,9235.369999999999,10685.11,8759.83
75%,10454.71,10428.71,9832.095,11240.36,9284.23
max,14579.86,14579.86,12191.08,13176.33,12601.82
skew,0.49437910659140094,0.7479504459736936,0.4357548711734247,0.02238855014209001,0.8880463353862594
kurtosis,-0.013229147090826121,0.5013000675050274,-0.028298169446209887,-0.15821286183394312,1.3283935367104132
