,date,time,true_demand,lstm_pred_demand
0,2017-01-01,1900-01-01 00:00:00,7431.17,7897.356
1,2017-01-01,1900-01-01 00:30:00,7259.07,7627.475
2,2017-01-01,1900-01-01 01:00:00,7046.41,7353.8184
3,2017-01-01,1900-01-01 01:30:00,6845.24,7031.378
4,2017-01-01,1900-01-01 02:00:00,6629.92,6706.678
5,2017-01-01,1900-01-01 02:30:00,6472.71,6546.5474
6,2017-01-01,1900-01-01 03:00:00,6373.64,6393.6006
7,2017-01-01,1900-01-01 03:30:00,6287.67,6377.749
8,2017-01-01,1900-01-01 04:00:00,6225.3,6509.108
9,2017-01-01,1900-01-01 04:30:00,6212.98,6495.618
10,2017-01-01,1900-01-01 05:00:00,6175.33,6556.5186
11,2017-01-01,1900-01-01 05:30:00,6179.87,6561.9897
12,2017-01-01,1900-01-01 06:00:00,6219.58,6694.98
13,2017-01-01,1900-01-01 06:30:00,6314.27,7015.887
14,2017-01-01,1900-01-01 07:00:00,6443.15,7177.818
15,2017-01-01,1900-01-01 07:30:00,6660.33,7642.7046
16,2017-01-01,1900-01-01 08:00:00,6852.99,7910.2397
17,2017-01-01,1900-01-01 08:30:00,7071.57,8291.42
18,2017-01-01,1900-01-01 09:00:00,7229.61,8474.232
19,2017-01-01,1900-01-01 09:30:00,7393.02,8706.499
20,2017-01-01,1900-01-01 10:00:00,7496.67,8836.971
21,2017-01-01,1900-01-01 10:30:00,7659.46,8951.143
22,2017-01-01,1900-01-01 11:00:00,7781.35,9048.6
23,2017-01-01,1900-01-01 11:30:00,7876.15,9193.886
24,2017-01-01,1900-01-01 12:00:00,7985.04,9409.751
25,2017-01-01,1900-01-01 12:30:00,8030.25,9468.38
26,2017-01-01,1900-01-01 13:00:00,8104.48,9481.257
27,2017-01-01,1900-01-01 13:30:00,8129.77,9604.703
28,2017-01-01,1900-01-01 14:00:00,8159.3,9761.73
29,2017-01-01,1900-01-01 14:30:00,8150.51,9738.215
30,2017-01-01,1900-01-01 15:00:00,8150.73,9831.941
31,2017-01-01,1900-01-01 15:30:00,8115.43,9788.107
32,2017-01-01,1900-01-01 16:00:00,8110.22,9782.418
33,2017-01-01,1900-01-01 16:30:00,8101.4,9534.206
34,2017-01-01,1900-01-01 17:00:00,8205.1,9456.009
35,2017-01-01,1900-01-01 17:30:00,8186.67,9228.217
36,2017-01-01,1900-01-01 18:00:00,8202.25,9041.688
37,2017-01-01,1900-01-01 18:30:00,8176.77,8789.656
38,2017-01-01,1900-01-01 19:00:00,8078.68,8623.188
39,2017-01-01,1900-01-01 19:30:00,8050.99,8378.44
40,2017-01-01,1900-01-01 20:00:00,8026.04,8292.967
41,2017-01-01,1900-01-01 20:30:00,7900.39,8172.1724
42,2017-01-01,1900-01-01 21:00:00,7767.11,8136.352
43,2017-01-01,1900-01-01 21:30:00,7714.4,8109.0405
44,2017-01-01,1900-01-01 22:00:00,7527.04,7952.313
45,2017-01-01,1900-01-01 22:30:00,7429.52,7927.4253
46,2017-01-01,1900-01-01 23:00:00,7185.84,7792.499
47,2017-01-01,1900-01-01 23:30:00,6969.8,7499.825
48,2017-01-02,1900-01-01 00:00:00,6847.27,7457.56
49,2017-01-02,1900-01-01 00:30:00,6678.33,7247.9873
50,2017-01-02,1900-01-01 01:00:00,6487.85,7085.659
