,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-01,31506.966147862,8492.82,9554.287690742009,10553.361183691242,8555.214197792775,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,8231.263937587073,9135.691415706639,7634.686784210579,2020-01-01 00:00:00,2020-01-01 12:00:00,1284324.1505088324,-0.9524730592879371,1075.216282893312,0.15448443617565055
1,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-02,31498.570412926656,9101.15,9122.433134793779,10096.724906369227,8148.141363218329,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7782.174322438448,8669.87342538074,6894.475219496157,2020-01-02 12:00:00,2020-01-02 12:00:00,27480.319306346693,0.966184631462927,127.63461545359065,0.016940232813294518
2,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-03,31505.483062086638,10858.09,9609.406684820016,10564.55619630141,8654.257173338623,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,8036.831858293895,8910.332805144379,7201.617059077822,2020-01-03 12:00:00,2020-01-03 12:00:00,525647.1640681837,0.7600144481880646,576.4877506478109,0.06194136675619061
3,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-04,31562.68625372843,12334.04,10109.930395652465,11075.79134860704,9144.069442697892,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,8410.47844233011,9293.589057421697,7527.367827238522,2020-01-04 12:00:00,2020-01-04 12:00:00,2497488.827710169,0.4426293205016799,1269.822314123452,0.11900924018848058
4,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-05,31599.95272332313,8220.91,10051.384469298882,11088.816488807279,9013.952449790486,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8544.293446774147,9479.208092999823,7980.955512000329,2020-01-05 00:00:00,2020-01-05 12:00:00,1368493.3999229572,-2.572266998308253,1077.6648901916276,0.14530337134263063
5,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-06,31610.785089873516,8795.51,9294.440033212006,10332.021769107789,8256.858297316223,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7829.565011597846,8766.212340775155,6892.917682420537,2020-01-06 11:30:00,2020-01-06 12:00:00,285249.9583934907,0.6645552362501832,445.63034465111815,0.05771838164839901
6,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-07,31642.634222953882,10506.18,10003.577796821488,10994.299130383248,9012.856463259728,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,8822.999464334276,9733.831908186396,7912.167020482158,2020-01-07 12:00:00,2020-01-07 12:00:00,117266.69193803798,0.9272931559828748,265.5440711862959,0.03064820374453563
7,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-08,31625.70617203155,9715.67,9515.71680673873,10513.776204387677,8517.657409089783,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,8113.713661286812,9023.84450590414,7492.95094255297,2020-01-08 12:00:00,2020-01-08 12:00:00,178191.00780245368,0.8229295518504371,346.93528545553795,0.04155823024034991
8,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-09,31743.078073932917,9179.49,9243.19367282099,10247.977553441584,8238.409792200395,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8114.929223578685,9033.431074768949,7196.427372388422,2020-01-09 12:00:00,2020-01-09 12:00:00,76331.9017144938,0.898548611858398,225.09481581305917,0.028741919300461615
9,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-10,31760.58452237982,11920.34,10096.26079993171,11122.656367639747,9069.865232223672,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8536.748808000344,9470.289408972858,7603.20820702783,2020-01-10 12:00:00,2020-01-10 12:00:00,1127345.3342947084,0.6408637605469446,858.8561394514109,0.08435279280552904
