,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-01,30198.166542579365,8492.82,10147.172772725968,11373.642354036954,8920.703191414981,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,8371.556337221438,9538.096182878786,7206.227108215072,2020-01-01 00:00:00,2020-01-01 12:00:00,1188425.03192487,-0.8066839721867849,872.8392422783501,0.11992596867804389
1,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-02,30169.274020931534,9101.15,9865.159333043044,11113.665853669765,8616.652812416323,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7926.711279800287,9110.999474467568,6928.243535031914,2020-01-02 12:00:00,2020-01-02 12:00:00,247268.63360636277,0.6957284273212025,402.983769913589,0.051027557839170255
2,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-03,30160.06642510364,10858.09,10319.872031929077,11569.98335987384,9069.760703984313,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,8527.081300012846,9713.678373043625,7340.484226982066,2020-01-03 12:00:00,2020-01-03 12:00:00,182594.08262460344,0.9166362064295747,338.57399239693785,0.036785973509773064
3,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-04,30186.647540875678,12334.04,10456.64840442602,11659.941043529707,9253.355765322332,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,8582.996106710947,9729.960916269085,7436.031297152809,2020-01-04 12:00:00,2020-01-04 12:00:00,2324509.3246118785,0.4812335785513837,1275.4634402612944,0.12286308478940684
4,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-05,30244.03845699473,8220.91,10376.977307883548,11646.29442026015,9107.660195506945,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8832.86560859637,10037.322753529228,7959.093085186813,2020-01-05 00:00:00,2020-01-05 12:00:00,1809025.2466905497,-3.722215823783227,1164.8732317278345,0.15486956392842513
5,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-06,30235.87860957508,8795.51,9715.353348684404,11018.874324321521,8411.832373047288,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,8137.341378799516,9369.890768185258,6904.791989413774,2020-01-06 11:30:00,2020-01-06 12:00:00,402831.0619151,0.5262836455569415,547.7892848532935,0.06955284171851735
6,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-07,30267.853462256277,10506.18,10514.373111986228,11807.032263455876,9221.71396051658,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,9316.489457417443,10546.183986298935,8086.794928535952,2020-01-07 12:00:00,2020-01-07 12:00:00,130649.29172633441,0.918995773501365,265.56266553822303,0.03132532560188202
7,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-08,30283.365414739284,9715.67,9920.725626462836,11221.314442937446,8620.136809988226,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,8525.691753263665,9757.783907440773,7303.027199375736,2020-01-08 12:00:00,2020-01-08 12:00:00,184466.8896601972,0.8166931360694774,358.5927096448624,0.04387760905489174
8,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-09,30367.741341189303,9179.49,9073.925685787803,10388.297957344243,7759.553414231363,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8187.9467370865805,9432.562323240352,7046.576373552313,2020-01-09 12:00:00,2020-01-09 12:00:00,44834.91591663612,0.940410701753929,190.3621142503567,0.02356036225371082
9,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-10,30390.895388117333,11920.34,9895.58303014103,11179.155350635774,8612.010709646285,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8718.206791290582,9938.712533758066,7497.701048823098,2020-01-10 12:00:00,2020-01-10 12:00:00,1250177.1990993987,0.6017334491250582,809.9910857324612,0.07670002254413996
