,label,value,std_error,z_score,p_value,significance,eval_date
0,ar1,0.9600527086838168,0.001522426144241018,630.607082199338,0.0,***,2020-01-01
24,cos_336_1,4.369591476138288,0.019462473604038077,224.5136751389959,0.0,***,2020-01-01
23,sin_336_1,8.868216848466389,0.01946247360403807,455.6572319063499,0.0,***,2020-01-01
22,lag_48*7,0.1995337423929655,0.019462473604038074,10.252229313316384,0.0,***,2020-01-01
21,Hour,2.915480783016733e-05,0.019462473604038067,0.0014980011494591468,0.9988047684577996,,2020-01-01
20,Month,-1.1157364171573434,0.01946247360403807,-57.32757509949047,0.0,***,2020-01-01
19,Day of the Week,34.790131180222126,0.01946247360403808,1787.5493058088905,0.0,***,2020-01-01
17,Holidays,-698.3607894245191,0.019462473604038077,-35882.427055912514,0.0,***,2020-01-01
16,solar_16,0.020536428973358056,0.019462473604038077,1.0551808259920854,0.2913426316626935,,2020-01-01
15,solar_4,0.14928545903936397,0.019462473604038053,7.670425767893675,1.709743457922741e-14,***,2020-01-01
14,temp_9,0.15996241022973834,0.019462473604038064,8.219017452979328,2.220446049250313e-16,***,2020-01-01
13,temp_1,13.950969916229742,0.019462473604038077,716.8138130877255,0.0,***,2020-01-01
18,Weekends,-270.5985416917224,0.019462473604038084,-13903.60481391114,0.0,***,2020-01-01
11,temperature,-0.5461904368569388,0.019462473604038074,-28.06377277468036,0.0,***,2020-01-01
12,solar_power,-0.1525463420388533,0.019462473604038074,-7.8379729700546905,4.6629367034256575e-15,***,2020-01-01
2,ma2,0.4095183402055332,0.019462473604038074,21.041433300675937,0.0,***,2020-01-01
3,ma3,0.3303928099740994,0.019462473604038074,16.975889945744076,0.0,***,2020-01-01
4,ma4,0.2326253872552389,0.019462473604038074,11.952508811982346,0.0,***,2020-01-01
5,ma5,0.15798036308301847,0.019462473604038074,8.117178026653338,4.440892098500626e-16,***,2020-01-01
1,ma1,0.4499954091810438,0.019462473604038074,23.121182761048356,0.0,***,2020-01-01
7,sar2,-0.504160588883982,0.021935544239082855,-22.98372829910061,0.0,***,2020-01-01
8,sar3,-0.25328951879636874,0.018218455786353373,-13.902908224861546,0.0,***,2020-01-01
9,rainfall,23.803891364850667,0.019462473604038074,1223.0660834351413,0.0,***,2020-01-01
10,pv_capacity,-9.817187133997972,0.019462473604038074,-504.41620801793164,0.0,***,2020-01-01
6,sar1,-0.6472366883288233,0.02566942931604538,-25.21429987242647,0.0,***,2020-01-01
14,temp_9,0.6163432997129519,0.019462473604038074,31.6682921324591,0.0,***,2020-01-02
15,solar_4,0.14976013790932452,0.019462473604038088,7.694815209832947,1.4210854715202004e-14,***,2020-01-02
16,solar_16,0.021294192755107133,0.0194624736040381,1.094115434057107,0.27390435415195924,,2020-01-02
17,Holidays,-687.5572855588343,0.019462473604038084,-35327.33297663559,0.0,***,2020-01-02
18,Weekends,-261.42349814492167,0.019462473604038084,-13432.182540798996,0.0,***,2020-01-02
21,Hour,0.010050210765556233,0.019462473604038074,0.5163891789926958,0.6055826219695639,,2020-01-02
20,Month,9.314044857126696,0.019462473604038077,478.56428975164886,0.0,***,2020-01-02
22,lag_48*7,0.19638137226238772,0.01946247360403807,10.090257603311152,0.0,***,2020-01-02
23,sin_336_1,7.411708038911641,0.01946247360403805,380.8204542599287,0.0,***,2020-01-02
24,cos_336_1,5.192973823980459,0.019462473604038067,266.8198261757962,0.0,***,2020-01-02
19,Day of the Week,32.51876050357067,0.019462473604038074,1670.8441673530992,0.0,***,2020-01-02
13,temp_1,13.586274185777421,0.019462473604038074,698.0754071753007,0.0,***,2020-01-02
5,ma5,0.16281291694291233,0.019462473604038074,8.36547913977039,0.0,***,2020-01-02
11,temperature,-0.015599063227729193,0.01946247360403807,-0.8014943806779372,0.4228454959097854,,2020-01-02
12,solar_power,-0.13861881297548728,0.019462473604038074,-7.122363569794471,1.0609291223317996e-12,***,2020-01-02
1,ma1,0.4533152378938059,0.019462473604038074,23.291758648795394,0.0,***,2020-01-02
2,ma2,0.41573701698859655,0.019462473604038074,21.360954699115915,0.0,***,2020-01-02
3,ma3,0.3357437224096523,0.019462473604038074,17.25082480471507,0.0,***,2020-01-02
4,ma4,0.23671276105921826,0.019462473604038074,12.162521880574579,0.0,***,2020-01-02
