,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-01,30667.996130803076,8492.82,7622.824258060609,9078.26370827507,6173.823780875253,2020-01-01 04:30:00,2020-01-01 05:30:00,7318.64,7228.668763743131,8272.88375562785,7086.841400031638,2020-01-01 00:00:00,2020-01-01 00:00:00,209071.6675669007,0.6821621720474143,390.0443857171361,0.053654548573377515
1,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-02,30640.045863782245,9101.15,8130.729265945865,9566.4482549264,6695.010276965331,2020-01-02 04:30:00,2020-01-02 05:30:00,7680.36,7020.033636089727,8396.896630192767,6860.6295549088345,2020-01-02 12:00:00,2020-01-02 12:00:00,425984.40976495453,0.4758132303097875,569.7117207688605,0.07197968432670356
2,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-03,30627.747835311246,10858.09,8852.307209093908,10289.26659913843,7415.347819049386,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,7642.336032747101,9025.759495475531,7174.197289177315,2020-01-03 12:00:00,2020-01-03 12:00:00,1289354.5776587331,0.4113418830115878,925.989222792807,0.10005323554299024
3,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-04,30597.988851284834,12334.04,9319.923828341696,10790.142417090257,7849.705239593135,2020-01-04 04:00:00,2020-01-04 05:00:00,10757.67,7872.779462927449,9286.092742085248,7600.54686733057,2020-01-04 12:00:00,2020-01-04 12:00:00,4036886.55044575,0.09907817215641523,1590.0744319961952,0.14748667849462552
4,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-05,30707.226488552064,8220.91,8998.399208365512,10505.001529242198,7491.7968874888265,2020-01-05 04:30:00,2020-01-05 05:30:00,7957.69,7947.88031121369,9137.199300612188,7805.016530178826,2020-01-05 00:00:00,2020-01-05 00:00:00,247603.13996530068,0.3536654794057916,397.11978263391416,0.05301105708490994
5,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-06,30745.785713092788,8795.51,9074.255078938417,11635.595746753766,6524.049529439225,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7659.521674316999,9776.336286905442,6458.159046957567,2020-01-06 11:30:00,2020-01-06 12:00:00,306304.46270729194,0.6397958172999096,398.67027214820126,0.050633830633428765
6,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-07,30766.685898179836,10506.18,10035.299621810615,12629.202797157835,7441.396446463394,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,8816.906365858571,10993.477129423267,7037.679581733594,2020-01-07 12:00:00,2020-01-07 12:00:00,389402.6330721452,0.7585654030592582,473.85143278167226,0.05460174807821409
7,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-08,30708.860155812836,9715.67,8098.490431116729,9586.668626802393,6610.312235431064,2020-01-08 04:30:00,2020-01-08 05:30:00,8790.26,7218.940966090533,8333.848640264732,7076.033080175488,2020-01-08 12:00:00,2020-01-08 00:00:00,1864500.7044152797,-0.8527757341829405,1191.3764124233946,0.13892711094235638
8,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-09,30714.008158922414,9179.49,8544.4762286441,10048.77018906454,7040.18226822366,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,7641.8168874399325,9095.742150643538,7217.363208580551,2020-01-09 12:00:00,2020-01-09 12:00:00,295213.57193953876,0.6076368333710717,488.96687819900944,0.05929057917628614
9,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-10,30693.603569847015,11920.34,9909.385860790106,11407.277599292423,8411.494122287788,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8422.770652224097,9871.233653580774,7270.3283352992485,2020-01-10 12:00:00,2020-01-10 12:00:00,1375447.4803997262,0.5618263360401647,979.358285982089,0.09768849058332278
10,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-11,30662.820428708597,7716.93,10363.021095724718,11888.088482021034,8837.953709428402,2020-01-11 05:00:00,2020-01-11 04:00:00,8302.9,9344.66273339729,10822.136496064368,8061.16640380109,2020-01-11 00:00:00,2020-01-11 12:00:00,3028334.2130660354,-20.244747754287847,1371.4423346723822,0.18721946348474794
11,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-12,30700.18794891762,7690.59,7842.329887866101,9433.64464619037,6251.015129541832,2020-01-12 05:30:00,2020-01-12 04:30:00,7040.43,7160.727001037923,8700.716704075234,6500.892985157275,2020-01-12 09:30:00,2020-01-12 12:00:00,99070.92574533638,0.7003327598851639,244.54579020948327,0.036791892423541306
12,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-13,30705.772070308456,8671.97,8473.645037324208,10068.34802779262,6878.942046855796,2020-01-13 05:30:00,2020-01-13 04:30:00,7640.2,7805.929444028836,9348.69768386997,6424.825840273531,2020-01-13 11:00:00,2020-01-13 12:00:00,32361.664040287404,0.953103146620838,155.0067868078334,0.021005073958141236
13,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-14,30704.444234577626,9412.35,9439.724132103132,11038.261242334675,7841.18702187159,2020-01-14 04:30:00,2020-01-14 04:30:00,8267.39,8036.737905121713,9585.29473827377,6964.247812773282,2020-01-14 12:00:00,2020-01-14 12:00:00,51438.76815975352,0.9468116755264185,196.27437817563904,0.025168342172767273
14,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-15,30668.964914429067,9524.55,8958.115604419336,10579.209962676337,7337.021246162334,2020-01-15 04:30:00,2020-01-15 04:30:00,8450.73,8281.126304732994,9854.29100977053,7171.209905196297,2020-01-15 12:00:00,2020-01-15 12:00:00,166950.79388816727,0.8458017192763289,364.14588355918767,0.04450526639592758
15,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-16,30678.064024869374,9316.72,8618.232231450382,10223.862296344196,7012.602166556567,2020-01-16 04:30:00,2020-01-16 04:30:00,8814.88,7988.174537901129,9546.215883519995,7495.477341953365,2020-01-16 11:30:00,2020-01-16 12:00:00,277132.68913597416,0.6218167285450893,448.2414112387599,0.05296611351965146
16,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-17,30771.649411806648,8264.99,9770.712806737534,12540.233227521301,7033.925694518939,2020-01-17 04:30:00,2020-01-17 04:30:00,8401.15,8300.429365270576,10584.38370989214,7196.670703375563,2020-01-17 11:00:00,2020-01-17 12:00:00,697173.261224173,-0.4842259590129343,694.0086580994935,0.08852519557426518
17,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-18,30774.80600146897,7744.74,6946.630889497326,9873.378566925297,4185.738385614182,2020-01-18 07:00:00,2020-01-18 05:00:00,7708.16,7089.124989690183,8908.962786877277,6944.35490939018,2020-01-18 09:30:00,2020-01-18 00:00:00,403789.3747109794,-0.39748042504398096,559.0625529629142,0.07605146958341433
18,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-19,30786.512444264452,8025.98,7139.27461664127,10146.63236701935,4268.969351660174,2020-01-19 07:00:00,2020-01-19 06:00:00,7185.49,6709.03683028684,8960.178302645805,6563.926352975291,2020-01-19 11:00:00,2020-01-19 00:00:00,301805.61086124374,0.29672293382773296,464.48314256054095,0.06280556611685724
19,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-20,30794.024447338823,9787.26,8182.802304874462,11092.607088436844,5339.350956680382,2020-01-20 03:30:00,2020-01-20 05:30:00,8905.03,7432.256528733568,9754.892166734355,6664.289509149987,2020-01-20 12:00:00,2020-01-20 12:00:00,1219532.253894383,0.13277427001398168,928.5831321027357,0.10587390932418021
20,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-21,30865.434342640743,9925.09,8778.128042449971,11543.688901709978,6020.879045204773,2020-01-21 04:30:00,2020-01-21 04:30:00,8209.52,7940.0812418304495,10226.232477661506,7183.728741312499,2020-01-21 12:00:00,2020-01-21 12:00:00,390561.44693286484,0.6774418657645569,517.4442332379125,0.060044087705336036
21,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-22,30804.47351767023,11679.1,9086.454971576099,11874.406632582235,6368.576739693419,2020-01-22 04:30:00,2020-01-22 04:30:00,9196.29,8182.325273077558,10429.669745363984,7482.590205227099,2020-01-22 12:00:00,2020-01-22 12:00:00,1548965.8951975296,0.41310743627188296,966.7193620782451,0.0974206628678468
22,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-23,30811.508945066395,13330.14,9246.67902946587,12040.591861749097,6467.601580436902,2020-01-23 04:30:00,2020-01-23 04:30:00,11712.42,8550.622613170242,10840.976588307767,7700.339752523941,2020-01-23 12:00:00,2020-01-23 12:00:00,6766425.343784727,-0.28041442799529315,2112.5393409864973,0.18193705158475057
23,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-24,30887.203199850876,10052.6,9256.96130908413,12086.612765046353,6601.619233259443,2020-01-24 04:30:00,2020-01-24 04:30:00,9493.3,9129.120161448845,11254.69779167153,8981.290659765595,2020-01-24 09:30:00,2020-01-24 00:00:00,134454.27713560313,0.7003039730696126,304.175890484746,0.03333861685119336
24,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-25,30898.20707073463,9861.13,8197.7120705392,11177.323263019793,5412.1445847394425,2020-01-25 05:30:00,2020-01-25 05:00:00,8455.7,7960.850098579183,10098.379997542484,7771.695121074993,2020-01-25 12:00:00,2020-01-25 09:30:00,821602.9879109245,0.23145818402657148,714.8979185825923,0.08066203580929465
25,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-26,30821.947397396078,10840.67,8744.713209880763,11828.784800803902,5802.509872168459,2020-01-26 05:30:00,2020-01-26 05:30:00,9536.49,7947.732718496522,10284.239324765254,7707.693453916696,2020-01-26 12:00:00,2020-01-26 11:00:00,1642797.5609203454,0.22896404139172377,1029.239033247882,0.10700899463358556
