,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape,stats
0,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-01,30690.06248704257,8492.82,9072.375179780218,10028.173816386528,8116.576543173907,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,7698.704756081951,8551.811283582989,7114.787862063862,2020-01-01 00:00:00,2020-01-01 12:00:00,396606.4466984027,0.3970654511076851,530.7029955998846,0.07615900222554883,"           label        value  ...       p_value  significance
0            ar1     0.986881  ...  0.000000e+00           ***
1            ma1     0.429675  ...  0.000000e+00           ***
2           sar1     0.995093  ...  0.000000e+00           ***
3           sma1    -0.886207  ...  0.000000e+00           ***
4      intercept  8340.853891  ...  0.000000e+00           ***
5       rainfall     0.538448  ...  2.843352e-03            **
6    pv_capacity    -4.895238  ...  0.000000e+00           ***
7    temperature     8.656136  ...  0.000000e+00           ***
8    solar_power    -0.484986  ...  0.000000e+00           ***
9   total_demand    17.508684  ...  0.000000e+00           ***
10        temp_1     6.323394  ...  1.905143e-13           ***
11        temp_9     0.075345  ...  2.107904e-01              
12       solar_4     0.202402  ...  4.106856e-04           ***
13      solar_16     0.195823  ...  0.000000e+00           ***
14      lag_48*7    10.150139  ...  0.000000e+00           ***
15     sin_336_1    11.094482  ...  0.000000e+00           ***

[16 rows x 6 columns]"
1,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-02,30668.215183823497,9101.15,9086.314925112609,10042.07706739766,8130.552782827558,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7718.581096024401,8571.033326759632,6885.446250034236,2020-01-02 12:00:00,2020-01-02 12:00:00,44913.578435696276,0.9447324759879687,168.8936792893393,0.02233779154351442,"           label        value  std_error        z_score   p_value significance
0            ar1     0.987072   0.001839     536.796021  0.000000          ***
1            ma1     0.431145   0.013988      30.823428  0.000000          ***
2           sar1     0.995093   0.000980    1015.862536  0.000000          ***
3           sma1    -0.889133   0.010246     -86.779807  0.000000          ***
4      intercept  9164.287104   0.023877  383815.339494  0.000000          ***
5       rainfall    -0.333051   0.763544      -0.436192  0.662698             
6    pv_capacity    -6.259921   0.673456      -9.295224  0.000000          ***
7    temperature     8.897788   0.222883      39.921314  0.000000          ***
8    solar_power    -0.471615   0.050478      -9.342916  0.000000          ***
9   total_demand    18.550371   0.419445      44.226004  0.000000          ***
10        temp_1     6.494350   0.138511      46.886981  0.000000          ***
11        temp_9     0.077641   0.058936       1.317381  0.187711             
12       solar_4     0.200564   0.057280       3.501479  0.000463          ***
13      solar_16     0.200741   0.018897      10.623132  0.000000          ***
14      lag_48*7    10.495284   0.347386      30.212204  0.000000          ***
15     sin_336_1    12.325153   0.064507     191.067085  0.000000          ***"
2,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-03,30658.541085990004,10858.09,9564.29260286433,10517.613778388719,8610.971427339942,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,7975.488447965676,8826.066326163287,7200.082189072712,2020-01-03 12:00:00,2020-01-03 12:00:00,611001.3778958963,0.72104576442996,626.5076672544878,0.06707129342339722,"           label         value  ...       p_value  significance
0            ar1      0.986977  ...  0.000000e+00           ***
1            ma1      0.432238  ...  0.000000e+00           ***
2           sar1      0.995311  ...  0.000000e+00           ***
3           sma1     -0.892251  ...  0.000000e+00           ***
4      intercept  10255.133678  ...  0.000000e+00           ***
5       rainfall      0.986116  ...  1.136868e-13           ***
6    pv_capacity     -7.981295  ...  2.881603e-03            **
7    temperature     10.170005  ...  0.000000e+00           ***
8    solar_power     -0.480651  ...  0.000000e+00           ***
9   total_demand     19.279372  ...  0.000000e+00           ***
10        temp_1      7.233578  ...  6.181581e-08           ***
11        temp_9      0.076542  ...  1.880969e-01              
12       solar_4      0.194538  ...  9.118530e-04           ***
13      solar_16      0.199238  ...  0.000000e+00           ***
14      lag_48*7     10.322179  ...  0.000000e+00           ***
15     sin_336_1     12.424407  ...  0.000000e+00           ***

[16 rows x 6 columns]"
3,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-04,30644.11183917047,12334.04,10428.593528945055,11389.62503837475,9467.56201951536,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,8736.802422014549,9592.415782335655,7881.189061693443,2020-01-04 12:00:00,2020-01-04 12:00:00,1831711.16537441,0.5912125469544346,1084.6526554208265,0.10218678506600858,"           label        value  ...       p_value  significance
0            ar1     0.987538  ...  0.000000e+00           ***
1            ma1     0.435976  ...  0.000000e+00           ***
2           sar1     0.995112  ...  0.000000e+00           ***
3           sma1    -0.887545  ...  0.000000e+00           ***
4      intercept  9962.097156  ...  0.000000e+00           ***
5       rainfall     0.671909  ...  4.095613e-12           ***
6    pv_capacity    -7.131008  ...  0.000000e+00           ***
7    temperature    10.057475  ...  0.000000e+00           ***
8    solar_power    -0.476624  ...  0.000000e+00           ***
9   total_demand    19.129933  ...  0.000000e+00           ***
10        temp_1     7.081851  ...  6.192950e-06           ***
11        temp_9     0.079416  ...  1.518038e-01              
12       solar_4     0.195613  ...  4.972052e-04           ***
13      solar_16     0.196417  ...  0.000000e+00           ***
14      lag_48*7     9.610324  ...  0.000000e+00           ***
15     sin_336_1    10.588726  ...  0.000000e+00           ***

[16 rows x 6 columns]"
4,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-05,30781.29360524772,8220.91,10128.075232819821,11121.485298426709,9134.665167212934,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8591.351861179293,9475.61764244293,7936.799510710161,2020-01-05 00:00:00,2020-01-05 12:00:00,1489367.3267708414,-2.88779204202343,1113.6457113876006,0.14986503714354535,"           label        value  std_error        z_score   p_value significance
0            ar1     0.987579   0.002164     456.387849  0.000000          ***
1            ma1     0.445530   0.012872      34.612691  0.000000          ***
2           sar1     0.994605   0.001631     609.674107  0.000000          ***
3           sma1    -0.882904   0.012433     -71.015603  0.000000          ***
4      intercept  9690.146486   0.019976  485096.417139  0.000000          ***
5       rainfall     0.776685   0.037511      20.705792  0.000000          ***
6    pv_capacity    -6.757915   0.524252     -12.890588  0.000000          ***
7    temperature    11.686058   0.185013      63.163360  0.000000          ***
8    solar_power    -0.492167   0.059291      -8.300920  0.000000          ***
9   total_demand    21.968500   0.254679      86.259621  0.000000          ***
10        temp_1     6.882822   0.112054      61.424299  0.000000          ***
11        temp_9     0.082577   0.055174       1.496674  0.134478             
12       solar_4     0.213622   0.063249       3.377470  0.000732          ***
13      solar_16     0.203698   0.019272      10.569402  0.000000          ***
14      lag_48*7    11.176716   0.155064      72.078023  0.000000          ***
15     sin_336_1    13.910590   0.035391     393.055243  0.000000          ***"
5,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-06,30778.45035169699,8795.51,9256.796632306356,10245.475697657608,8268.117566955103,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7788.750107782583,8669.593120596272,6907.907094968893,2020-01-06 11:30:00,2020-01-06 12:00:00,335734.7876672495,0.6051867030379019,471.67575724015245,0.061750964792195794,"           label         value  ...       p_value  significance
0            ar1      0.987346  ...  0.000000e+00           ***
1            ma1      0.444829  ...  0.000000e+00           ***
2           sar1      0.995014  ...  0.000000e+00           ***
3           sma1     -0.886792  ...  0.000000e+00           ***
4      intercept  12510.365066  ...  0.000000e+00           ***
5       rainfall      0.810121  ...  1.129829e-07           ***
6    pv_capacity    -11.479831  ...  3.949618e-10           ***
7    temperature     11.940770  ...  1.332268e-15           ***
8    solar_power     -0.482646  ...  0.000000e+00           ***
9   total_demand     22.860594  ...  0.000000e+00           ***
10        temp_1      7.348861  ...  1.850888e-05           ***
11        temp_9      0.090809  ...  1.047937e-01              
12       solar_4      0.216360  ...  1.843775e-04           ***
13      solar_16      0.198633  ...  0.000000e+00           ***
14      lag_48*7     11.909938  ...  0.000000e+00           ***
15     sin_336_1     14.205892  ...  0.000000e+00           ***

[16 rows x 6 columns]"
6,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-07,30806.95621991671,10506.18,9838.819091202386,10827.431240614209,8850.206941790562,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,8669.078412125102,9558.062057763564,7780.09476648664,2020-01-07 12:00:00,2020-01-07 12:00:00,189218.05574018435,0.8826823931283528,332.8905595814429,0.03834002395698912,"           label         value  ...       p_value  significance
0            ar1      0.987337  ...  0.000000e+00           ***
1            ma1      0.451202  ...  0.000000e+00           ***
2           sar1      0.995676  ...  0.000000e+00           ***
3           sma1     -0.897327  ...  0.000000e+00           ***
4      intercept  12610.372337  ...  0.000000e+00           ***
5       rainfall      0.834373  ...  2.390217e-04           ***
6    pv_capacity    -11.312792  ...  1.254019e-03            **
7    temperature     11.760890  ...  0.000000e+00           ***
8    solar_power     -0.498527  ...  3.352874e-14           ***
9   total_demand     22.557312  ...  0.000000e+00           ***
10        temp_1      7.830606  ...  0.000000e+00           ***
11        temp_9      0.102618  ...  6.156775e-02             .
12       solar_4      0.238168  ...  3.342434e-03            **
13      solar_16      0.191031  ...  0.000000e+00           ***
14      lag_48*7     12.078107  ...  0.000000e+00           ***
15     sin_336_1     13.641151  ...  0.000000e+00           ***

[16 rows x 6 columns]"
7,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-08,30801.535946869644,9715.67,9174.003738797755,10168.132987207044,8179.874490388467,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,7760.26705946656,8646.381048135194,7132.265415116405,2020-01-08 12:00:00,2020-01-08 12:00:00,473102.84794686973,0.5298722739159839,588.1787658997317,0.07014384211157028,"           label         value  std_error        z_score   p_value significance
0            ar1      0.987218   0.002485     397.227968  0.000000          ***
1            ma1      0.450260   0.014691      30.648379  0.000000          ***
2           sar1      0.995895   0.000888    1121.717952  0.000000          ***
3           sma1     -0.898783   0.009602     -93.600962  0.000000          ***
4      intercept  12203.265178   0.020608  592174.954078  0.000000          ***
5       rainfall      1.423833   0.076109      18.707865  0.000000          ***
6    pv_capacity    -10.650569   0.838362     -12.704017  0.000000          ***
7    temperature     12.081830   0.576668      20.951087  0.000000          ***
8    solar_power     -0.495296   0.055580      -8.911370  0.000000          ***
9   total_demand     22.843699   1.747463      13.072495  0.000000          ***
10        temp_1      8.116637   0.572206      14.184822  0.000000          ***
11        temp_9      0.130366   0.056423       2.310513  0.020860            *
12       solar_4      0.182025   0.055922       3.255004  0.001134           **
13      solar_16      0.184606   0.018037      10.235082  0.000000          ***
14      lag_48*7     11.303103   0.062025     182.235139  0.000000          ***
15     sin_336_1     13.324638   0.210460      63.311937  0.000000          ***"
8,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-09,30805.394000457392,9179.49,9442.77445627206,10433.14112558824,8452.40778695588,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8321.899624608845,9205.880626419887,7437.918622797802,2020-01-09 12:00:00,2020-01-09 12:00:00,36494.47502019005,0.9514958350684679,144.62907815514072,0.017770759770659922,"           label        value  std_error        z_score   p_value significance
0            ar1     0.986852   0.002223     443.888771  0.000000          ***
1            ma1     0.451859   0.012440      36.321740  0.000000          ***
2           sar1     0.996189   0.000485    2054.810113  0.000000          ***
3           sma1    -0.902769   0.008153    -110.726680  0.000000          ***
4      intercept  7099.057912   0.022832  310928.605816  0.000000          ***
5       rainfall     5.405175   1.546112       3.495978  0.000472          ***
6    pv_capacity    -2.457619   0.926534      -2.652487  0.007990           **
7    temperature    11.627009   0.964418      12.055984  0.000000          ***
8    solar_power    -0.500306   0.053493      -9.352728  0.000000          ***
9   total_demand    23.063071   1.050515      21.954059  0.000000          ***
10        temp_1     8.079354   0.865840       9.331233  0.000000          ***
11        temp_9     0.145266   0.056096       2.589594  0.009609           **
12       solar_4     0.186363   0.059073       3.154799  0.001606           **
13      solar_16     0.177924   0.018372       9.684488  0.000000          ***
14      lag_48*7    10.517079   0.134302      78.309201  0.000000          ***
15     sin_336_1    14.479666   0.315058      45.958732  0.000000          ***"
9,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-10,30772.8604084464,11920.34,10081.159893134067,11066.007569188494,9096.31221707964,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8523.116455608468,9402.123945034822,7644.108966182112,2020-01-10 12:00:00,2020-01-10 12:00:00,1182097.4018247777,0.6234214994785288,881.6618368738768,0.08656532724361843,"           label        value  ...       p_value  significance
0            ar1     0.986865  ...  0.000000e+00           ***
1            ma1     0.452981  ...  0.000000e+00           ***
2           sar1     0.996652  ...  0.000000e+00           ***
3           sma1    -0.909054  ...  0.000000e+00           ***
4      intercept  6084.691803  ...  0.000000e+00           ***
5       rainfall     3.376321  ...  4.951595e-14           ***
6    pv_capacity    -0.898691  ...  2.346770e-01              
7    temperature    11.559216  ...  0.000000e+00           ***
8    solar_power    -0.515756  ...  0.000000e+00           ***
9   total_demand    23.511151  ...  0.000000e+00           ***
10        temp_1     9.402584  ...  0.000000e+00           ***
11        temp_9     0.170286  ...  2.440564e-03            **
12       solar_4     0.187196  ...  7.139832e-04           ***
13      solar_16     0.180383  ...  0.000000e+00           ***
14      lag_48*7    11.845995  ...  0.000000e+00           ***
15     sin_336_1    14.660283  ...  0.000000e+00           ***

[16 rows x 6 columns]"
