,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape,stats
0,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-01,29756.237456977902,8492.82,10142.691632494762,11422.877773093413,8862.50549189611,2020-01-01 04:30:00,2020-01-01 04:00:00,7318.64,8370.511195830491,9574.863595259743,7166.15879640124,2020-01-01 00:00:00,2020-01-01 12:00:00,1153716.2718437836,-0.7539185399142847,843.0296716494883,0.11569523011439176,"           label      value  std_error     z_score       p_value significance
0            ar1   0.967348   0.001249  774.477905  0.000000e+00          ***
1            ma1   0.488926   0.019462   25.121447  0.000000e+00          ***
2            ma2   0.456912   0.019462   23.476551  0.000000e+00          ***
3            ma3   0.350563   0.019462   18.012244  0.000000e+00          ***
4            ma4   0.249062   0.019462   12.797051  0.000000e+00          ***
5            ma5   0.163881   0.019462    8.420356  0.000000e+00          ***
6           sar1  -0.621818   0.024640  -25.236612  0.000000e+00          ***
7           sar2  -0.438981   0.022362  -19.630608  0.000000e+00          ***
8           sar3  -0.235025   0.018392  -12.778820  0.000000e+00          ***
9       rainfall   4.051055   0.019462  208.146950  0.000000e+00          ***
10   pv_capacity  -9.325258   0.019462 -479.140436  0.000000e+00          ***
11   temperature  -0.472670   0.019462  -24.286237  0.000000e+00          ***
12   solar_power  -0.132928   0.019462   -6.829982  8.492540e-12          ***
13  total_demand  12.183622   0.019462  626.005856  0.000000e+00          ***
14        temp_1   0.881224   0.019462   45.278085  0.000000e+00          ***
15        temp_9   0.155545   0.019462    7.992063  1.332268e-15          ***
16       solar_4   0.036247   0.019462    1.862417  6.254427e-02            .
17      solar_16   0.200653   0.019462   10.309762  0.000000e+00          ***
18      lag_48*7  10.976549   0.019462  563.985290  0.000000e+00          ***
19     sin_336_1   9.801548   0.019462  503.612654  0.000000e+00          ***"
1,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-02,29747.23867492784,9101.15,9797.245718694496,11103.158534575055,8491.332902813936,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7889.070214419716,9109.870576105539,6928.187767349334,2020-01-02 12:00:00,2020-01-02 12:00:00,231466.19390643993,0.715173809897756,384.2702521451477,0.04923097568697435,"           label      value  std_error     z_score       p_value significance
0            ar1   0.968084   0.001221  792.657544  0.000000e+00          ***
1            ma1   0.491013   0.019462   25.228727  0.000000e+00          ***
2            ma2   0.463421   0.019462   23.810986  0.000000e+00          ***
3            ma3   0.356937   0.019462   18.339746  0.000000e+00          ***
4            ma4   0.252992   0.019462   12.998984  0.000000e+00          ***
5            ma5   0.169450   0.019462    8.706522  0.000000e+00          ***
6           sar1  -0.638136   0.024614  -25.925523  0.000000e+00          ***
7           sar2  -0.447692   0.022556  -19.847663  0.000000e+00          ***
8           sar3  -0.242790   0.018320  -13.252956  0.000000e+00          ***
9       rainfall   4.898041   0.019462  251.665908  0.000000e+00          ***
10   pv_capacity  -8.721406   0.019462 -448.113929  0.000000e+00          ***
11   temperature   0.101954   0.019462    5.238501  1.618863e-07          ***
12   solar_power  -0.120490   0.019462   -6.190883  5.982803e-10          ***
13  total_demand  12.502028   0.019462  642.365852  0.000000e+00          ***
14        temp_1   0.812625   0.019462   41.753448  0.000000e+00          ***
15        temp_9   0.155419   0.019462    7.985551  1.332268e-15          ***
16       solar_4   0.033465   0.019462    1.719446  8.553312e-02            .
17      solar_16   0.196931   0.019462   10.118490  0.000000e+00          ***
18      lag_48*7   9.647680   0.019462  495.706759  0.000000e+00          ***
19     sin_336_1  10.728158   0.019462  551.222723  0.000000e+00          ***"
2,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-03,29746.086350690002,10858.09,10157.490209497388,11464.412731427872,8850.567687566903,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,8381.796075887285,9604.826363977625,7210.740723592336,2020-01-03 12:00:00,2020-01-03 12:00:00,262846.357074483,0.8799968260913236,416.4257877630675,0.04504897801060043,"           label      value  std_error     z_score       p_value significance
0            ar1   0.967622   0.001239  781.144938  0.000000e+00          ***
1            ma1   0.496933   0.019462   25.532891  0.000000e+00          ***
2            ma2   0.464947   0.019462   23.889417  0.000000e+00          ***
3            ma3   0.361327   0.019462   18.565299  0.000000e+00          ***
4            ma4   0.256016   0.019462   13.154331  0.000000e+00          ***
5            ma5   0.171978   0.019462    8.836410  0.000000e+00          ***
6           sar1  -0.632508   0.024592  -25.719945  0.000000e+00          ***
7           sar2  -0.443209   0.022447  -19.744801  0.000000e+00          ***
8           sar3  -0.235068   0.018391  -12.781449  0.000000e+00          ***
9       rainfall   4.726276   0.019462  242.840436  0.000000e+00          ***
10   pv_capacity  -7.929096   0.019462 -407.404344  0.000000e+00          ***
11   temperature   0.407799   0.019462   20.953090  0.000000e+00          ***
12   solar_power  -0.125720   0.019462   -6.459623  1.049640e-10          ***
13  total_demand  12.931526   0.019462  664.433848  0.000000e+00          ***
14        temp_1   1.012043   0.019462   51.999714  0.000000e+00          ***
15        temp_9   0.153439   0.019462    7.883818  3.108624e-15          ***
16       solar_4   0.033182   0.019462    1.704915  8.821035e-02            .
17      solar_16   0.191141   0.019462    9.820981  0.000000e+00          ***
18      lag_48*7   8.646473   0.019462  444.263803  0.000000e+00          ***
19     sin_336_1  10.066945   0.019462  517.249021  0.000000e+00          ***"
3,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-04,29693.58577156052,12334.04,10660.193438067843,11943.828087552858,9376.558788582828,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,8826.43799518721,10027.741505926922,7625.1344844475,2020-01-04 12:00:00,2020-01-04 12:00:00,1778772.9945339684,0.6030268877936639,1049.5395224568663,0.09775219885594988,"           label      value  std_error     z_score       p_value significance
0            ar1   0.967630   0.001238  781.351436  0.000000e+00          ***
1            ma1   0.491911   0.019462   25.274853  0.000000e+00          ***
2            ma2   0.461743   0.019462   23.724778  0.000000e+00          ***
3            ma3   0.355985   0.019462   18.290851  0.000000e+00          ***
4            ma4   0.250891   0.019462   12.891031  0.000000e+00          ***
5            ma5   0.168261   0.019462    8.645403  0.000000e+00          ***
6           sar1  -0.636333   0.024567  -25.901584  0.000000e+00          ***
7           sar2  -0.444293   0.022543  -19.708543  0.000000e+00          ***
8           sar3  -0.239768   0.018348  -13.067800  0.000000e+00          ***
9       rainfall   4.593066   0.019462  235.995991  0.000000e+00          ***
10   pv_capacity  -6.941578   0.019462 -356.664745  0.000000e+00          ***
11   temperature   0.323082   0.019462   16.600276  0.000000e+00          ***
12   solar_power  -0.123180   0.019462   -6.329088  2.466143e-10          ***
13  total_demand  12.942795   0.019462  665.012830  0.000000e+00          ***
14        temp_1   0.633982   0.019462   32.574605  0.000000e+00          ***
15        temp_9   0.150004   0.019462    7.707347  1.287859e-14          ***
16       solar_4   0.027569   0.019462    1.416518  1.566238e-01             
17      solar_16   0.197286   0.019462   10.136750  0.000000e+00          ***
18      lag_48*7   8.735845   0.019462  448.855833  0.000000e+00          ***
19     sin_336_1   8.924978   0.019462  458.573682  0.000000e+00          ***"
4,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-05,29837.905753249466,8220.91,10561.697423204208,11875.781741306488,9250.759562468125,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8988.289104434154,10220.174119831352,7875.382923501567,2020-01-05 00:00:00,2020-01-05 12:00:00,2159624.23231114,-4.63740707428052,1250.6897527671433,0.16582637492935917,"           label      value  std_error     z_score       p_value significance
0            ar1   0.966903   0.001266  763.882484  0.000000e+00          ***
1            ma1   0.510182   0.019462   26.213635  0.000000e+00          ***
2            ma2   0.459741   0.019462   23.621940  0.000000e+00          ***
3            ma3   0.348179   0.019462   17.889776  0.000000e+00          ***
4            ma4   0.244605   0.019462   12.568045  0.000000e+00          ***
5            ma5   0.178452   0.019462    9.169015  0.000000e+00          ***
6           sar1  -0.629379   0.024606  -25.577871  0.000000e+00          ***
7           sar2  -0.441897   0.022500  -19.640094  0.000000e+00          ***
8           sar3  -0.241120   0.018335  -13.150538  0.000000e+00          ***
9       rainfall   4.507549   0.019462  231.602076  0.000000e+00          ***
10   pv_capacity  -6.465874   0.019462 -332.222620  0.000000e+00          ***
11   temperature   1.840003   0.019462   94.541080  0.000000e+00          ***
12   solar_power  -0.121815   0.019462   -6.258975  3.875169e-10          ***
13  total_demand  15.893305   0.019462  816.612771  0.000000e+00          ***
14        temp_1   0.667192   0.019462   34.280941  0.000000e+00          ***
15        temp_9   0.130465   0.019462    6.703438  2.035727e-11          ***
16       solar_4   0.052795   0.019462    2.712671  6.674329e-03           **
17      solar_16   0.195795   0.019462   10.060114  0.000000e+00          ***
18      lag_48*7  10.204809   0.019462  524.332580  0.000000e+00          ***
19     sin_336_1  11.245830   0.019462  577.821220  0.000000e+00          ***"
5,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-06,29846.97043394829,8795.51,9670.367496670662,11022.811576902293,8317.923416439031,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,8133.597321835678,9396.47655320312,6870.7180904682355,2020-01-06 11:30:00,2020-01-06 12:00:00,425085.4131726054,0.5001132452455013,564.9017472975275,0.07226662677062869,"           label      value  std_error     z_score       p_value significance
0            ar1   0.968568   0.001203  805.070220  0.000000e+00          ***
1            ma1   0.521464   0.019462   26.793296  0.000000e+00          ***
2            ma2   0.465485   0.019462   23.917074  0.000000e+00          ***
3            ma3   0.354254   0.019462   18.201898  0.000000e+00          ***
4            ma4   0.244536   0.019462   12.564506  0.000000e+00          ***
5            ma5   0.177624   0.019462    9.126473  0.000000e+00          ***
6           sar1  -0.658596   0.024613  -26.758034  0.000000e+00          ***
7           sar2  -0.460366   0.022801  -20.190320  0.000000e+00          ***
8           sar3  -0.254246   0.018209  -13.962656  0.000000e+00          ***
9       rainfall   4.084155   0.019462  209.847666  0.000000e+00          ***
10   pv_capacity  -4.814454   0.019462 -247.371101  0.000000e+00          ***
11   temperature   2.037996   0.019462  104.714125  0.000000e+00          ***
12   solar_power  -0.119143   0.019462   -6.121697  9.258418e-10          ***
13  total_demand  16.023629   0.019462  823.308956  0.000000e+00          ***
14        temp_1   1.050977   0.019462   54.000175  0.000000e+00          ***
15        temp_9   0.132836   0.019462    6.825212  8.779644e-12          ***
16       solar_4   0.056303   0.019462    2.892877  3.817304e-03           **
17      solar_16   0.192162   0.019462    9.873441  0.000000e+00          ***
18      lag_48*7  11.273672   0.019462  579.251731  0.000000e+00          ***
19     sin_336_1  12.284844   0.019462  631.206714  0.000000e+00          ***"
6,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-07,29874.849346815467,10506.18,10239.82469441241,11589.225572288811,8890.423816536008,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,9088.568767596722,10356.662079127402,7820.475456066042,2020-01-07 12:00:00,2020-01-07 12:00:00,94439.29582368594,0.9414464325968368,244.04401438251193,0.02837547647774338,"           label      value  std_error     z_score       p_value significance
0            ar1   0.967775   0.001233  784.930523  0.000000e+00          ***
1            ma1   0.524032   0.019462   26.925242  0.000000e+00          ***
2            ma2   0.464173   0.019462   23.849651  0.000000e+00          ***
3            ma3   0.358996   0.019462   18.445573  0.000000e+00          ***
4            ma4   0.248667   0.019462   12.776735  0.000000e+00          ***
5            ma5   0.186053   0.019462    9.559563  0.000000e+00          ***
6           sar1  -0.648673   0.024942  -26.006804  0.000000e+00          ***
7           sar2  -0.470262   0.022620  -20.789562  0.000000e+00          ***
8           sar3  -0.262721   0.018124  -14.495826  0.000000e+00          ***
9       rainfall   3.978034   0.019462  204.395106  0.000000e+00          ***
10   pv_capacity  -4.553731   0.019462 -233.974934  0.000000e+00          ***
11   temperature   2.366810   0.019462  121.608875  0.000000e+00          ***
12   solar_power  -0.124856   0.019462   -6.415225  1.406153e-10          ***
13  total_demand  15.962009   0.019462  820.142847  0.000000e+00          ***
14        temp_1   1.185707   0.019462   60.922729  0.000000e+00          ***
15        temp_9   0.133572   0.019462    6.863069  6.739720e-12          ***
16       solar_4   0.066067   0.019462    3.394606  6.872742e-04          ***
17      solar_16   0.189098   0.019462    9.716014  0.000000e+00          ***
18      lag_48*7  12.738651   0.019462  654.523761  0.000000e+00          ***
19     sin_336_1  12.607522   0.019462  647.786212  0.000000e+00          ***"
7,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-08,29884.65595202192,9715.67,9684.53901831843,11031.116222702245,8337.961813934615,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,8300.319815691377,9561.150188780037,7118.012882808911,2020-01-08 12:00:00,2020-01-08 12:00:00,252178.01566301464,0.7494078135726072,426.49792965701954,0.05316709167050294,"           label      value  std_error     z_score       p_value significance
0            ar1   0.967366   0.001248  774.916671  0.000000e+00          ***
1            ma1   0.520910   0.019462   26.764837  0.000000e+00          ***
2            ma2   0.458876   0.019462   23.577488  0.000000e+00          ***
3            ma3   0.354977   0.019462   18.239035  0.000000e+00          ***
4            ma4   0.248574   0.019462   12.771943  0.000000e+00          ***
5            ma5   0.188801   0.019462    9.700789  0.000000e+00          ***
6           sar1  -0.647881   0.024927  -25.991036  0.000000e+00          ***
7           sar2  -0.468298   0.022894  -20.454707  0.000000e+00          ***
8           sar3  -0.282036   0.017919  -15.739134  0.000000e+00          ***
9       rainfall   4.510141   0.019462  231.735260  0.000000e+00          ***
10   pv_capacity  -4.598754   0.019462 -236.288244  0.000000e+00          ***
11   temperature   2.622398   0.019462  134.741243  0.000000e+00          ***
12   solar_power  -0.156034   0.019462   -8.017192  1.110223e-15          ***
13  total_demand  17.339029   0.019462  890.895426  0.000000e+00          ***
14        temp_1   1.490729   0.019462   76.595036  0.000000e+00          ***
15        temp_9   0.126284   0.019462    6.488572  8.665380e-11          ***
16       solar_4   0.059861   0.019462    3.075691  2.100156e-03           **
17      solar_16   0.176863   0.019462    9.087390  0.000000e+00          ***
18      lag_48*7  13.251386   0.019462  680.868566  0.000000e+00          ***
19     sin_336_1  11.489463   0.019462  590.339292  0.000000e+00          ***"
8,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-09,29912.102043595205,9179.49,9165.67435907358,10517.119858637438,7814.228859509724,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8252.708234253187,9518.895872941672,7212.710290084631,2020-01-09 12:00:00,2020-01-09 12:00:00,24634.07707775188,0.9672592813883659,126.86658530383683,0.015820721968650888,"           label      value  std_error     z_score       p_value significance
0            ar1   0.967093   0.001259  768.371985  0.000000e+00          ***
1            ma1   0.522327   0.019462   26.837669  0.000000e+00          ***
2            ma2   0.459247   0.019462   23.596542  0.000000e+00          ***
3            ma3   0.356032   0.019462   18.293231  0.000000e+00          ***
4            ma4   0.248904   0.019462   12.788942  0.000000e+00          ***
5            ma5   0.189167   0.019462    9.719560  0.000000e+00          ***
6           sar1  -0.642964   0.024844  -25.880493  0.000000e+00          ***
7           sar2  -0.461649   0.022693  -20.343229  0.000000e+00          ***
8           sar3  -0.264359   0.018107  -14.599745  0.000000e+00          ***
9       rainfall   9.500561   0.019462  488.147680  0.000000e+00          ***
10   pv_capacity  -6.447454   0.019462 -331.276203  0.000000e+00          ***
11   temperature   3.070439   0.019462  157.762014  0.000000e+00          ***
12   solar_power  -0.155034   0.019462   -7.965810  1.554312e-15          ***
13  total_demand  18.670389   0.019462  959.301979  0.000000e+00          ***
14        temp_1   0.497160   0.019462   25.544556  0.000000e+00          ***
15        temp_9   0.123595   0.019462    6.350437  2.147047e-10          ***
16       solar_4   0.053919   0.019462    2.770420  5.598413e-03           **
17      solar_16   0.165110   0.019462    8.483529  0.000000e+00          ***
18      lag_48*7  10.754356   0.019462  552.568833  0.000000e+00          ***
19     sin_336_1  11.983484   0.019462  615.722535  0.000000e+00          ***"
9,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-01-10,29890.906523285736,11920.34,9830.458640988518,11175.77542612791,8485.141855849126,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8722.798730163817,9983.114777370256,7462.482682957378,2020-01-10 12:00:00,2020-01-10 12:00:00,1343289.8057593545,0.5720707447307132,838.0691256455626,0.07919029789804381,"           label      value  std_error     z_score       p_value significance
0            ar1   0.967117   0.001258  768.950441  0.000000e+00          ***
1            ma1   0.519959   0.019462   26.715979  0.000000e+00          ***
2            ma2   0.454199   0.019462   23.337156  0.000000e+00          ***
3            ma3   0.356712   0.019462   18.328207  0.000000e+00          ***
4            ma4   0.250483   0.019462   12.870038  0.000000e+00          ***
5            ma5   0.192283   0.019462    9.879695  0.000000e+00          ***
6           sar1  -0.636880   0.024798  -25.682860  0.000000e+00          ***
7           sar2  -0.455698   0.022615  -20.150192  0.000000e+00          ***
8           sar3  -0.258011   0.018172  -14.198656  0.000000e+00          ***
9       rainfall   6.288304   0.019462  323.098889  0.000000e+00          ***
10   pv_capacity  -1.930675   0.019462  -99.199878  0.000000e+00          ***
11   temperature   3.310934   0.019462  170.118851  0.000000e+00          ***
12   solar_power  -0.162717   0.019462   -8.360541  0.000000e+00          ***
13  total_demand  18.964562   0.019462  974.416832  0.000000e+00          ***
14        temp_1   0.455166   0.019462   23.386871  0.000000e+00          ***
15        temp_9   0.127857   0.019462    6.569395  5.052003e-11          ***
16       solar_4   0.056920   0.019462    2.924628  3.448685e-03           **
17      solar_16   0.160622   0.019462    8.252929  2.220446e-16          ***
18      lag_48*7  11.010600   0.019462  565.734857  0.000000e+00          ***
19     sin_336_1  11.683771   0.019462  600.323021  0.000000e+00          ***"
