,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-01,30690.052881357446,8492.82,9073.212916884462,10030.3168293567,8116.109004412226,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,7699.285496005495,8553.264323912426,7115.052442340521,2020-01-01 00:00:00,2020-01-01 12:00:00,397412.56336997775,0.39583996524940734,531.3630761075042,0.07625114574979795
1,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-02,30668.228671940993,9101.15,9082.829122693893,10036.842278408676,8128.81596697911,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7715.322674967909,8566.676795831423,6885.637077157675,2020-01-02 12:00:00,2020-01-02 12:00:00,45383.942114192796,0.9441536791786048,169.88237423092593,0.02246410950861714
2,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-03,30658.56135092679,10858.09,9563.624855053067,10516.178928052444,8611.07078205369,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,7974.7600481817635,8824.859382183227,7200.106405555845,2020-01-03 12:00:00,2020-01-03 12:00:00,611856.7146193563,0.7206552582699421,627.0699932169117,0.06713458356473923
3,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-04,30644.111655545745,12334.04,10428.485021940258,11389.828559278933,9467.141484601583,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,8736.605549393316,9592.419784255397,7880.791314531236,2020-01-04 12:00:00,2020-01-04 12:00:00,1831940.9071995162,0.5911612749103927,1084.729871009007,0.10219483392075389
4,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-05,30781.290692830135,8220.91,10127.782375011066,11121.049293069524,9134.515456952608,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8591.137041466045,9475.310158788154,7936.820563577247,2020-01-05 00:00:00,2020-01-05 12:00:00,1488897.4494107713,-2.886565490703033,1113.4868439871154,0.14984415706873278
5,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-06,30778.35101089921,8795.51,9253.804659316856,10247.304773501031,8260.304545132682,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7788.0659899997045,8672.146005733232,6903.9859742661765,2020-01-06 11:30:00,2020-01-06 12:00:00,336131.74099829415,0.6047198987056527,471.38968786822096,0.06172145296476587
6,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-07,30806.963007197653,10506.18,9838.573991177445,10827.13164823776,8850.01633411713,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,8668.843157421525,9557.793428383855,7779.892886459195,2020-01-07 12:00:00,2020-01-07 12:00:00,189532.61096550454,0.8824873648784367,333.2495253268805,0.03838496648736005
7,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-08,30801.529899474288,9715.67,9175.324005474364,10171.223422388466,8179.424588560261,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,7760.87823346058,8648.16514290484,7130.718562533382,2020-01-08 12:00:00,2020-01-08 12:00:00,473029.7477272588,0.5299449144426075,588.1840233889257,0.07015962566118168
8,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-09,30805.378195557063,9179.49,9439.741747963435,10429.913481773636,8449.570014153234,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8317.82426292519,9201.691661911356,7433.956863939025,2020-01-09 12:00:00,2020-01-09 12:00:00,36867.26319486534,0.9510003688616251,144.93599019127575,0.017802858456276965
9,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-10,30772.82826313737,11920.34,10081.924854995874,11066.32481690273,9097.524893089017,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8523.624536213816,9402.35071560432,7644.8983568233125,2020-01-10 12:00:00,2020-01-10 12:00:00,1180182.0457831202,0.6240316707766119,880.95813258852,0.08649799041285224
