,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-01,31670.98743836625,8492.82,8870.51103865731,10194.534815239154,7546.487262075468,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,7535.360806355571,8652.475087083965,6970.428047122677,2020-01-01 00:00:00,2020-01-01 12:00:00,280500.1553416219,0.5735741664488527,444.2651920641718,0.06448241905674436
1,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-02,31822.059992091232,9101.15,8479.651260090233,9505.624859554608,7453.67766062586,2020-01-02 04:30:00,2020-01-02 05:30:00,7680.36,7080.237016058481,8013.925482820166,6859.601497286718,2020-01-02 12:00:00,2020-01-02 12:00:00,275760.2639323159,0.6606686098222248,435.8076132984755,0.056284456901171086
2,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-03,31769.703646549522,10858.09,9501.522778317069,10826.779977982893,8176.265578651243,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,7958.215077956158,9079.451810757657,7162.635743599239,2020-01-03 12:00:00,2020-01-03 12:00:00,625362.9359358618,0.7144889585215519,626.5291484162691,0.06697654889196179
3,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-04,31455.20185168533,12334.04,10709.47682222625,11661.135447934355,9757.818196518145,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,9080.059745763974,9951.23010586663,8208.889385661318,2020-01-04 12:00:00,2020-01-04 12:00:00,1300626.863912176,0.7097359271964574,917.7865019464485,0.08688200976621326
4,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-05,31828.3126835646,8220.91,9580.635217742796,10583.578743143938,8577.691692341654,2020-01-05 04:30:00,2020-01-05 05:00:00,7957.69,8247.639819485374,9171.630427471346,7917.292753088352,2020-01-05 00:00:00,2020-01-05 12:00:00,861538.2024422191,-1.2489289963250227,839.9952308657603,0.11345283333737959
5,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-06,32003.488516261725,8795.51,8884.938266973073,10340.669775801232,7429.206758144914,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7424.80669801886,8651.831211906581,6592.259036420765,2020-01-06 11:30:00,2020-01-06 12:00:00,364623.2996338418,0.5712147434053971,420.88107947807345,0.054096397138496365
6,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-07,31737.28870612619,10506.18,10145.105215778136,11163.686617187896,9126.523814368376,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,9060.43530388196,10001.661397762522,8119.2092100014,2020-01-07 12:00:00,2020-01-07 12:00:00,277024.118980057,0.8282415144932453,402.3827589623539,0.046204455842194896
7,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-08,31741.735413358936,9715.67,9456.03038275097,10764.630190525,8147.430574976942,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,8043.86756137187,9159.64003924554,7432.264053896217,2020-01-08 12:00:00,2020-01-08 12:00:00,211985.00849545887,0.7893480657739289,356.0041743146225,0.04207720679373228
8,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-09,32134.1810567178,9179.49,8738.35784769639,10277.953967881218,7198.761727511563,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,7921.3679454306875,9218.823029631762,6907.737617064967,2020-01-09 12:00:00,2020-01-09 12:00:00,201409.87634843026,0.7323096754826846,396.04167759700493,0.04751728085335019
9,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-10,31725.76873454479,11920.34,10048.883673518709,11061.570134884008,9036.197212153409,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8475.488984214,9401.662539830693,7549.315428597308,2020-01-10 12:00:00,2020-01-10 12:00:00,1125976.223918604,0.6412999154117518,861.7507797506918,0.08491487641752517
10,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-11,32043.2685883177,7716.93,10959.014936171785,12085.36291371545,9832.66695862812,2020-01-11 05:00:00,2020-01-11 04:00:00,8302.9,9723.121197836039,10755.460380136443,8690.782015535635,2020-01-11 00:00:00,2020-01-11 12:00:00,4375382.27823728,-29.694727295512475,1688.2037425088154,0.23046053125847887
11,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-12,32068.54978203905,7690.59,6763.484629478349,7949.74360004421,5597.406005348714,2020-01-12 05:30:00,2020-01-12 04:30:00,7040.43,6599.760741995547,7266.752863983254,6415.917478207734,2020-01-12 09:30:00,2020-01-12 00:00:00,392260.17755409103,-0.18649870211920838,557.4336730329683,0.07940953537595503
12,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-13,32439.506432848797,8671.97,9557.554256852947,11138.703064900395,7976.405448805499,2020-01-13 05:30:00,2020-01-13 04:30:00,7640.2,8541.012721973004,9873.736579789034,7215.166164779872,2020-01-13 11:00:00,2020-01-13 12:00:00,608113.5101139317,0.11875328517725459,723.1847189517557,0.09675054703184056
13,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-14,31865.0987929007,9412.35,9293.405113814215,10766.992388699331,7819.8178389291,2020-01-14 04:30:00,2020-01-14 04:30:00,8267.39,7845.595307941613,9087.43835140454,6969.293752200055,2020-01-14 12:00:00,2020-01-14 12:00:00,94151.01213950395,0.9026466853241993,232.66958979164716,0.028683585115920996
14,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-15,32444.682664177762,9524.55,9332.078296150208,10925.885228420717,7760.152245563511,2020-01-15 04:30:00,2020-01-15 04:30:00,8450.73,8604.68343459014,9948.016907078429,7261.349962101852,2020-01-15 12:00:00,2020-01-15 12:00:00,38756.9211925655,0.9642035208407597,171.72711054979027,0.021289042937025698
15,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-16,32025.960032999716,9316.72,9578.30176105079,10608.178712132854,8548.424809968727,2020-01-16 04:30:00,2020-01-16 04:30:00,8814.88,8639.474044693963,9585.225212227435,7721.37087677293,2020-01-16 11:30:00,2020-01-16 12:00:00,85796.74395528542,0.8829192853057143,273.2290078157302,0.03459193338820557
16,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-17,32142.423991310996,8264.99,9778.323256992911,10956.327795715619,8600.318718270204,2020-01-17 04:30:00,2020-01-17 04:30:00,8401.15,8319.214102589709,9388.835661669771,7249.592543509647,2020-01-17 11:00:00,2020-01-17 12:00:00,665942.5848515239,-0.41773835375333856,649.2194810799241,0.08143503476986093
17,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-18,31620.962600175848,7744.74,8542.180285071303,9561.468019535727,7522.892550606879,2020-01-18 07:00:00,2020-01-18 04:30:00,7708.16,7814.652016821604,8740.717389098296,6996.1638976079985,2020-01-18 09:30:00,2020-01-18 12:00:00,253689.87282495154,0.12200108891293515,421.67236270094236,0.058623292036968894
