,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-01,30788.47132427151,8492.82,9460.218267557013,10432.741076920982,8487.695458193044,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,8026.647493594434,8895.9160532412,7164.750175588159,2020-01-01 00:00:00,2020-01-01 12:00:00,769975.6952339116,-0.17054312235357516,751.7639183459338,0.10673672754987067
1,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-02,30773.227513453126,9101.15,9136.666041058006,10112.017988114478,8161.314094001535,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7837.51176287968,8708.396201858424,6966.627323900935,2020-01-02 12:00:00,2020-01-02 12:00:00,34834.093633656914,0.9571355885371765,154.67529752566585,0.020118488805480873
2,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-03,30761.960753311516,10858.09,9472.577400156248,10445.445844642763,8499.708955669732,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,7969.887117762512,8838.781757440509,7197.047264320105,2020-01-03 12:00:00,2020-01-03 12:00:00,676049.486836383,0.6913478845867794,650.9732457151381,0.06934823763178449
3,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-04,30744.67350622529,12334.04,10304.045181699603,11283.766824578992,9324.323538820214,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,8776.775942783126,9649.916309491022,7903.635576075229,2020-01-04 12:00:00,2020-01-04 12:00:00,1948925.1642226495,0.5650536126441426,1123.8430054794962,0.10625000166217675
4,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-05,30884.33229568256,8220.91,10042.465952936856,11056.049007607102,9028.882898266611,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8599.35032277362,9502.29989011202,7931.507835649133,2020-01-05 00:00:00,2020-01-05 12:00:00,1423384.2897980986,-2.715552245003472,1101.885482494457,0.14879275678133558
5,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-06,30872.582554156583,8795.51,8943.486267410319,9953.204276820532,7933.768258000106,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7610.178623633006,8510.037094842155,6710.320152423857,2020-01-06 11:30:00,2020-01-06 12:00:00,353653.2975264874,0.5841151125621924,434.5504534820996,0.05782270728196379
6,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-07,30891.794523702996,10506.18,9496.193165003657,10509.429362167475,8482.956967839838,2020-01-07 04:30:00,2020-01-07 04:30:00,8469.66,8360.596011806014,9264.30204338675,7456.889980225277,2020-01-07 12:00:00,2020-01-07 12:00:00,248838.97204455314,0.8457166649214866,397.0973765023069,0.044637571228437804
7,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-08,30884.2415073662,9715.67,9407.183386845849,10413.926388395075,8400.440385296622,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,8031.546944034424,8930.467303184576,7132.626584884272,2020-01-08 12:00:00,2020-01-08 12:00:00,269396.3007109031,0.7322978062417291,434.6689035809197,0.05264671527180483
8,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-09,30883.900306340245,9179.49,9500.381691305338,10503.754362017946,8497.00902059273,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8376.408900529887,9272.98085676123,7479.836944298543,2020-01-09 12:00:00,2020-01-09 12:00:00,53000.35093278015,0.9295581656771217,177.30821880144185,0.021691628507864852
9,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-10,30855.148102944277,11920.34,9867.355436996513,10867.74693514227,8866.963938850757,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8427.088280309776,9320.615368549341,7533.5611920702095,2020-01-10 12:00:00,2020-01-10 12:00:00,1460390.0833114411,0.5347663340593585,975.406211199282,0.09558691970781048
