,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-01,30724.97719227766,8492.82,9452.841561183703,10625.441996112426,8280.24112625498,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,7959.071443237287,8948.409922013388,7159.1511632308375,2020-01-01 00:00:00,2020-01-01 12:00:00,755601.8280787751,-0.1486914828223329,751.1423509701518,0.10655056293271764
1,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-02,30700.189436422257,9101.15,9093.497305083074,10046.195342650537,8140.799267515612,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7746.853568893976,8597.398224317483,6896.308913470469,2020-01-02 12:00:00,2020-01-02 12:00:00,33146.310898196614,0.9592124565158145,155.4934903804071,0.020389117591322965
2,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-03,30699.8021553229,10858.09,9517.897807043493,10627.921831129057,8407.87378295793,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,7985.572794074133,8934.746776223074,7191.103543500083,2020-01-03 12:00:00,2020-01-03 12:00:00,628425.1145551889,0.7130909130721702,616.9710321736022,0.06526319487970539
3,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-04,30675.978139889874,12334.04,10680.908515911704,11635.845680800132,9725.971351023276,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,9413.094042296403,10264.622443391834,8561.565641200972,2020-01-04 12:00:00,2020-01-04 12:00:00,1220107.8891120933,0.7277055433960933,899.424907581565,0.08604799845664583
4,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-05,30790.739548609792,8220.91,9972.438667779463,10954.320271402772,8990.557064156154,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8459.96164109005,9335.347987873924,7930.992165360185,2020-01-05 00:00:00,2020-01-05 12:00:00,1285236.3428271746,-2.3549357072283876,1041.2883851906993,0.14052711494382966
5,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-06,30776.477475384356,8795.51,8868.190204284992,9845.056739242715,7891.323669327269,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7501.175136633428,8372.676164798362,6629.6741084684945,2020-01-06 11:30:00,2020-01-06 12:00:00,366781.0912478549,0.5686772499653965,435.10937677994593,0.05762193217462271
6,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-07,30867.788149176795,10506.18,9468.926823572725,10630.348959683304,8307.504687462146,2020-01-07 04:30:00,2020-01-07 04:30:00,8469.66,8227.270779604143,9220.725635960674,7233.815923247613,2020-01-07 12:00:00,2020-01-07 12:00:00,274307.82681596506,0.8299256502645854,432.030453752503,0.04879114871114957
7,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-08,30795.300625288848,9715.67,9381.996049833979,10523.438420385117,8240.55367928284,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,7961.824265346978,8938.620028828756,7127.914975006332,2020-01-08 12:00:00,2020-01-08 12:00:00,289041.3267882671,0.7127763185172471,454.28153033710754,0.05490223202667396
8,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-09,30799.41728805898,9179.49,9480.595129608559,10672.015242543359,8289.175016673758,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8313.150408377407,9320.745431545174,7305.55538520964,2020-01-09 12:00:00,2020-01-09 12:00:00,48684.05326332138,0.9352948810001176,167.11497197242218,0.020533980054246757
9,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-10,30942.891808196142,11920.34,9981.595808144986,11156.333579738923,8806.85803655105,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8492.067489519211,9495.930535031233,7488.2044440071895,2020-01-10 12:00:00,2020-01-10 12:00:00,1292984.3053707962,0.5880964714390726,916.0984299626203,0.08976702466125587
