,label,value,std_error,z_score,p_value,significance,eval_date
0,ar1,0.9997463494740161,1.546845578138774e-07,6463129.633644171,0.0,***,2020-01-01
17,temp_9^2,0.34243089444072333,0.04174127049073897,8.203652893524112,2.220446049250313e-16,***,2020-01-01
16,temp_1^2,1.3744686802641617,0.06407841643124795,21.44979162740201,0.0,***,2020-01-01
15,temp^2,0.5385873366016334,0.038996910273157485,13.811025869204721,0.0,***,2020-01-01
14,cos_336_1,14.057408631650304,3.9695328661870257,3.541325668668235,0.00039812184946197426,***,2020-01-01
12,solar_16,0.22030818066294344,0.05173988640566116,4.257995058892094,2.062685070702841e-05,***,2020-01-01
11,solar_4,0.0876727383534952,0.056332894659624204,1.5563329185058439,0.11962894754571063,,2020-01-01
10,temp_9,-10.328221299684742,1.2277764595699174,-8.412134977162419,0.0,***,2020-01-01
9,temp_1,-48.02353378279133,2.9542053338589906,-16.25599047986946,0.0,***,2020-01-01
13,sin_336_1,10.551843731650148,0.35163790549473317,30.00769702801052,0.0,***,2020-01-01
7,temperature,-19.41023957372579,1.237589592108367,-15.683906601588623,0.0,***,2020-01-01
6,pv_capacity,1.7547614299459724,4.967834521772027,0.3532246137135922,0.7239200566181452,,2020-01-01
5,rainfall,1.8409854192858006,0.16458437286270433,11.185663543048184,0.0,***,2020-01-01
4,intercept,3442.1107168990725,0.020638448073487418,166781.47042077646,0.0,***,2020-01-01
3,sma1,-1.1280053465757793,0.008701692180968366,-129.63057335478507,0.0,***,2020-01-01
2,sar1,0.9973824438474105,9.305576167806246e-07,1071811.5953937105,0.0,***,2020-01-01
1,ma1,2.325899222329831,0.061629528323869316,37.7400133602678,0.0,***,2020-01-01
8,solar_power,-0.45741410773780444,0.05335929204200395,-8.572342140104336,0.0,***,2020-01-01
11,solar_4,0.0895871984637715,0.05655697767036033,1.5840167235584308,0.11318991345126972,,2020-01-02
12,solar_16,0.22820435770083947,0.053653649496833815,4.253286772492636,2.106555220726669e-05,***,2020-01-02
13,sin_336_1,11.366132602528126,0.04385553232176594,259.1721500296782,0.0,***,2020-01-02
17,temp_9^2,0.3758443391852645,0.035561107706493046,10.568971649795929,0.0,***,2020-01-02
15,temp^2,0.4760176737551163,0.03451011936979314,13.793567870755517,0.0,***,2020-01-02
16,temp_1^2,1.3362778908335216,0.03509946306685672,38.071177564403406,0.0,***,2020-01-02
10,temp_9,-11.916614273112145,0.6429329249923246,-18.53477059563314,0.0,***,2020-01-02
14,cos_336_1,12.292840085757767,0.3606543860364375,34.08482070842139,0.0,***,2020-01-02
9,temp_1,-45.34977028671278,0.5465411216793065,-82.97595274692365,0.0,***,2020-01-02
