,label,value,std_error,z_score,p_value,significance,eval_date
0,ar1,0.9864920663629312,0.0023100182011212213,427.04947774182654,0.0,***,2020-01-01
14,cos_336_1,13.361272092053037,0.480832966362744,27.78776212688627,0.0,***,2020-01-01
13,sin_336_1,12.230681711376763,0.32044898907278474,38.16732811910592,0.0,***,2020-01-01
12,solar_16,0.2244380070174123,0.058579238135601244,3.831357562177156,0.00012743814400750786,***,2020-01-01
11,solar_4,0.08483480511674561,0.053634484391867215,1.5817212765004116,0.11371321336174134,,2020-01-01
9,temp_1,17.911405156280903,0.21883462047933444,81.84904708883738,0.0,***,2020-01-01
8,solar_power,-0.47597371272958355,0.06000913805811685,-7.931687208515124,2.220446049250313e-15,***,2020-01-01
10,temp_9,5.801725359814132,0.3307099084735592,17.54324624439848,0.0,***,2020-01-01
6,pv_capacity,3.433008935022258,0.26859057731766006,12.781568770233008,0.0,***,2020-01-01
5,rainfall,3.0296786328171947,0.5002627117190342,6.056175209234408,1.3939616128055832e-09,***,2020-01-01
4,intercept,4963.431438562258,0.0601337982173233,82539.79601661678,0.0,***,2020-01-01
3,sma1,-0.8781262806069625,0.008953614676685692,-98.07505821012319,0.0,***,2020-01-01
2,sar1,0.9961406256074088,0.0006255318570783884,1592.4698547888306,0.0,***,2020-01-01
1,ma1,0.4399986028853657,0.013667584959400278,32.192856616028855,0.0,***,2020-01-01
7,temperature,9.071986924346334,1.6096953426769594,5.635840946933111,1.7420611175822387e-08,***,2020-01-01
9,temp_1,19.262871442878883,0.19025438186895208,101.24797785812481,0.0,***,2020-01-02
14,cos_336_1,15.094809856374441,0.03857085807141598,391.35271059890874,0.0,***,2020-01-02
13,sin_336_1,13.21533802046508,0.10706677266361059,123.43080576441672,0.0,***,2020-01-02
12,solar_16,0.22368131798952506,0.05577120244758671,4.010695630952888,6.05401139086581e-05,***,2020-01-02
11,solar_4,0.0813516959870007,0.05338233081372295,1.5239442479736702,0.1275226388530799,,2020-01-02
10,temp_9,5.812341930707494,0.2487223321951339,23.368797966028435,0.0,***,2020-01-02
8,solar_power,-0.4649341279678083,0.049457012300997326,-9.400772637420976,0.0,***,2020-01-02
3,sma1,-0.8816070236896025,0.009468222697096254,-93.11219770527542,0.0,***,2020-01-02
6,pv_capacity,-1.5061909209034638,0.152536117963762,-9.874323150542546,0.0,***,2020-01-02
5,rainfall,0.3071989157047028,0.2598583903047351,1.182178167672214,0.23713501352227784,,2020-01-02
4,intercept,7952.848889316323,0.07477842624425571,106352.18322647223,0.0,***,2020-01-02
2,sar1,0.9962147109866858,0.0008366113593292585,1190.7735890478311,0.0,***,2020-01-02
1,ma1,0.4423815771918355,0.011909765395411892,37.14444092763223,0.0,***,2020-01-02
0,ar1,0.9867686729074867,0.0025431105784154955,388.0164241707101,0.0,***,2020-01-02
7,temperature,9.637197059009964,0.32550127400935325,29.607248353605645,0.0,***,2020-01-02
8,solar_power,-0.4705796244429301,0.060845255841460666,-7.734039703425352,1.0436096431476471e-14,***,2020-01-03
14,cos_336_1,15.794379537020506,0.05583025736419638,282.89999514043706,0.0,***,2020-01-03
13,sin_336_1,13.117228563376402,0.0353876699529162,370.6722872918466,0.0,***,2020-01-03
12,solar_16,0.21796869819934647,0.06143794314635491,3.5477863847119773,0.000388483156840147,***,2020-01-03
11,solar_4,0.08224163989722294,0.06460586193756482,1.2729748885124597,0.20302695284928207,,2020-01-03
9,temp_1,19.32505986668866,0.03138548979751821,615.7323014986621,0.0,***,2020-01-03
7,temperature,10.825250741061609,0.05929215232980782,182.5747643777042,0.0,***,2020-01-03
10,temp_9,6.461049447935881,0.019559290943747767,330.33147604981,0.0,***,2020-01-03
5,rainfall,1.5691619682293094,0.02751163183831826,57.036310221474295,0.0,***,2020-01-03
4,intercept,9308.019861136187,0.020701131025441993,449638.227481218,0.0,***,2020-01-03
6,pv_capacity,-3.6120359752869717,0.4396870061202636,-8.215016420792303,2.220446049250313e-16,***,2020-01-03
3,sma1,-0.8829227681773949,0.01030386364934767,-85.6885143499829,0.0,***,2020-01-03
2,sar1,0.9962575514673658,0.0009519164164659877,1046.5809121834411,0.0,***,2020-01-03
1,ma1,0.44320662735757105,0.013581226645402884,32.6337700510721,0.0,***,2020-01-03
0,ar1,0.986698228544916,0.0026605759176856216,370.8588888541184,0.0,***,2020-01-03
13,sin_336_1,12.201607027626851,0.05138170655909525,237.469867093525,0.0,***,2020-01-04
12,solar_16,0.21854073549352016,0.05347819994299916,4.0865387340347334,4.3785641390625685e-05,***,2020-01-04
11,solar_4,0.0866665796288606,0.05039185256922299,1.7198530161161911,0.08545916280247257,.,2020-01-04
10,temp_9,6.433336784331907,0.02780608666661665,231.36433621404277,0.0,***,2020-01-04
9,temp_1,19.35903921105787,0.039037610957087465,495.90737589804127,0.0,***,2020-01-04
8,solar_power,-0.4640859526683734,0.040730044756798825,-11.39419206238182,0.0,***,2020-01-04
7,temperature,10.405607899978577,0.6025035718190904,17.270616120269235,0.0,***,2020-01-04
14,cos_336_1,13.352439272580328,0.2675488456617909,49.906547866250854,0.0,***,2020-01-04
5,rainfall,1.7681136401397453,0.08474002725891831,20.865153072672197,0.0,***,2020-01-04
4,intercept,9004.032419905174,0.11331648921603588,79459.15446373516,0.0,***,2020-01-04
3,sma1,-0.8776129413898095,0.00926186997768151,-94.7554806431756,0.0,***,2020-01-04
2,sar1,0.9960456053712128,0.0006886162117692451,1446.4451872431187,0.0,***,2020-01-04
1,ma1,0.44607810077670157,0.013129888920869925,33.97424787559791,0.0,***,2020-01-04
0,ar1,0.9872618297947654,0.0016168087805675537,610.623743302658,0.0,***,2020-01-04
6,pv_capacity,-2.83267336195604,0.08197263511250023,-34.55632917092936,0.0,***,2020-01-04
14,cos_336_1,17.096503897193386,0.09491758708311444,180.119453334005,0.0,***,2020-01-05
13,sin_336_1,14.144640336220204,0.5919936342632088,23.893230463237202,0.0,***,2020-01-05
12,solar_16,0.23432385119958776,0.07635414474279706,3.068908072887463,0.002148426890887123,**,2020-01-05
11,solar_4,0.08369559207966738,0.06238485125050617,1.341601212505709,0.1797253328515378,,2020-01-05
10,temp_9,6.288776453110855,0.5483033128602509,11.469521167590884,0.0,***,2020-01-05
9,temp_1,22.51856652794307,0.18184241780225668,123.83560887554152,0.0,***,2020-01-05
8,solar_power,-0.4853719894635091,0.11899645211781583,-4.078877822197192,4.525361039386944e-05,***,2020-01-05
7,temperature,12.147698513016394,0.10538976686562145,115.26449743935264,0.0,***,2020-01-05
5,rainfall,2.1085330519526906,0.20450184165286628,10.310582217307566,0.0,***,2020-01-05
4,intercept,9115.04945783986,0.21263206641404492,42867.708580185186,0.0,***,2020-01-05
3,sma1,-0.8716399071269001,0.008757272474724352,-99.53326331259737,0.0,***,2020-01-05
2,sar1,0.995652878367448,0.0006735837322386605,1478.14270255368,0.0,***,2020-01-05
1,ma1,0.45518617752840734,0.013388360719463267,33.998649055420394,0.0,***,2020-01-05
0,ar1,0.9873598567596575,0.0020193718305679827,488.9440576587353,0.0,***,2020-01-05
6,pv_capacity,-2.8107462397324525,1.0093804612543937,-2.7846251712059455,0.005358963249987303,**,2020-01-05
8,solar_power,-0.47721265548808134,0.0582891294464494,-8.18699232635649,2.220446049250313e-16,***,2020-01-06
14,cos_336_1,16.823306978872253,0.7076533432369905,23.773373134814953,0.0,***,2020-01-06
13,sin_336_1,14.278204857426864,0.9180120992389633,15.553395068827054,0.0,***,2020-01-06
12,solar_16,0.23450633531030138,0.06074620567595618,3.860427704098082,0.00011318872722965168,***,2020-01-06
11,solar_4,0.09454084520541811,0.05464483388326973,1.73009667130424,0.08361300486896872,.,2020-01-06
9,temp_1,23.07269802765438,2.747498553056852,8.397710711069827,0.0,***,2020-01-06
7,temperature,12.540831441427827,1.753986850506411,7.149900489736875,8.684164498617974e-13,***,2020-01-06
10,temp_9,6.824736900010683,0.5204824102707036,13.112329572215758,0.0,***,2020-01-06
5,rainfall,1.9000020731418772,0.6603103406597047,2.8774380108050672,0.004009186718306301,**,2020-01-06
0,ar1,0.9872571130085119,0.0038726341139205377,254.93167801722498,0.0,***,2020-01-06
1,ma1,0.4554222050345206,0.011531256505154764,39.49458628649318,0.0,***,2020-01-06
2,sar1,0.9958419706460895,0.0008387543352397704,1187.286823812855,0.0,***,2020-01-06
6,pv_capacity,-6.981902098910268,2.956524240145643,-2.3615237122379655,0.018200007955417208,*,2020-01-06
4,intercept,11835.892611899124,0.11580956708163595,102201.33716203102,0.0,***,2020-01-06
3,sma1,-0.8727882856818141,0.009545451282894489,-91.43499451365452,0.0,***,2020-01-06
14,cos_336_1,15.702231362561259,0.012449195681713897,1261.3048878029615,0.0,***,2020-01-07
13,sin_336_1,14.28124711541843,0.013898499498175815,1027.538772605838,0.0,***,2020-01-07
12,solar_16,0.25396666153484837,0.04224809965519689,6.011315623840331,1.8402372958803426e-09,***,2020-01-07
11,solar_4,0.09859147789323038,0.036115464238718704,2.729896457693387,0.006335422048591832,**,2020-01-07
10,temp_9,7.334790301362334,0.00815329498242727,899.6105644614781,0.0,***,2020-01-07
8,solar_power,-0.4951066387294141,0.006752981178245698,-73.31675087802242,0.0,***,2020-01-07
7,temperature,12.10741111571565,0.019717082865883716,614.0569169420589,0.0,***,2020-01-07
9,temp_1,23.259912280516502,0.023742189919855442,979.6868932071168,0.0,***,2020-01-07
5,rainfall,1.3773221391857078,0.03819799340800025,36.05744742856674,0.0,***,2020-01-07
4,intercept,10647.917393629337,0.017138690839949514,621279.5068809761,0.0,***,2020-01-07
3,sma1,-0.8825181812944677,0.00661119611955215,-133.4884286195174,0.0,***,2020-01-07
2,sar1,0.9962350064800098,0.00016460522342596053,6052.268486656601,0.0,***,2020-01-07
1,ma1,0.46001928603034026,0.012331114138702306,37.30557359667352,0.0,***,2020-01-07
0,ar1,0.9870453955729922,0.00040429526491260996,2441.397367803321,0.0,***,2020-01-07
6,pv_capacity,-4.897776119436685,0.02452901608046869,-199.6727509725331,0.0,***,2020-01-07
9,temp_1,23.629720303394514,0.21003826794555508,112.50197658990254,0.0,***,2020-01-08
14,cos_336_1,14.661782020899773,0.29726869228434755,49.3216487354655,0.0,***,2020-01-08
13,sin_336_1,13.41477077201889,0.09435106227721977,142.17932949820923,0.0,***,2020-01-08
12,solar_16,0.20318762375955063,0.06849513664572758,2.966453294494224,0.003012561137002878,**,2020-01-08
11,solar_4,0.12110196943457124,0.06045880273678487,2.003049414686628,0.045171984790121966,*,2020-01-08
10,temp_9,7.53563317028914,0.08522858551875181,88.41673394463605,0.0,***,2020-01-08
8,solar_power,-0.49194272041204457,0.07224756328745685,-6.8091254296662544,9.81947856359966e-12,***,2020-01-08
2,sar1,0.9963641414772157,0.0007963941262138375,1251.0942869632427,0.0,***,2020-01-08
6,pv_capacity,-3.7843544955162542,0.8175081372788419,-4.629133733289627,3.671985809861056e-06,***,2020-01-08
5,rainfall,2.0191148255962617,0.04579212869433617,44.09305448702578,0.0,***,2020-01-08
4,intercept,9564.703936828988,0.01930711823649688,495397.8019748444,0.0,***,2020-01-08
3,sma1,-0.8839771544897168,0.008876795224425223,-99.58291614719036,0.0,***,2020-01-08
1,ma1,0.4592127149582094,0.01562324022847392,29.392924146508204,0.0,***,2020-01-08
0,ar1,0.9867500546158855,0.0026643495537421943,370.35307669369143,0.0,***,2020-01-08
7,temperature,12.704364007271579,0.21945504883683845,57.8905068468809,0.0,***,2020-01-08
8,solar_power,-0.4947662729994704,0.056931669370057614,-8.690528109820113,0.0,***,2020-01-09
13,sin_336_1,13.117046725207887,0.3196420994305715,41.03666803770635,0.0,***,2020-01-09
12,solar_16,0.20685966884890733,0.05228582920214538,3.956323768896439,7.611198981538614e-05,***,2020-01-09
11,solar_4,0.13489245900118996,0.056313382096090374,2.3953890528367863,0.016602738033332898,*,2020-01-09
10,temp_9,7.616237320966314,0.716700968614716,10.626799257279433,0.0,***,2020-01-09
9,temp_1,23.90683781250017,0.3474385223841338,68.80882882085359,0.0,***,2020-01-09
14,cos_336_1,17.193911686772832,0.13490337582709405,127.45353169523575,0.0,***,2020-01-09
7,temperature,12.325664102383257,0.6217558410045869,19.82396189872276,0.0,***,2020-01-09
5,rainfall,5.763639919546449,0.4466160215671307,12.905134704577808,0.0,***,2020-01-09
4,intercept,6396.742513887023,0.09822898737361103,65120.72133612864,0.0,***,2020-01-09
3,sma1,-0.8885661642341546,0.009979574739766761,-89.03847983555679,0.0,***,2020-01-09
2,sar1,0.9966016749682589,0.0008310483341176629,1199.2102433204038,0.0,***,2020-01-09
1,ma1,0.45885750149023613,0.012593762463427062,36.43529904766602,0.0,***,2020-01-09
0,ar1,0.9865541370000007,0.002429510350632813,406.07118086285726,0.0,***,2020-01-09
6,pv_capacity,0.9224679629789989,0.5144418178208386,1.7931434246277795,0.07294999363384247,.,2020-01-09
13,sin_336_1,14.574035130342983,0.020558923025244574,708.8909819083098,0.0,***,2020-01-10
12,solar_16,0.2072451602937781,0.05487553782762746,3.776640166056634,0.0001589581211087765,***,2020-01-10
11,solar_4,0.16389622846082713,0.05801113020198819,2.8252548759205176,0.004724302001835712,**,2020-01-10
10,temp_9,8.670786683750158,0.040241101068014457,215.470910427998,0.0,***,2020-01-10
9,temp_1,23.846217383923808,0.10232357791902409,233.04714190892554,0.0,***,2020-01-10
8,solar_power,-0.509257243800274,0.05799308458702258,-8.78134431763323,0.0,***,2020-01-10
7,temperature,12.36735074273372,0.2152409813572601,57.45815998769403,0.0,***,2020-01-10
14,cos_336_1,17.15440862801975,0.01816930535803508,944.1422382410173,0.0,***,2020-01-10
5,rainfall,3.5212347922981735,0.019325325043871307,182.20830875053625,0.0,***,2020-01-10
4,intercept,5041.105640064825,0.018744511091829074,268937.69676725764,0.0,***,2020-01-10
3,sma1,-0.893598924544644,0.009087642251857455,-98.3312172485661,0.0,***,2020-01-10
2,sar1,0.9968568465516983,0.00038242087296954286,2606.700933479358,0.0,***,2020-01-10
1,ma1,0.4603238652663585,0.012801243897930251,35.95930746548663,0.0,***,2020-01-10
0,ar1,0.9866662943917184,0.00041817829481098585,2359.4392789747394,0.0,***,2020-01-10
6,pv_capacity,3.320842847944391,0.0728755411183655,45.56868871204168,0.0,***,2020-01-10
14,cos_336_1,15.081602201269542,0.5127001780601487,29.416026845031066,0.0,***,2020-01-11
13,sin_336_1,12.247985232751647,0.9262554828199674,13.22311766021928,0.0,***,2020-01-11
12,solar_16,0.2200751621274552,0.0629594621613351,3.495505751994949,0.0004731642543938097,***,2020-01-11
11,solar_4,0.17521083386875363,0.0551742966169765,3.1755879931751276,0.0014953316307511066,**,2020-01-11
10,temp_9,8.887630136728484,1.0409980953521314,8.537604608894242,0.0,***,2020-01-11
9,temp_1,25.043624586569276,0.21250307256733306,117.85064697657033,0.0,***,2020-01-11
8,solar_power,-0.5200384783970158,0.062148815797458686,-8.367632942384729,0.0,***,2020-01-11
7,temperature,13.785602994703481,0.2562447739119402,53.798572295726004,0.0,***,2020-01-11
5,rainfall,3.6821924952434983,0.19065021019644754,19.31386538440916,0.0,***,2020-01-11
4,intercept,5170.132500896994,0.1284766432765021,40241.808698021865,0.0,***,2020-01-11
3,sma1,-0.8914407184524088,0.006952834971623582,-128.21255244668137,0.0,***,2020-01-11
2,sar1,0.9968249942896177,0.00042080534046564315,2368.8506262458045,0.0,***,2020-01-11
1,ma1,0.46628399828092104,0.012767311253678923,36.52170680389424,0.0,***,2020-01-11
0,ar1,0.9874077383566945,0.002098641361970867,470.4985598060473,0.0,***,2020-01-11
6,pv_capacity,2.646089980097372,0.3063659291341771,8.637024317865585,0.0,***,2020-01-11
9,temp_1,25.707185746578457,0.03834389208344533,670.4375677522139,0.0,***,2020-01-12
14,cos_336_1,13.650335669715208,0.06913655432643895,197.44020804483594,0.0,***,2020-01-12
13,sin_336_1,14.928505493827918,0.11839739902840732,126.08812031627563,0.0,***,2020-01-12
12,solar_16,0.24872124780143656,0.03881616522991517,6.407671812200293,1.4775847212433746e-10,***,2020-01-12
11,solar_4,0.20437050639042265,0.06601823113758573,3.0956677097952374,0.0019637028807839574,**,2020-01-12
10,temp_9,9.828021830888353,0.03624073665180669,271.18714294673157,0.0,***,2020-01-12
8,solar_power,-0.5373209923657196,0.05103595923011885,-10.52828242030219,0.0,***,2020-01-12
3,sma1,-0.8966551028493007,0.005908114362659604,-151.76671401561384,0.0,***,2020-01-12
6,pv_capacity,0.9112451704354498,0.0334736776401153,27.22273842248518,0.0,***,2020-01-12
5,rainfall,3.5714477620194884,0.019446108142063198,183.6587421980964,0.0,***,2020-01-12
4,intercept,6395.576995145356,0.017735304222138492,360612.7594451937,0.0,***,2020-01-12
7,temperature,13.970988095105554,0.026919780598685217,518.9859569579073,0.0,***,2020-01-12
2,sar1,0.9970069514980401,0.0005586979930936317,1784.5185839623243,0.0,***,2020-01-12
1,ma1,0.4666115031984687,0.01485139901304334,31.41869010378511,0.0,***,2020-01-12
0,ar1,0.9874417390226371,0.0008241816607057052,1198.0874922370156,0.0,***,2020-01-12
14,cos_336_1,12.008462248523829,0.13566377540660104,88.51635016446349,0.0,***,2020-01-13
13,sin_336_1,13.24337436993899,0.26243693966616943,50.46307271676429,0.0,***,2020-01-13
12,solar_16,0.23933815182269658,0.04788880629573336,4.99778905209463,5.79913729037429e-07,***,2020-01-13
11,solar_4,0.2217232198553515,0.04829333799885224,4.59117611337243,4.407552165464068e-06,***,2020-01-13
10,temp_9,10.17257427377145,0.07208654035821839,141.11613934059056,0.0,***,2020-01-13
9,temp_1,25.735756253344924,0.02941545214209894,874.9060231684255,0.0,***,2020-01-13
8,solar_power,-0.5327996674655857,0.03345047039671328,-15.928017189197334,0.0,***,2020-01-13
7,temperature,13.585079191765317,0.07711094385806927,176.17576069059757,0.0,***,2020-01-13
6,pv_capacity,-2.328416525689363,0.1055332885802462,-22.06333714237346,0.0,***,2020-01-13
5,rainfall,3.584240006125583,0.05031820134385623,71.23148106253231,0.0,***,2020-01-13
4,intercept,8371.144975972376,0.09632990997247563,86900.78687257432,0.0,***,2020-01-13
3,sma1,-0.892779052489973,0.007275700617787562,-122.70695282696425,0.0,***,2020-01-13
2,sar1,0.9968171023057674,0.00046238116707125276,2155.834132734386,0.0,***,2020-01-13
1,ma1,0.4684689235750609,0.01231362061789996,38.044774815789026,0.0,***,2020-01-13
0,ar1,0.9875614296325623,0.0015496851476056945,637.2658543952438,0.0,***,2020-01-13
