,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape,stats
0,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-01,30667.982329204016,8492.82,7621.694228304376,9078.257473722148,6171.584414655443,2020-01-01 04:30:00,2020-01-01 05:30:00,7318.64,7228.684672622925,8272.993190980425,7086.857735666109,2020-01-01 00:00:00,2020-01-01 00:00:00,209584.36976667194,0.6813827448038368,390.38389211812927,0.053689783061225675,"           label        value  ...       p_value  significance
0            ar1     1.667824  ...  0.000000e+00           ***
1            ar2    -0.682514  ...  0.000000e+00           ***
2      intercept  8340.875643  ...  0.000000e+00           ***
3       rainfall    -0.264625  ...  7.211273e-01              
4    pv_capacity   -10.475217  ...  0.000000e+00           ***
5    temperature     1.997800  ...  2.035625e-05           ***
6    solar_power    -0.061013  ...  1.144063e-01              
7   total_demand     8.596117  ...  0.000000e+00           ***
8         temp_1     2.448339  ...  3.294254e-11           ***
9         temp_9     0.176775  ...  1.419148e-04           ***
10       solar_4     0.332467  ...  1.427081e-12           ***
11      solar_16     0.592218  ...  0.000000e+00           ***
12      lag_48*7     5.655864  ...  0.000000e+00           ***
13     sin_336_1     5.633119  ...  0.000000e+00           ***

[14 rows x 6 columns]"
1,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-02,30639.901237088532,9101.15,8129.380082465368,9567.964725365671,6690.795439565065,2020-01-02 04:30:00,2020-01-02 05:30:00,7680.36,7019.52808076396,8399.440433155838,6860.689514435705,2020-01-02 12:00:00,2020-01-02 12:00:00,426582.4154230559,0.47507736616314045,570.0899093272884,0.07202127140594093,"           label        value  ...       p_value  significance
0            ar1     1.666504  ...  0.000000e+00           ***
1            ar2    -0.681209  ...  0.000000e+00           ***
2      intercept  9164.189538  ...  0.000000e+00           ***
3       rainfall    -1.300180  ...  6.313253e-02             .
4    pv_capacity   -12.065255  ...  0.000000e+00           ***
5    temperature     2.266841  ...  3.726792e-04           ***
6    solar_power    -0.063576  ...  1.571220e-01              
7   total_demand    10.184653  ...  0.000000e+00           ***
8         temp_1     2.967409  ...  1.543588e-03            **
9         temp_9     0.185875  ...  3.128313e-05           ***
10       solar_4     0.328597  ...  3.601119e-11           ***
11      solar_16     0.590568  ...  0.000000e+00           ***
12      lag_48*7     6.680588  ...  0.000000e+00           ***
13     sin_336_1     6.135474  ...  0.000000e+00           ***

[14 rows x 6 columns]"
2,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-03,30627.765280981337,10858.09,8855.621475947846,10291.576957507856,7419.665994387836,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,7643.314470818825,9025.711871047622,7174.2972455662775,2020-01-03 12:00:00,2020-01-03 12:00:00,1285939.3323014854,0.41290112197958484,924.9235019257208,0.09994598718556091,"           label         value  ...       p_value  significance
0            ar1      1.667923  ...  0.000000e+00           ***
1            ar2     -0.682571  ...  0.000000e+00           ***
2      intercept  10254.996062  ...  0.000000e+00           ***
3       rainfall     -0.268787  ...  5.803031e-01              
4    pv_capacity    -14.046892  ...  0.000000e+00           ***
5    temperature      2.994385  ...  1.792646e-06           ***
6    solar_power     -0.063715  ...  1.434783e-01              
7   total_demand     10.102642  ...  0.000000e+00           ***
8         temp_1      3.339435  ...  2.613465e-13           ***
9         temp_9      0.182300  ...  8.983863e-05           ***
10       solar_4      0.325830  ...  4.695311e-11           ***
11      solar_16      0.588741  ...  0.000000e+00           ***
12      lag_48*7      6.334135  ...  0.000000e+00           ***
13     sin_336_1      5.243812  ...  0.000000e+00           ***

[14 rows x 6 columns]"
3,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-04,30598.043294655523,12334.04,9326.758329462587,10796.772772810744,7856.743886114431,2020-01-04 04:00:00,2020-01-04 05:00:00,10757.67,7874.303427700696,9287.32635805663,7600.531753069855,2020-01-04 12:00:00,2020-01-04 12:00:00,4024157.448549899,0.10191895690563013,1587.7074275938974,0.1472791497116609,"           label        value  ...       p_value  significance
0            ar1     1.678108  ...  0.000000e+00           ***
1            ar2    -0.692449  ...  0.000000e+00           ***
2      intercept  9962.112368  ...  0.000000e+00           ***
3       rainfall    -0.830736  ...  8.116176e-01              
4    pv_capacity   -13.386371  ...  0.000000e+00           ***
5    temperature     2.635911  ...  1.002308e-01              
6    solar_power    -0.061419  ...  1.900961e-01              
7   total_demand    10.025466  ...  3.036904e-11           ***
8         temp_1     3.237572  ...  2.335979e-02             *
9         temp_9     0.182683  ...  1.059181e-04           ***
10       solar_4     0.329344  ...  2.013500e-12           ***
11      solar_16     0.583932  ...  0.000000e+00           ***
12      lag_48*7     5.637271  ...  0.000000e+00           ***
13     sin_336_1     4.465716  ...  0.000000e+00           ***

[14 rows x 6 columns]"
4,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-05,30707.328874438383,8220.91,8994.754186726925,10508.856690651497,7480.651682802352,2020-01-05 04:30:00,2020-01-05 05:30:00,7957.69,7947.953686197483,9136.999013134367,7805.087489086415,2020-01-05 00:00:00,2020-01-05 00:00:00,243471.4478260296,0.3644507031248967,392.74833312018546,0.05239552087052701,"           label        value  ...       p_value  significance
0            ar1     1.677147  ...  0.000000e+00           ***
1            ar2    -0.691166  ...  0.000000e+00           ***
2      intercept  9689.967069  ...  0.000000e+00           ***
3       rainfall    -0.342670  ...  8.520323e-01              
4    pv_capacity   -13.058730  ...  0.000000e+00           ***
5    temperature     4.519872  ...  3.339912e-03            **
6    solar_power    -0.060033  ...  1.594017e-01              
7   total_demand    11.969926  ...  1.332268e-15           ***
8         temp_1     4.488728  ...  1.057717e-08           ***
9         temp_9     0.193111  ...  7.723524e-05           ***
10       solar_4     0.350819  ...  1.287637e-12           ***
11      solar_16     0.586504  ...  0.000000e+00           ***
12      lag_48*7     6.913064  ...  0.000000e+00           ***
13     sin_336_1     7.778041  ...  0.000000e+00           ***

[14 rows x 6 columns]"
5,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-06,30697.16429732361,8795.51,9397.739619977347,10881.19208424341,7914.287155711283,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7971.63167718979,9395.970281369284,6547.293073010296,2020-01-06 11:30:00,2020-01-06 12:00:00,271388.8775840053,0.6808554208449202,441.12597287816556,0.05546031569686203,"           label         value  ...       p_value  significance
0            ar1      1.670461  ...  0.000000e+00           ***
1            ar2     -0.684564  ...  0.000000e+00           ***
2      intercept  12510.296797  ...  0.000000e+00           ***
3       rainfall     -0.110217  ...  8.205621e-01              
4    pv_capacity    -18.357553  ...  0.000000e+00           ***
5    temperature      4.489823  ...  0.000000e+00           ***
6    solar_power     -0.064441  ...  8.960500e-02             .
7   total_demand     12.531062  ...  0.000000e+00           ***
8         temp_1      4.152522  ...  0.000000e+00           ***
9         temp_9      0.206265  ...  9.532808e-08           ***
10       solar_4      0.348095  ...  1.776357e-15           ***
11      solar_16      0.593838  ...  0.000000e+00           ***
12      lag_48*7      8.800343  ...  0.000000e+00           ***
13     sin_336_1      8.114968  ...  0.000000e+00           ***

[14 rows x 6 columns]"
6,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-07,30707.768124378017,10506.18,10078.783186995062,11564.104703216599,8593.461670773526,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,8893.82021540875,10326.123512054743,7461.516918762757,2020-01-07 12:00:00,2020-01-07 12:00:00,342343.49077431957,0.787742671233887,452.30582360459294,0.05226686124050154,"           label         value  ...       p_value  significance
0            ar1      1.674544  ...  0.000000e+00           ***
1            ar2     -0.688863  ...  0.000000e+00           ***
2      intercept  12610.321621  ...  0.000000e+00           ***
3       rainfall     -0.108055  ...  9.259706e-01              
4    pv_capacity    -18.412502  ...  0.000000e+00           ***
5    temperature      4.062229  ...  9.095896e-03            **
6    solar_power     -0.060414  ...  1.983041e-01              
7   total_demand     12.548324  ...  3.804226e-10           ***
8         temp_1      4.307579  ...  0.000000e+00           ***
9         temp_9      0.209047  ...  1.620382e-05           ***
10       solar_4      0.343869  ...  5.864198e-13           ***
11      solar_16      0.586108  ...  0.000000e+00           ***
12      lag_48*7      8.514862  ...  0.000000e+00           ***
13     sin_336_1      7.475555  ...  0.000000e+00           ***

[14 rows x 6 columns]"
7,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-08,30708.926327756468,9715.67,8092.7477091460205,9581.960318794192,6603.53509949785,2020-01-08 04:30:00,2020-01-08 05:30:00,8790.26,7215.049866732971,8328.333751032887,7072.140268695143,2020-01-08 12:00:00,2020-01-08 00:00:00,1878715.4877982175,-0.8669011274617986,1197.0731359489912,0.13962180187359174,"           label         value  ...       p_value  significance
0            ar1      1.678204  ...  0.000000e+00           ***
1            ar2     -0.692880  ...  0.000000e+00           ***
2      intercept  12203.009009  ...  0.000000e+00           ***
3       rainfall     -1.194913  ...  6.804992e-01              
4    pv_capacity    -17.609502  ...  0.000000e+00           ***
5    temperature      4.992709  ...  1.126183e-03            **
6    solar_power     -0.088361  ...  6.195130e-02             .
7   total_demand     13.275051  ...  5.246914e-13           ***
8         temp_1      4.896900  ...  1.030742e-08           ***
9         temp_9      0.193751  ...  5.982019e-05           ***
10       solar_4      0.316491  ...  1.664913e-11           ***
11      solar_16      0.577935  ...  0.000000e+00           ***
12      lag_48*7      7.725261  ...  0.000000e+00           ***
13     sin_336_1      6.651653  ...  0.000000e+00           ***

[14 rows x 6 columns]"
8,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-09,30714.00788647934,9179.49,8544.391255724695,10048.567353620429,7040.215157828961,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,7641.677425200798,9095.479854498695,7217.052355907487,2020-01-09 12:00:00,2020-01-09 12:00:00,295329.3710504236,0.6074829268093203,489.03123388785457,0.059296519072908706,"           label        value  ...       p_value  significance
0            ar1     1.685278  ...  0.000000e+00           ***
1            ar2    -0.699982  ...  0.000000e+00           ***
2      intercept  7098.986901  ...  0.000000e+00           ***
3       rainfall     6.509941  ...  0.000000e+00           ***
4    pv_capacity    -8.069740  ...  0.000000e+00           ***
5    temperature     4.492232  ...  0.000000e+00           ***
6    solar_power    -0.088169  ...  4.697492e-02             *
7   total_demand    13.315327  ...  0.000000e+00           ***
8         temp_1     4.492353  ...  0.000000e+00           ***
9         temp_9     0.200807  ...  5.825915e-04           ***
10       solar_4     0.305641  ...  2.087917e-10           ***
11      solar_16     0.574452  ...  0.000000e+00           ***
12      lag_48*7     7.091448  ...  0.000000e+00           ***
13     sin_336_1     8.714318  ...  0.000000e+00           ***

[14 rows x 6 columns]"
9,"(2, 0, 0, 0, 48, 0, 0)",2688,True,2020-01-10,30693.607456503465,11920.34,9909.13972380491,11407.259022120432,8411.020425489389,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8422.994510118,9871.71145800834,7270.345007902858,2020-01-10 12:00:00,2020-01-10 12:00:00,1375265.0459017125,0.5618844538480537,979.2632620991886,0.09767877015362388,"           label        value  ...       p_value  significance
0            ar1     1.686096  ...  0.000000e+00           ***
1            ar2    -0.700864  ...  0.000000e+00           ***
2      intercept  6084.665484  ...  0.000000e+00           ***
3       rainfall     3.541650  ...  0.000000e+00           ***
4    pv_capacity    -6.237896  ...  0.000000e+00           ***
5    temperature     5.029622  ...  0.000000e+00           ***
6    solar_power    -0.097292  ...  1.665721e-02             *
7   total_demand    13.799904  ...  0.000000e+00           ***
8         temp_1     5.606103  ...  0.000000e+00           ***
9         temp_9     0.208074  ...  4.553765e-09           ***
10       solar_4     0.296036  ...  2.109424e-14           ***
11      solar_16     0.573093  ...  0.000000e+00           ***
12      lag_48*7     7.682823  ...  0.000000e+00           ***
13     sin_336_1     8.014264  ...  0.000000e+00           ***

[14 rows x 6 columns]"
