,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-01,30614.297608746198,8492.82,9115.454252310143,10255.126537459235,7975.781967161051,2020-01-01 04:30:00,2020-01-01 04:30:00,7318.64,7686.275211556473,8647.408385440085,7153.640871679775,2020-01-01 00:00:00,2020-01-01 12:00:00,435693.58915923984,0.3376438536946811,566.8141370016742,0.08115252615626566
1,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-02,30584.415765401474,9101.15,9046.520142105222,9975.669416534609,8117.370867675836,2020-01-02 04:30:00,2020-01-02 04:30:00,7680.36,7630.806088873864,8459.848198916357,6883.3646144992435,2020-01-02 12:00:00,2020-01-02 12:00:00,48759.01899890654,0.9400005444415135,173.34389031093303,0.023083242745990436
2,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-03,30588.91100071686,10858.09,9630.658742723977,10758.99028106938,8502.327204378575,2020-01-03 04:30:00,2020-01-03 04:30:00,8779.78,8020.749831758476,8973.207972714039,7194.971643945641,2020-01-03 12:00:00,2020-01-03 12:00:00,530698.2293433939,0.7577083714693624,571.2515573484609,0.060696071473437786
3,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-04,30572.101383622907,12334.04,10934.441828543411,11982.55359012255,9886.330066964272,2020-01-04 04:00:00,2020-01-04 04:30:00,10757.67,9339.069092383672,10243.105614133134,8435.03257063421,2020-01-04 12:00:00,2020-01-04 12:00:00,991247.6656069894,0.7787808382562232,816.73593721993,0.07857165029698895
4,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-05,30682.931603989327,8220.91,10016.89427773041,10984.857538268534,9048.931017192284,2020-01-05 04:30:00,2020-01-05 04:30:00,7957.69,8435.186968503778,9295.600778961041,7938.711408623893,2020-01-05 00:00:00,2020-01-05 12:00:00,1267800.1580913535,-2.3094209043716947,1018.3630992678881,0.13685730672078658
5,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-06,30697.066260022457,8795.51,8995.062984346237,10115.558338259916,7874.567630432558,2020-01-06 04:30:00,2020-01-06 04:30:00,8236.51,7534.934086600894,8490.940234892814,6578.927938308974,2020-01-06 11:30:00,2020-01-06 12:00:00,390424.3547908614,0.5408735335402464,469.1243498563675,0.0620840819906342
6,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-07,30727.49030988433,10506.18,9811.152856028066,10906.556298194862,8715.74941386127,2020-01-07 04:30:00,2020-01-07 04:00:00,8469.66,8578.091221878158,9530.140857386226,7626.041586370089,2020-01-07 12:00:00,2020-01-07 12:00:00,207557.61879887813,0.8713116302236122,352.831979319225,0.040813789095560875
7,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-08,30695.26495002135,9715.67,9118.683894919533,10076.339486081695,8161.028303757372,2020-01-08 04:30:00,2020-01-08 04:30:00,8790.26,7685.6122642563505,8540.391947880917,7116.399546539175,2020-01-08 12:00:00,2020-01-08 12:00:00,526879.3894910435,0.47643390781326234,627.8959762581375,0.07485262464359387
8,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-09,30705.745391165667,9179.49,9426.683227904385,10389.944398389676,8463.422057419093,2020-01-09 04:30:00,2020-01-09 04:30:00,8372.84,8277.660633965532,9136.767205866894,7418.5540620641705,2020-01-09 12:00:00,2020-01-09 12:00:00,31805.369397102255,0.9577280428861663,135.20145476307565,0.016705074171343186
9,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-01-10,30884.11164060715,11920.34,10147.382477897641,11308.782528651931,8985.982427143352,2020-01-10 04:30:00,2020-01-10 04:30:00,9454.39,8536.276160195066,9528.901260179658,7543.651060210474,2020-01-10 12:00:00,2020-01-10 12:00:00,1163041.919684305,0.629491967851182,879.1372478532011,0.0866212524214471
