,label,value,std_error,z_score,p_value,significance,eval_date
0,ar1,0.9998500912031019,5.251403484138949e-09,190396737.60033756,0.0,***,2020-01-01
18,temp_9^2,0.4082372666318728,0.036598819943833565,11.154383317778409,0.0,***,2020-01-01
17,temp_1^2,1.3484623170211887,0.03203117137306634,42.0984390897129,0.0,***,2020-01-01
16,temperature^2,0.49711873194900624,0.034326694551777434,14.48198664159656,0.0,***,2020-01-01
15,cos_336_1,8.04791194191366,0.13073660213648014,61.558215606002875,0.0,***,2020-01-01
14,sin_336_1,8.840158332832244,0.1517158115690088,58.26787756272357,0.0,***,2020-01-01
12,solar_16,0.19818079598206229,0.05481154553960637,3.6156761140562708,0.0002995647323771333,***,2020-01-01
11,solar_4,0.07685741482050013,0.054422513756871474,1.412235663421482,0.15788058283156414,,2020-01-01
10,temp_9,-12.9056747315228,0.17847195357781462,-72.3120606504476,0.0,***,2020-01-01
13,lag_48*7,0.20189662879856662,0.016964874764012785,11.900861727953659,0.0,***,2020-01-01
8,solar_power,-0.46156625996865763,0.05100574850237453,-9.049298824566211,0.0,***,2020-01-01
9,temp_1,-47.025463708861196,0.13461774530129597,-349.32589016114264,0.0,***,2020-01-01
2,sar1,0.9962670123781211,2.23540414629657e-07,4456764.625889474,0.0,***,2020-01-01
3,sma1,-0.8922490756566941,0.006271409683216409,-142.272490672159,0.0,***,2020-01-01
4,intercept,6647.136874960174,0.01935298850781991,343468.23862755275,0.0,***,2020-01-01
1,ma1,0.4114528332699198,0.014721140528351,27.949793188748878,0.0,***,2020-01-01
6,pv_capacity,-0.015297828466486862,0.9797013050794515,-0.015614788290239384,0.9875417077718882,,2020-01-01
7,temperature,-17.260011064207674,0.36152828008491866,-47.74180061419678,0.0,***,2020-01-01
5,rainfall,0.15228278343656143,0.49270084433584127,0.30907757757516735,0.7572625151896777,,2020-01-01
11,solar_4,0.0855882052944743,0.052132396368224136,1.6417469991201523,0.10064244710724468,,2020-01-02
18,temp_9^2,0.4462766814275572,0.08698286436677981,5.130627562984666,2.887777807991654e-07,***,2020-01-02
17,temp_1^2,1.348784370826435,0.06379454169085214,21.142629683941205,0.0,***,2020-01-02
16,temperature^2,0.5012416058071305,0.03985722308821275,12.57592895264613,0.0,***,2020-01-02
15,cos_336_1,9.3014174242924,3.783656549977008,2.4583144113196322,0.01395909046361532,*,2020-01-02
14,sin_336_1,8.779273071915776,0.8047291107910909,10.909600453356648,0.0,***,2020-01-02
13,lag_48*7,0.20690995333600704,0.017656241453795955,11.718799489543851,0.0,***,2020-01-02
12,solar_16,0.20296433826976834,0.05322968603906484,3.8129914597056693,0.00013729485852054246,***,2020-01-02
10,temp_9,-14.695709889319545,4.0265327392862575,-3.649718216850884,0.00026252813768490313,***,2020-01-02
4,intercept,7836.065223504555,0.024435357309571713,320685.51829340536,0.0,***,2020-01-02
8,solar_power,-0.4471014395042108,0.05605101439434855,-7.9766877430373615,1.5543122344752192e-15,***,2020-01-02
9,temp_1,-46.236139827516226,2.8083868074022282,-16.463593870206534,0.0,***,2020-01-02
1,ma1,0.41684457165761635,0.014565254130467213,28.619107358083916,0.0,***,2020-01-02
2,sar1,0.9956428087601468,0.001062739911349121,936.8640418295797,0.0,***,2020-01-02
3,sma1,-0.8904956172008677,0.010359930413145724,-85.95575275977887,0.0,***,2020-01-02
0,ar1,0.9869826207408819,0.0021016783003572014,469.6164111192157,0.0,***,2020-01-02
5,rainfall,0.6368795330059527,0.4787117190086615,1.3304030541070364,0.18338550885403837,,2020-01-02
6,pv_capacity,-1.6775217067131507,1.0961444407875875,-1.530383811012935,0.12592175377596804,,2020-01-02
7,temperature,-17.447414009818885,1.3490311219097844,-12.933292439628143,0.0,***,2020-01-02
18,temp_9^2,0.40287545117474405,0.0371932679451703,10.831945495315345,0.0,***,2020-01-03
17,temp_1^2,1.480940483253553,0.04647742141688462,31.8636541810288,0.0,***,2020-01-03
16,temperature^2,0.5428596535243821,0.04259127249167658,12.745795600036857,0.0,***,2020-01-03
15,cos_336_1,7.9681425873410925,0.06318676209675124,126.10461943184103,0.0,***,2020-01-03
14,sin_336_1,8.47094776325273,0.11080974674528572,76.44587242604736,0.0,***,2020-01-03
12,solar_16,0.18075679112335674,0.0586246338466442,3.083290747643683,0.0020472503001718323,**,2020-01-03
11,solar_4,0.07625021568616752,0.057070859416043944,1.3360621596795477,0.1815289569607048,,2020-01-03
10,temp_9,-11.78956250672752,0.45067751111968846,-26.15964235143855,0.0,***,2020-01-03
9,temp_1,-52.3475103642248,1.217528974439983,-42.99487853116815,0.0,***,2020-01-03
13,lag_48*7,0.20442587729790418,0.017054169707095636,11.986856048046116,0.0,***,2020-01-03
7,temperature,-18.866443296607713,0.5608801634271539,-33.6372090275538,0.0,***,2020-01-03
1,ma1,2.411992907233299,0.07405643359163147,32.56966059874991,0.0,***,2020-01-03
2,sar1,0.9982300396801833,5.1142848436125425e-06,195184.67785909836,0.0,***,2020-01-03
3,sma1,-1.0954615477945195,0.008775842614571422,-124.82693638735198,0.0,***,2020-01-03
0,ar1,0.9996598538461481,3.881447067213489e-07,2575482.382048325,0.0,***,2020-01-03
8,solar_power,-0.452038234798259,0.054871907304436335,-8.238063100126869,2.220446049250313e-16,***,2020-01-03
5,rainfall,1.6029997172623496,5.013590115751877,0.3197309074441462,0.7491723279198976,,2020-01-03
6,pv_capacity,-3.507913149973433,2.59041151534372,-1.3541914592315152,0.17567530312523427,,2020-01-03
4,intercept,8384.796125079727,0.019924107962577393,420836.7140365096,0.0,***,2020-01-03
10,temp_9,-12.189938368121936,0.4979977168233517,-24.47790011142946,0.0,***,2020-01-04
17,temp_1^2,1.415665562857144,0.06759999103025921,20.941801045853122,0.0,***,2020-01-04
16,temperature^2,0.36948929711262624,0.08921850504364043,4.141397537785394,3.4519607212013526e-05,***,2020-01-04
15,cos_336_1,8.460449211072234,0.3494160071293439,24.213112846717454,0.0,***,2020-01-04
14,sin_336_1,5.838410411268679,1.0010075014591944,5.832534124627316,5.4591835496609065e-09,***,2020-01-04
13,lag_48*7,0.20337145888866992,0.01726490401816149,11.779472314166192,0.0,***,2020-01-04
12,solar_16,0.18255926765562958,0.058923219649390644,3.098256828834327,0.001946626498502857,**,2020-01-04
11,solar_4,0.11229712594798258,0.05584577746525523,2.0108436312458697,0.04434197590195632,*,2020-01-04
9,temp_1,-49.3494953824519,2.739665853232319,-18.01296144353818,0.0,***,2020-01-04
18,temp_9^2,0.38928865506303967,0.03533345155262186,11.017566582287463,0.0,***,2020-01-04
7,temperature,-10.672444180552475,4.1371809209330594,-2.5796416411360408,0.009890288981658557,**,2020-01-04
0,ar1,0.9951228082972117,0.0010732831805572063,927.1763746270422,0.0,***,2020-01-04
1,ma1,0.4150596140318942,0.014556519233600717,28.513658201599103,0.0,***,2020-01-04
2,sar1,0.9960987046188833,0.0008320988813842472,1197.0917482328691,0.0,***,2020-01-04
8,solar_power,-0.4769421629927564,0.0554130595823741,-8.60703535569552,0.0,***,2020-01-04
4,intercept,7784.746282396811,0.021930556266970352,354972.5865422497,0.0,***,2020-01-04
5,rainfall,-2.2043520637143956,3.2934362464024387,-0.6693167557508677,0.5032934404974323,,2020-01-04
6,pv_capacity,6.772354425108517,3.3417433032663193,2.026593251040263,0.042704027338132056,*,2020-01-04
3,sma1,-0.8959463736411787,0.008903414434595268,-100.62952592208595,0.0,***,2020-01-04
10,temp_9,-12.70953608601566,0.33449664378329025,-37.9960048096918,0.0,***,2020-01-05
17,temp_1^2,1.5904383699161138,0.0605993185116006,26.245152734046904,0.0,***,2020-01-05
16,temperature^2,0.35135520053975977,0.08467658845368946,4.149378322343722,3.333794387505584e-05,***,2020-01-05
15,cos_336_1,7.8404306468627825,1.0970330630202012,7.146941064180493,8.872902412804251e-13,***,2020-01-05
14,sin_336_1,6.62656935348717,0.9427512354355337,7.02896915369813,2.0805579481475434e-12,***,2020-01-05
13,lag_48*7,0.2100561406247028,0.018346208085223484,11.44956710667026,0.0,***,2020-01-05
12,solar_16,0.22964891647748686,0.056906314834057926,4.0355612052398095,5.447193677143858e-05,***,2020-01-05
11,solar_4,0.09825288262775,0.05853470826323704,1.6785405709360668,0.0932416171576167,.,2020-01-05
18,temp_9^2,0.41593764289045226,0.03782182932758641,10.99729046122781,0.0,***,2020-01-05
9,temp_1,-56.52738035105965,2.6855093289222594,-21.049035183856557,0.0,***,2020-01-05
7,temperature,-8.158365651843837,3.906491733751496,-2.088412367894394,0.03676065278547913,*,2020-01-05
6,pv_capacity,-5.821595527518639,1.8570793276695587,-3.1348125202729684,0.0017196397420198295,**,2020-01-05
5,rainfall,5.432230595942542,3.344942695400519,1.6240130521255742,0.10437302295588702,,2020-01-05
