,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,2020-01-01,-17415.98751271991,9.04709411921943,9.268472215788233,9.43248355930078,9.104460872275686,2020-01-01 04:30:00,2020-01-01 04:00:00,8.898316425418097,9.07701860611773,9.230124767240422,8.923912444995036,2020-01-01 00:00:00,2020-01-01 12:00:00,0.026104777420946013,-1.0218373043019189,0.13036657686054742,0.014669564120436159
1,2020-01-02,-17425.396490894516,9.116265928335324,9.172134330644045,9.340289609288284,9.003979051999806,2020-01-02 04:30:00,2020-01-02 04:30:00,8.946551893797649,8.967516116241356,9.12313508768181,8.840465621112736,2020-01-02 12:00:00,2020-01-02 12:00:00,0.0028529420510879956,0.8054797596901155,0.04144142811404916,0.0046350713949581375
2,2020-01-03,-17430.044291688424,9.292757796238545,9.197896230209324,9.366167763635719,9.029624696782928,2020-01-03 04:30:00,2020-01-03 04:30:00,9.08032052095207,9.016928599357186,9.172754227883546,8.880197422105898,2020-01-03 12:00:00,2020-01-03 12:00:00,0.004865210393748603,0.8470951710670607,0.05792104161398626,0.006341690947674235
3,2020-01-04,-17491.87664518636,9.420199271763225,9.243930907632306,9.409298580061856,9.078563235202756,2020-01-04 04:00:00,2020-01-04 04:30:00,9.283467220127974,9.063139413443379,9.216340630394747,8.938347055242515,2020-01-04 12:00:00,2020-01-04 12:00:00,0.022876880525282126,0.5838882739396782,0.12141965266580572,0.013088692261353882
4,2020-01-05,-17441.832260582774,9.014557821156123,9.262690631756621,9.431288328152903,9.09409293536034,2020-01-05 04:30:00,2020-01-05 04:30:00,8.982019692430507,9.097878664696774,9.253900778129573,8.971194202006853,2020-01-05 00:00:00,2020-01-05 12:00:00,0.02718620950840984,-2.7028698682827264,0.1414168146356867,0.015842737594254214
5,2020-01-06,-17451.042588082822,9.082110330894233,9.120317146029109,9.291865975434396,8.948768316623822,2020-01-06 04:30:00,2020-01-06 04:30:00,9.016453392770572,8.957727771721618,9.116009263188507,8.79944628025473,2020-01-06 11:30:00,2020-01-06 12:00:00,0.0066460378704993614,0.5947435489331159,0.06258848791660754,0.00699696146490237
6,2020-01-07,-17407.082295891745,9.25981411197822,9.192813789966246,9.364487748344228,9.021139831588265,2020-01-07 04:30:00,2020-01-07 04:30:00,9.044363706688255,9.07054731521488,9.229155807457543,8.911938822972216,2020-01-07 12:00:00,2020-01-07 12:00:00,0.0009879192626007364,0.9599384850312918,0.024903755026120338,0.0027498389494982245
7,2020-01-08,-17412.942690456362,9.181598246163643,9.208913620215124,9.378776216191376,9.039051024238873,2020-01-08 04:30:00,2020-01-08 04:30:00,9.08151332511625,9.06359085425851,9.220582417897171,8.90659929061985,2020-01-08 12:00:00,2020-01-08 12:00:00,0.00290414043931894,0.8169952431574382,0.043397525757807344,0.0048376482427265055
8,2020-01-09,-17397.050836520943,9.124835859096358,9.14544600364903,9.315785502242093,8.975106505055965,2020-01-09 04:30:00,2020-01-09 04:30:00,9.032867839637536,9.033334094255846,9.190750172607927,8.89949137254922,2020-01-09 12:00:00,2020-01-09 12:00:00,0.0003941447522861649,0.9691962354643842,0.0175173620711682,0.0019519988780092666
9,2020-01-10,-17422.448453007823,9.386085350408507,9.16817542113709,9.337625331684164,8.998725510590015,2020-01-10 04:30:00,2020-01-10 04:30:00,9.154340228258803,9.060296840635981,9.216846054876786,8.903747626395177,2020-01-10 12:00:00,2020-01-10 12:00:00,0.017210764440266507,0.5674609460392743,0.09655334524679271,0.010421167178524754
