,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
0,2020-01-01,-17602.759773787144,9.04709411921943,9.234007657281822,9.380498043719044,9.0875172708446,2020-01-01 04:30:00,2020-01-01 04:00:00,8.898316425418097,9.061300337018366,9.198175262942378,8.924425411094354,2020-01-01 00:00:00,2020-01-01 12:00:00,0.021416511021568177,-0.6587270679678738,0.1169784176243508,0.013170168816416179
1,2020-01-02,-17609.12457104849,9.116265928335324,9.180014356055702,9.329293783565987,9.030734928545417,2020-01-02 04:30:00,2020-01-02 04:30:00,8.946551893797649,8.972131744442557,9.110660865974856,8.842701387903011,2020-01-02 12:00:00,2020-01-02 12:00:00,0.003607656602317835,0.7540215620675564,0.046848449081690946,0.005236497197192022
2,2020-01-03,-17610.131598073556,9.292757796238545,9.188506904189738,9.338932460077556,9.03808134830192,2020-01-03 04:30:00,2020-01-03 04:30:00,9.08032052095207,9.006766765660483,9.146430236283633,8.882424375418719,2020-01-03 12:00:00,2020-01-03 12:00:00,0.0063659253830554196,0.7999303929493655,0.06653525891020762,0.007287743587863742
3,2020-01-04,-17676.52940997494,9.420199271763225,9.216801767549567,9.365490382806723,9.068113152292412,2020-01-04 04:00:00,2020-01-04 04:30:00,9.283467220127974,9.020697307561543,9.158526011445284,8.938344003018491,2020-01-04 12:00:00,2020-01-04 12:00:00,0.030229377433658902,0.4501523751130566,0.13943537717192153,0.01502652888304562
4,2020-01-05,-17607.951374182612,9.014557821156123,9.255411025554531,9.410822264960021,9.100740917044883,2020-01-05 04:30:00,2020-01-05 05:00:00,8.982019692430507,9.073128332683265,9.21588457654563,8.97318524515355,2020-01-05 00:00:00,2020-01-05 12:00:00,0.024842373721195604,-2.383630111449632,0.13506816669087549,0.015130625627158294
5,2020-01-06,-17605.4349892051,9.082110330894233,9.123413666261678,9.281056624567416,8.96577070795594,2020-01-06 04:30:00,2020-01-06 04:30:00,9.016453392770572,8.961731197473481,9.10689562980793,8.816566765139033,2020-01-06 11:30:00,2020-01-06 12:00:00,0.006205888269856748,0.6215826173481037,0.06104423951810689,0.006825556311243395
6,2020-01-07,-17560.228477290137,9.25981411197822,9.181278173470334,9.339166687144147,9.023551589446358,2020-01-07 04:30:00,2020-01-07 04:30:00,9.044363706688255,9.078423412192496,9.224031802805353,8.93281502157964,2020-01-07 12:00:00,2020-01-07 12:00:00,0.0022125351602388815,0.910278588750905,0.03763878459091089,0.004151872250522487
7,2020-01-08,-17570.903022251176,9.181598246163643,9.161678701189404,9.31974105006432,9.003616352314488,2020-01-08 04:30:00,2020-01-08 04:30:00,9.08151332511625,8.993045563692299,9.138604661168886,8.869974084949014,2020-01-08 12:00:00,2020-01-08 12:00:00,0.005401810592434656,0.6596042599751448,0.06127712162075616,0.006808370788602772
8,2020-01-09,-17548.844697072233,9.124835859096358,9.134057465718872,9.293913513244298,8.974201418193445,2020-01-09 04:30:00,2020-01-09 04:30:00,9.032867839637536,9.03403947024552,9.181180865432644,8.886898075058397,2020-01-09 12:00:00,2020-01-09 12:00:00,0.0002621828560372004,0.9795095103618644,0.012679737958734635,0.0014107290523938064
9,2020-01-10,-17577.721539196336,9.386085350408507,9.209590611343653,9.36758092555859,9.051600297128717,2020-01-10 04:30:00,2020-01-10 04:30:00,9.154340228258803,9.08424548099203,9.22980013476628,8.938690827217778,2020-01-10 12:00:00,2020-01-10 12:00:00,0.011172950439938429,0.7192026286796238,0.07658116239145829,0.008262007049547014
10,2020-01-11,-17598.142864326877,8.951301472349256,9.383299514953956,9.541370566653631,9.225838443566504,2020-01-11 05:00:00,2020-01-11 04:30:00,9.02448056294395,9.23652403744643,9.382121605451134,9.090926469441724,2020-01-11 00:00:00,2020-01-11 12:00:00,0.089265190853143,-31.93796103188349,0.2599328517290347,0.029215902520049058
11,2020-01-12,-17572.95233388169,8.947882803155975,9.038921669818958,9.206226467885863,8.871616871752053,2020-01-12 05:30:00,2020-01-12 04:30:00,8.859566553525,8.940260021814467,9.093003816881229,8.789609534583686,2020-01-12 09:30:00,2020-01-12 12:00:00,0.006439022886830306,0.13850384620833378,0.06681665599935793,0.007547984817936656
12,2020-01-13,-17617.554650156864,9.06796657166775,9.063588800459165,9.23058365576631,8.896968582735381,2020-01-13 05:30:00,2020-01-13 04:30:00,8.941309937889496,8.957420454391974,9.109453585328128,8.80538732345582,2020-01-13 11:00:00,2020-01-13 12:00:00,0.0006689598971280084,0.9509985092287982,0.017735756319962343,0.0019986824050815216
13,2020-01-14,-17624.124584041903,9.149884173475744,9.125875252994401,9.292465399810482,8.95928510617832,2020-01-14 04:30:00,2020-01-14 04:30:00,9.020195089500518,8.984230245661857,9.136246288544967,8.857068370801862,2020-01-14 12:00:00,2020-01-14 12:00:00,0.0008564547801148376,0.9484702117751528,0.022882264384899525,0.002536529207091903
14,2020-01-15,-17652.341921649047,9.161732941110003,9.02304525108345,9.187323299315798,8.858767202851103,2020-01-15 04:30:00,2020-01-15 04:30:00,9.04212643312394,8.952292703289409,9.093234024274436,8.875596921007325,2020-01-15 12:00:00,2020-01-15 09:30:00,0.01056417596810085,0.40577725472836645,0.08697878574929659,0.009586698120654475
15,2020-01-16,-17645.093542318773,9.139673242558434,9.105050255830092,9.271334224428886,8.938766287231298,2020-01-16 04:30:00,2020-01-16 05:30:00,9.084309919684811,9.012656480365628,9.16279910993827,8.934170305702107,2020-01-16 11:30:00,2020-01-16 12:00:00,0.0015507002316728854,0.8706306253108705,0.03263686726777052,0.003609975272800317
16,2020-01-17,-17596.534635595137,9.019904785295964,9.153318075148352,9.317635740850502,8.989000409446202,2020-01-17 04:30:00,2020-01-17 04:30:00,9.036242904462135,9.037842033973547,9.18779872126968,8.892212353006165,2020-01-17 11:00:00,2020-01-17 12:00:00,0.00471963989283308,0.4604299148890154,0.0520827243714429,0.005806318145847533
17,2020-01-18,-17607.49723649123,8.95489829380002,8.995139580699822,9.160785311030851,8.829493850368793,2020-01-18 07:00:00,2020-01-18 04:30:00,8.950164511205614,8.957748642413717,9.104763766364341,8.843522526180154,2020-01-18 09:30:00,2020-01-18 11:00:00,0.001552597284471909,0.7467217414926774,0.03158154419370477,0.003559073890240235
